key,0,1,2,3,4
#,Name,AchievementKind,ShowComplete,HideCategory,Order
int32,str,AchievementKind,bit&01,bit&02,byte
0,"",0,True,False,0
1,"整体",1,True,False,1
2,"迷宫探险",1,True,False,2
3,"讨伐歼灭战",1,True,False,3
4,"大型任务",1,True,False,4
5,"怪物狩猎",1,True,False,5
6,"寻宝",1,True,False,6
7,"整体",2,True,False,1
8,"排名",2,True,True,2
9,"竞技场",2,True,False,3
10,"纷争前线",2,True,False,4
11,"烈羽争锋",2,True,False,5
12,"整体",3,True,False,1
13,"战斗精英",3,True,False,2
14,"魔法导师",3,True,False,3
15,"能工巧匠",3,True,False,4
16,"大地使者",3,True,False,5
17,"评价",3,True,False,6
18,"金碟游乐场",3,True,False,7
19,"整体",4,True,False,1
20,"货币",4,True,False,2
21,"分解",4,True,False,3
22,"收藏品",4,True,False,4
23,"魔晶石",4,True,False,5
24,"刻木匠",5,True,False,2
25,"锻铁匠",5,True,False,3
26,"铸甲匠",5,True,False,4
27,"雕金匠",5,True,False,5
28,"制革匠",5,True,False,6
29,"裁衣匠",5,True,False,7
30,"炼金术士",5,True,False,8
31,"烹调师",5,True,False,9
32,"采矿工",5,True,False,10
33,"园艺工",5,True,False,11
34,"捕鱼人",5,True,False,12
35,"整体",8,True,False,1
36,"理符任务",8,True,False,4
37,"友好部族任务",8,True,False,5
38,"季节活动",8,True,True,99
39,"探索笔记",11,True,False,1
40,"拉诺西亚",11,True,False,2
41,"黑衣森林",11,True,False,3
42,"萨纳兰",11,True,False,4
43,"库尔札斯",11,True,False,5
44,"摩杜纳",11,True,False,6
45,"阿巴拉提亚",11,True,False,7
46,"龙堡",11,True,False,8
47,"基拉巴尼亚",11,True,False,9
48,"奥萨德",11,True,False,10
49,"副本任务",11,True,False,100
50,"整体",12,True,False,1
51,"黑涡团",12,True,False,2
52,"双蛇党",12,True,False,3
53,"恒辉队",12,True,False,4
54,"战斗",13,True,False,1
55,"货币",13,True,False,2
56,"采集",13,True,False,3
57,"任务",13,True,False,4
58,"季节活动",13,True,False,5
59,"迷宫",13,True,False,6
60,"探索",13,True,False,7
61,"大国防联军",13,True,False,8
62,"上古武器",4,True,False,6
63,"黄道武器",4,True,False,7
64,"元灵武器",4,True,False,8
65,"深层迷宫聚魔装备",4,True,False,9
66,"禁地兵装",4,True,False,10
67,"诺弗兰特",11,True,False,11
68,"义军武器",4,True,False,11
69,"全职业共通",5,True,False,1
70,"天钢工具",4,True,False,51
71,"特殊场景探索",1,True,False,7
72,"北洋地域",11,True,False,12
73,"伊尔萨巴德大陆",11,True,False,13
74,"其他",11,True,False,99
75,"曼德维尔武器",4,True,False,12
76,"主线任务",8,True,False,2
77,"职业任务",8,True,False,3
78,"莫雯卓越工具",4,True,False,52
79,"尤卡图拉尔",11,True,False,14
80,"萨卡图拉尔",11,True,False,15
81,"幻境武器",4,True,False,13
82,"宇宙工具",4,True,False,53
