key,0,1,2,3,4,5,6,7,8,9,10,11,12,13
#,Level,,,Emote,MinTime,MaxTime,PlaceName,Icon{List},Icon{Discovered},Name,Impression,Description,Icon{Undiscovered},IsInitial
int32,Level,int32,byte,Emote,uint16,uint16,PlaceName,Image,Image,str,str,str,Image,bit&01
2162688,4876856,0,0,22,800,1159,27,81501,81001,"梭鱼埠头","某位商人所见的风景。向下望去，三艘红帆军舰列队停泊，彰显着利姆萨·罗敏萨作为海之都的深厚实力。","军用埠头，利姆萨·罗敏萨引以为傲的旗舰舰队“黑涡舰队”在此停泊。一般市民是禁止进入的，不过，可以从视野好的地方看到旗舰凯旋号及整个舰队的英姿。",81451,True
2162689,4876859,0,0,22,1800,459,27,81502,81002,"阿斯塔利西亚号海盗船","某个海盗所见的景色。喝酒之后就会情绪高涨，便会非常嚣张地到不好惹的家伙们的地盘上去张望。结果第二天醒来时发现自己被吊起来了。","三大海盗之首的海盗团“断罪党”拥有的大型帆船。虽然表面上对外宣称这是一艘外国籍的商务船，但其实每个人心里都清楚，那是大海盗希尔菲厄的私有船。船内则是各路海盗们的社交场所。",81451,True
2162690,4876905,0,0,58,500,759,30,81503,81003,"海词石窟的纪念碑","某位水手所见的风景。其在出海打渔之前固定会做的仪式，在远离阳光的洞穴中为逝去的同伴们祈祷。悄然的雨声，为祈祷伴上了一曲安稳的镇魂歌。","船员们的纪念碑。纪念碑上刻有传说会运送灵魂的黑尾鸥，以及一首镇魂歌：“我是支撑船只的波浪，我是指引海员的微风。我是夜晚的星星，我是早晨的天空。我生于大海之中，亦将逝于大海之中。”",81451,True
2162691,4876907,0,0,22,1200,1659,30,81504,81004,"天梯","某位运货人所见的风景。辛苦劳动的工作中抽空看看美景可以说是最好的休息。蓝天下的气球真是美妙。","第七灵灾时，天地巨变导致这里的地形发生了极大的变化。为了跨越这新生的横断崖，利姆萨·罗敏萨的运货人共同搭建起了能够运送货物的升降机。除升降机外，有时他们还会使用气球上下传递物资。",81451,True
2162692,4876912,0,0,22,800,1159,30,81505,81005,"拉撒格兰东路","某位警备兵所见的风景。灰色的天空有如灰色的心情，只有登高远望前人开拓出的道路，回顾开拓者的辛劳，才能让心绪得到舒展。","连接中拉诺西亚和拉诺西亚低地、并通往东拉诺西亚的一条道路。这条路是以一位精灵族的冒险者“拉撒格兰”的名字命名。在人们迁入到这个岛屿的早期时候，他曾与建国船加拉迪翁号的领航员德内维尔一起，在岛上探索并记录下地形的结构。",81451,True
2162693,4876920,0,0,22,1800,459,31,81508,81008,"砂盐滩","某位捕鱼人所见的风景。在放浪神的守护下，低垂的钓竿探索着水中的鱼群。每次看到眼前这些盐柱都让人回想起5年前的惨剧。","灵灾之时，坠落的卫月碎片贯穿了沙滩的地脉，使得大量的以太喷出形成偏属性水晶。也因此使得海水中的盐分结晶化，形成了巨大的盐柱。",81451,True
2162694,4876921,0,0,22,500,759,31,81509,81009,"赤血雄鸡农场的田地","某位农夫所见的风景。农夫每天都要起得很早，每天早起之后都有一项必做的事：站在大门之上，望向晨雾中的田地。虽然简单却能振奋一天的心情。","由一名园艺工建立的实验农场。这里不仅栽培农作物，也会饲养一些渡渡鸟和羊羔之类的家禽和家畜。农场的名字也颇有来历，当初人们为了取乐而让白鸡和红鸡相斗，可最终却由于斗争惨烈而使两只鸡浑身上下都染成了血红色。",81451,True
2162695,4876926,0,0,22,500,759,33,81513,81013,"酿酒师灯塔","某位灯塔看守人所见的风景。蓝色的天空，蓝色的大海。引导船只的灯光熄灭之后，喝上一大口小麦酒，放眼张望辽阔的大海，简直人生一大乐事。","在雨燕塔坍塌之后，人们建造了这座新的灯塔来指引航船。因为这里主要指引的是出入小麦酒港的船只，所以人们给其冠上了酿酒师的名号。在灯塔上可以一览为警戒水神利维亚桑海啸而设置的缓冲带。",81451,True
2162696,4868036,0,0,22,1200,1659,39,81552,81052,"制革匠行会","某位制革匠所见的风景。小的时候经常在行会内寻找特别的立足点，能够居高临下俯视工匠的工作也别有一番乐趣。尤其是在阴天的午后，屋子高处的风稍微有些凉飕飕的。","格里达尼亚的制革匠在整个艾欧泽亚都颇有名气，他们组成的工作室每天都在沉迷于对森林的恩惠进行加工。飞·乌尔工作室是其中尤为著名的一家工作室，技术不够的行会成员甚至没有资格冠上这个品牌，他们提供的商品一直都是供不应求。",81452,True
2162697,4876928,0,0,22,1800,459,39,81553,81053,"碧企鹅瀑布","某个少年所见的风景。小瀑布的潺潺流水最能引起少年的兴趣。在假装睡了之后偷偷从家中溜出来，经过别人都不知道的秘密路线登到大人都无法触及的高点，成就感油然而生。","据说很久以前，人们在这个活水涌流形成的小瀑布试养过碧企鹅这种鸟类，瀑布的名字也由此而来。第六星历末期，贤者路易索瓦造访格里达尼亚时喜欢来此进行思索，也让这里更加有名。",81452,True
2162698,4877070,0,0,50,1200,1659,54,81555,81055,"弯枝牧场","某个牧童所见的风景。气球上的莫古力仿佛很享受阳光的照射。这样的天气实在是让人想要坐下休息片刻啊。","由“莫古力礼峰”经营的牧场，致力于让陆行鸟能够安定地进行繁殖，为此还专门从该项手艺的发源地伊修加德招来了饲养员。印有莫古力图案的气球是这里最显著的标志。",81452,True
2162699,4877071,0,0,58,800,1159,55,81560,81060,"十二神大圣堂","某位园艺工所见的风景。阳光下的泉水闪闪发光，庭院中充满了庄严的感觉。在如此环境下，相信即使是毫无信仰的人，也会诚心献上一份祈祷吧。","在大冰雪时代之后，人们饱受饥饿和病痛的折磨，这座大圣堂就是当时的人们希冀得到所有十二神的加护而建造的。在第七灵灾后的困难时代，为了再次得到神的加护，格里达尼亚的人民们对这里进行了修缮。",81452,True
