key,0
#,Name
int32,str
0,""
1,""
2,"50～60级"
3,"61～70级"
4,"71～80级"
5,"50～60级"
6,"61～70级"
7,"71～80级"
8,"50～60级"
9,"61～70级"
10,"71～80级"
11,"50～60级"
12,"61～70级"
13,"71～80级"
14,"50～60级"
15,"61～70级"
16,"71～80级"
17,"50～60级"
18,"61～70级"
19,"71～80级"
20,"50～60级"
21,"61～70级"
22,"71～80级"
23,"50～60级"
24,"61～70级"
25,"71～80级"
26,"50～60级"
27,"61～70级"
28,"71～80级"
29,"50～60级"
30,"61～70级"
31,"71～80级"
32,"50～60级"
33,"61～70级"
34,"71～80级"
35,"交换改良用材料（刻木匠）"
36,"交换改良用材料（锻铁匠）"
37,"交换改良用材料（铸甲匠）"
38,"交换改良用材料（雕金匠）"
39,"交换改良用材料（制革匠）"
40,"交换改良用材料（裁衣匠）"
41,"交换改良用材料（炼金术士）"
42,"交换改良用材料（烹调师）"
43,""
44,""
45,""
46,""
47,""
48,""
49,""
50,""
51,""
52,""
53,""
54,""
55,""
56,""
57,""
58,""
59,""
60,""
