key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
#,Singular,Adjective,Plural,PossessivePronoun,StartsWithVowel,,Pronoun,Article,Model,,,,,,Behavior,,,,,,,,,,,,Icon,Order,,,Cost,HP,,Skill{Angle},Skill{Cost},,,MinionRace
int32,str,sbyte,str,sbyte,sbyte,sbyte,sbyte,sbyte,ModelChara,byte,byte,byte,byte,byte,CompanionMove,byte,byte,uint16,bit&01,bit&02,bit&04,bit&08,bit&10,uint16,bit&20,bit&40,Image,uint16,bit&80,byte,byte,uint16,byte,uint16,byte,byte,uint16,MinionRace
0,"",0,"",0,0,1,0,0,0,100,0,0,0,0,0,0,8,0,False,False,False,False,False,0,False,True,0,0,False,0,10,100,0,0,20,0,0,0
1,"爆弹仔",0,"",0,0,1,0,0,427,100,30,0,0,0,2,0,8,1,True,False,True,False,False,0,False,True,4503,1001,True,0,10,390,5,360,30,1,600,2
2,"自走人偶001号",0,"",0,0,1,0,0,419,100,30,0,0,0,1,0,8,200,False,True,False,False,False,0,False,True,4501,10001,True,0,10,410,37,0,20,1,620,3
3,"巧儿陆行鸟",0,"",0,0,1,0,0,423,100,30,0,30,0,2,0,8,3,True,False,True,False,True,0,False,True,4502,1,True,0,15,410,23,30,20,1,601,1
4,"凯特西娃娃",0,"",0,0,1,0,0,430,100,30,0,0,0,1,0,8,201,False,True,False,False,False,0,False,True,4504,10006,True,0,20,400,25,360,20,1,625,3
5,"贝希摩斯宝宝",0,"",0,0,1,0,0,428,100,30,0,0,0,2,0,8,5,True,False,True,False,True,0,False,True,4505,1002,True,90,15,430,1,30,20,1,601,2
6,"碧海人偶003号",0,"",0,0,1,0,0,420,100,30,0,0,0,1,0,8,200,False,True,False,False,False,0,False,True,4506,10002,True,0,10,365,14,30,20,1,607,3
7,"密林人偶003号",0,"",0,0,1,0,0,421,100,30,0,0,0,1,0,8,200,False,True,False,False,False,0,False,True,4507,10003,True,0,10,280,25,360,20,1,625,3
8,"黄沙人偶003号",0,"",0,0,1,0,0,422,100,30,0,0,0,1,0,8,200,False,True,False,False,False,0,False,True,4508,10004,True,0,10,420,13,120,20,1,631,3
9,"黑涡团巧儿陆行鸟",0,"",0,0,1,0,0,424,100,30,0,30,0,2,0,8,3,True,False,True,False,True,0,False,True,4509,2,True,0,10,315,19,30,30,1,601,1
10,"双蛇党巧儿陆行鸟",0,"",0,0,1,0,0,425,100,30,0,30,0,2,0,8,3,True,False,True,False,True,0,False,True,4510,3,True,0,10,350,30,360,20,1,623,1
11,"恒辉队巧儿陆行鸟",0,"",0,0,1,0,0,426,100,30,0,30,0,2,0,8,3,True,False,True,False,True,0,False,True,4511,4,True,0,10,320,26,120,20,1,622,1
12,"魔界花骨朵",0,"",0,0,1,0,0,429,100,30,0,0,0,2,0,8,6,True,False,True,False,False,0,False,True,4512,1003,True,0,30,560,20,120,20,1,602,2
13,"小松鼠",0,"",0,0,1,0,0,431,100,30,0,0,0,2,0,8,7,True,False,False,False,True,0,False,True,4513,1004,True,0,10,400,14,120,20,1,622,1
14,"魔菇宝",0,"",0,0,1,0,0,432,100,30,0,0,0,2,0,8,8,True,False,False,True,False,0,False,True,4514,1005,True,0,10,395,4,120,20,1,602,2
15,"沙蚤虫虫",0,"",0,0,1,0,0,433,100,30,0,0,0,2,0,8,9,True,False,True,True,False,0,False,True,4515,1006,True,130,10,420,9,0,20,1,620,1
16,"青鸟",0,"",0,0,1,0,0,434,80,30,0,0,0,2,3,8,10,True,False,True,False,True,0,False,True,4516,5001,True,100,15,460,1,120,20,1,605,1
17,"幼羚羊",0,"",0,0,1,0,0,435,100,20,10,0,30,2,0,8,11,True,False,False,False,True,0,False,True,4517,1007,True,0,15,400,22,360,20,2,632,1
18,"小小魔精",0,"",0,0,1,0,0,436,100,20,10,0,0,2,0,8,12,True,False,False,False,True,0,False,True,4518,1008,True,0,20,380,1,120,20,2,608,2
19,"长须小豹",0,"",0,0,1,0,0,437,85,10,10,0,0,2,0,8,13,True,False,True,False,True,35,True,True,4552,1009,True,0,10,365,1,30,30,3,603,1
20,"长须小黑豹",0,"",0,0,1,0,0,438,75,10,10,0,0,2,0,8,13,True,False,True,False,True,35,True,True,4614,1010,True,0,15,380,31,0,30,3,620,1
21,"非正宗调查员",0,"",0,0,1,0,0,882,100,10,0,0,0,1,0,8,268,False,True,False,False,False,0,False,True,4615,9014,True,0,30,400,16,360,60,2,630,3
22,"砂砾小像兵",0,"",0,0,1,0,0,440,100,20,10,0,0,1,0,8,202,False,True,False,True,False,0,False,True,4519,1011,True,0,20,480,10,0,20,2,620,2
23,"冬贝利玩偶",0,"",0,0,1,0,0,441,100,30,0,0,0,1,0,8,203,False,True,False,True,False,0,True,True,4553,1012,True,0,20,470,16,360,60,1,630,2
24,"精金幼龟",0,"",0,0,1,0,0,442,100,10,10,0,0,2,0,8,18,True,False,False,False,True,0,False,True,4520,1013,True,0,20,480,14,120,20,2,622,2
25,"盗龙小宝",0,"",0,0,1,0,0,443,100,20,20,0,0,2,0,8,19,True,False,False,False,True,0,False,True,4521,1014,True,0,10,400,21,0,20,2,620,2
26,"小蝙蝠",0,"",0,0,1,0,0,444,100,30,0,0,0,2,0,8,20,True,False,False,False,False,0,False,True,4522,1015,True,0,10,420,20,120,20,1,631,2
27,"树苗精",0,"",0,0,1,0,0,445,100,30,0,0,0,2,0,8,21,True,False,False,False,False,0,False,True,4523,1016,True,0,25,480,35,360,25,1,634,2
28,"灰尘兔",0,"",0,0,1,0,0,446,100,10,10,0,30,2,0,8,22,True,False,False,True,False,0,False,True,4524,1017,True,0,10,340,1,120,20,2,609,1
29,"无头骑士模型",0,"",0,0,1,0,0,447,100,30,0,0,0,1,0,8,204,False,True,True,False,False,0,False,True,4525,1018,True,0,20,445,35,360,30,1,634,2
30,"巨蝌蚪",0,"",0,0,1,0,0,448,100,30,0,0,0,2,0,8,24,True,False,False,False,False,0,False,True,4526,1019,True,0,20,495,13,30,20,1,607,2
