key,0,1,2,3,4,5,6,7,8
#,Name,CompanyCraftDraftCategory,RequiredItem[0],RequiredItemCount[0],RequiredItem[1],RequiredItemCount[1],RequiredItem[2],RequiredItemCount[2],Order
int32,str,CompanyCraftDraftCategory,Item,byte,Item,byte,Item,byte,uint32
0,"飞空艇设计图2",1,12923,6,0,0,0,0,1
1,"飞空艇设计图3",1,12924,10,12923,4,0,0,2
2,"飞空艇设计图4",1,12925,10,12923,4,0,0,3
3,"飞空艇设计图5",1,12926,14,12924,4,0,0,4
4,"飞空艇设计图6",1,12927,14,12925,4,12923,4,5
5,"餐厅设计图",2,12920,10,0,0,0,0,1
6,"防具店设计图",2,12921,10,0,0,0,0,2
7,"武器店设计图",2,12922,9,12921,8,0,0,3
8,"以太转轮设计图2",0,12928,6,0,0,0,0,1
9,"以太转轮设计图3",0,12928,6,0,0,0,0,2
10,"以太转轮设计图4",0,12928,6,0,0,0,0,3
11,"以太转轮设计图5",0,12929,4,12922,2,0,0,4
12,"以太转轮设计图6",0,12929,4,12922,2,0,0,5
13,"以太转轮设计图7",0,12929,4,12922,2,0,0,6
14,"转轮台设计图2",0,12929,6,12922,3,12920,8,7
15,"莫古莫古房设计图",2,12922,11,12921,10,12923,8,4
16,"转轮台设计图3",0,12929,8,12922,5,12920,10,8
17,"飞空艇设计图7",1,12927,18,12926,8,12925,8,6
18,"转轮台设计图4",0,12929,10,12922,7,12920,12,9
19,"转轮台设计图5",0,12929,12,12922,9,12920,14,10
20,"陆行鸟房屋设计图",2,12922,14,12921,12,12923,10,5
21,"猴面雀房屋设计图",2,12922,16,12921,14,12923,12,6
22,"宝石兽房屋设计图",2,12922,18,12921,16,12923,14,7
23,"东洋城堡房屋设计图",2,12922,20,12921,18,12923,16,8
24,"潜水艇设计图1",1,5374,6,0,0,0,0,7
25,"潜水艇设计图2",1,12924,10,12923,4,0,0,8
26,"潜水艇设计图3",1,12925,10,12923,4,0,0,9
27,"獭獭房屋设计图",2,12922,21,12921,19,12923,17,9
28,"潜水艇设计图4",1,12926,14,12924,4,0,0,10
29,"潜水艇设计图5",1,12927,14,12925,4,12923,4,11
30,"潜水艇设计图6",1,26528,18,12926,8,12924,8,12
31,"半木房屋设计图",2,12922,18,29590,10,26528,8,10
