key,0,1,2,3,4,5,6,7,8,9,10,11
#,Icon,Singular,Adjective,Plural,PossessivePronoun,StartsWithVowel,,Pronoun,Article,Name,Tooltip,Action
int32,Image,str,sbyte,str,sbyte,sbyte,sbyte,sbyte,sbyte,str,str,Action
0,0,"",0,"",0,0,1,0,0,"","",0
1,27901,"",0,"",0,0,1,0,0,"魔陶器：咒印解除","清除本层所有陷阱",6259
2,27902,"",0,"",0,0,1,0,0,"魔陶器：全景","点亮本层所有地图，可看到本层所有陷阱",6260
3,27903,"",0,"",0,0,1,0,0,"魔陶器：强化自身","自身攻击造成的伤害及治疗魔法的治疗量提高30%",6262
4,27904,"",0,"",0,0,1,0,0,"魔陶器：强化防御","自身受到的伤害减轻40%",6263
5,27905,"",0,"",0,0,1,0,0,"魔陶器：宝箱增加","增加下一层的宝箱",6264
6,27906,"",0,"",0,0,1,0,0,"魔陶器：减少敌人","减少下一层的敌人",6265
7,27907,"",0,"",0,0,1,0,0,"魔陶器：改变敌人","将下一层随机一个房间的敌人变化为拟态怪或蔓德拉",6266
8,27908,"",0,"",0,0,1,0,0,"魔陶器：解咒","解除诅咒状态",6267
9,27909,"",0,"",0,0,1,0,0,"魔陶器：运气上升","在本层击败敌人时宝箱出现率上升",6268
10,27910,"",0,"",0,0,1,0,0,"魔陶器：形态变化","令进入以自身为中心一定范围内的目标变为青蛙、河童、小鸡",6269
11,27911,"",0,"",0,0,1,0,0,"魔陶器：魔法效果解除","消除本层所有魔法效果",6270
12,27912,"",0,"",0,0,1,0,0,"魔陶器：曼提克化","自身变为曼提克形态",6271
13,27913,"",0,"",0,0,1,0,0,"魔陶器：梦魔化","自身变为梦魔形态",6272
14,27916,"",0,"",0,0,1,0,0,"魔陶器：感知宝藏","显示埋藏的宝藏的所在位置，效果将持续到发现埋藏的宝藏为止",6870
15,27914,"",0,"",0,0,1,0,0,"魔陶器：重生","复活第一个陷入无法战斗状态的小队队员",6868
16,27915,"",0,"",0,0,1,0,0,"魔陶器：基路伯化","自身变为基路伯形态",6869
17,27919,"",0,"",0,0,1,0,0,"魔陶器：弱化敌人","将本层的敌人变为攻防低下的状态",11275
18,27917,"",0,"",0,0,1,0,0,"魔陶器：隐形","将自身与小队成员变为隐形状态",11276
19,27918,"",0,"",0,0,1,0,0,"魔陶器：石化敌人","将本层的敌人变为石化状态",11277
20,27920,"",0,"",0,0,1,0,0,"魔科学器：缓速","将本层的敌人变为缓速状态",32144
21,27921,"",0,"",0,0,1,0,0,"魔科学器：大漩涡","将本层的敌人的体力降至个位数",32145
22,27922,"",0,"",0,0,1,0,0,"魔科学器：恐慌装甲化","自身变为恐慌装甲形态",32146
23,27901,"",0,"",0,0,1,0,0,"魔科学器：咒印解除","清除本层所有陷阱",6259
24,27902,"",0,"",0,0,1,0,0,"魔科学器：全景","点亮本层所有地图，可看到本层所有陷阱",6260
25,27903,"",0,"",0,0,1,0,0,"魔科学器：强化自身","自身攻击造成的伤害及治疗魔法的治疗量提高30%",6262
26,27904,"",0,"",0,0,1,0,0,"魔科学器：强化防御","自身受到的伤害减轻40%",6263
27,27905,"",0,"",0,0,1,0,0,"魔科学器：宝箱增加","增加下一层的宝箱",6264
28,27906,"",0,"",0,0,1,0,0,"魔科学器：减少敌人","减少下一层的敌人",6265
29,27907,"",0,"",0,0,1,0,0,"魔科学器：改变敌人","将下一层随机一个房间的敌人变化为拟态怪或蔓德拉",6266
30,27908,"",0,"",0,0,1,0,0,"魔科学器：解咒","解除诅咒状态",6267
31,27909,"",0,"",0,0,1,0,0,"魔科学器：运气上升","在本层击败敌人时宝箱出现率上升",6268
32,27910,"",0,"",0,0,1,0,0,"魔科学器：形态变化","令进入以自身为中心一定范围内的目标变为青蛙、河童、小鸡",6269
33,27911,"",0,"",0,0,1,0,0,"魔科学器：魔法效果解除","消除本层所有魔法效果",6270
34,27916,"",0,"",0,0,1,0,0,"魔科学器：感知宝藏","显示埋藏的宝藏的所在位置，效果将持续到发现埋藏的宝藏为止",6870
35,27914,"",0,"",0,0,1,0,0,"魔科学器：重生","复活第一个陷入无法战斗状态的小队队员",6868
36,0,"",0,"",0,0,0,0,0,"","",0
37,0,"",0,"",0,0,0,0,0,"","",0
38,0,"",0,"",0,0,0,0,0,"","",0
