#,Unknown5,Unknown6,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown15,Unknown16,Unknown17,Unknown7,Unknown8
int32,uint16,uint16,byte,byte,byte,byte,byte,byte,uint32,uint32,uint32,uint32,uint32,byte,byte,bit&01,uint16,uint16
0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,8,False,0,0
1,18,588,50,100,0,0,0,0,0,0,0,0,0,1,8,False,0,0
2,0,0,100,0,0,0,0,0,0,0,0,0,0,0,8,False,0,0
3,0,0,100,0,0,0,0,0,0,0,0,0,0,0,8,False,0,0
4,0,0,100,0,0,0,0,0,0,0,0,0,0,0,8,False,0,0
5,0,0,100,0,0,0,0,0,0,0,0,0,0,0,8,False,0,0
6,0,0,100,0,0,0,0,0,0,0,0,0,0,0,8,False,0,0
7,0,0,100,0,0,0,0,0,0,0,0,0,0,0,8,False,0,0
8,0,0,100,0,0,0,0,0,0,0,0,0,0,0,8,False,0,0
9,0,0,100,0,0,0,0,0,0,0,0,0,0,0,8,False,0,0
10,0,0,100,0,0,0,0,0,0,0,0,0,0,0,8,False,0,0
