key,0,1,2,3,4,5,6,7,8,9
#,Singular,Adjective,Plural,PossessivePronoun,StartsWithVowel,,Pronoun,Article,Name{Rank},
int32,str,sbyte,str,sbyte,sbyte,sbyte,sbyte,sbyte,str,str
0,"",0,"",0,0,0,0,0,"",""
1,"二等漩兵",0,"",0,0,0,0,0,"",""
2,"一等漩兵",0,"",0,0,0,0,0,"",""
3,"上等漩兵",0,"",0,0,0,0,0,"",""
4,"漩兵长",0,"",0,0,0,0,0,"",""
5,"协漩士",0,"",0,0,0,0,0,"",""
6,"副漩士",0,"",0,0,0,0,0,"",""
7,"正漩士",0,"",0,0,0,0,0,"",""
8,"漩士长",0,"",0,0,0,0,0,"",""
9,"协漩尉",0,"",0,0,0,0,0,"",""
10,"副漩尉",0,"",0,0,0,0,0,"",""
11,"正漩尉",0,"",0,0,0,0,0,"",""
12,"协漩校",0,"",0,0,0,0,0,"",""
13,"副漩校",0,"",0,0,0,0,0,"",""
14,"正漩校",0,"",0,0,0,0,0,"",""
15,"从漩将",0,"",0,0,0,0,0,"",""
16,"协漩将",0,"",0,0,0,0,0,"",""
17,"副漩将",0,"",0,0,0,0,0,"",""
18,"正漩将",0,"",0,0,0,0,0,"",""
19,"漩涡提督",0,"",0,0,0,0,0,"",""
