key,0,1,2,3
#,Name,ENPC,,
int32,str,ENpcResident,byte,byte
0,"",0,0,0
1,"",0,0,0
2,"资材已准备充足，计划开启联合重建工程。
请利用重建公告板，确认工程的开始时间。",0,0,8
3,"预计在下次工程中完成第一次整备区域的设施建设。
工程的开始时间请前往重建公告板进行确认！",1032493,3,8
4,"辛苦了，第一次的整备计划宣告完成。
为了接下来的第二次整备计划，请前往物资窗口交纳资材！",1032493,3,8
5,"资材已准备充足，计划开启联合重建工程。
请利用重建公告板，确认工程的开始时间。",0,0,8
6,"预计在下次工程中完成第二次整备区域的设施建设。
工程的开始时间请前往重建公告板进行确认！",1032493,3,8
7,"辛苦了，第二次的整备计划宣告完成。
为了接下来的第三次整备计划，请前往物资窗口交纳资材！",1032493,3,8
8,"资材已准备充足，计划开启联合重建工程。
请利用重建公告板，确认工程的开始时间。",0,0,8
9,"预计在下次工程中完成第三次整备区域的设施建设。
工程的开始时间请前往重建公告板进行确认！",1032493,3,8
10,"“无名众人广场”的整备计划全工程就此竣工！
各位辛苦了！",1032493,8,8
11,"",0,0,0
12,"资材已准备充足，计划开启联合重建工程。
请利用重建公告板，确认工程的开始时间。",0,0,10
13,"辛苦了，十字镐大街第一次的整备计划宣告完成。
为了接下来的第二次整备计划，请前往物资窗口交纳资材！",1032493,3,10
14,"资材已准备充足，计划开启联合重建工程。
请利用重建公告板，确认工程的开始时间。",0,0,10
15,"辛苦了，十字镐大街第二次的整备计划宣告完成。
为了接下来的第三次整备计划，请前往物资窗口交纳资材！",1032493,3,10
16,"资材已准备充足，计划开启联合重建工程。
请利用重建公告板，确认工程的开始时间。",0,0,10
17,"预计在下次工程中完成十字镐大街第三次的整备计划。
工程的开始时间请前往重建公告板进行确认！",1032493,3,10
18,"辛苦了，十字镐大街第三次的整备计划宣告完成。
为了接下来的第四次整备计划，请前往物资窗口交纳资材！",1032493,3,10
19,"资材已准备充足，计划开启联合重建工程。
请利用重建公告板，确认工程的开始时间。",0,0,10
20,"预计在下次工程中完成十字镐大街第四次的整备计划。
工程的开始时间请前往重建公告板进行确认！",1032493,3,10
21,"十字镐大街的整备计划全工程就此竣工！各位辛苦了！
为了接下来的圣罗埃勒广场整备计划，请前往物资窗口交纳资材！",1032493,8,10
22,"资材已准备充足，计划开启联合重建工程。
请利用重建公告板，确认工程的开始时间。",0,0,10
23,"辛苦了，圣罗埃勒广场第一次的整备计划宣告完成。
为了接下来的第二次整备计划，请前往物资窗口交纳资材！",1032493,3,10
24,"资材已准备充足，计划开启联合重建工程。
请利用重建公告板，确认工程的开始时间。",0,0,10
25,"辛苦了，圣罗埃勒广场第二次的整备计划宣告完成。
为了接下来的第三次整备计划，请前往物资窗口交纳资材！",1032493,3,10
26,"资材已准备充足，计划开启联合重建工程。
请利用重建公告板，确认工程的开始时间。",0,0,10
27,"预计在下次工程中完成圣罗埃勒广场第三次的整备计划。
工程的开始时间请前往重建公告板进行确认！",1032493,3,10
28,"辛苦了，圣罗埃勒广场第三次的整备计划宣告完成。
为了接下来的第四次整备计划，请前往物资窗口交纳资材！",1032493,3,10
29,"资材已准备充足，计划开启联合重建工程。
请利用重建公告板，确认工程的开始时间。",0,0,10
30,"圣罗埃勒广场的整备计划全工程就此竣工！各位辛苦了！
为了接下来的新巢居住区整备计划，请前往物资窗口交纳资材！",1032493,8,10
31,"资材已准备充足，计划开启联合重建工程。
请利用重建公告板，确认工程的开始时间。",0,0,10
32,"辛苦了，新巢居住区第一次的整备计划宣告完成。
为了接下来的第二次整备计划，请前往物资窗口交纳资材！",1032493,3,10
33,"资材已准备充足，计划开启联合重建工程。
请利用重建公告板，确认工程的开始时间。",0,0,10
34,"辛苦了，新巢居住区第二次的整备计划宣告完成。
为了接下来的第三次整备计划，请前往物资窗口交纳资材！",1032493,3,10
35,"资材已准备充足，计划开启联合重建工程。
请利用重建公告板，确认工程的开始时间。",0,0,10
36,"辛苦了，新巢居住区第三次的整备计划宣告完成。
为了接下来的第四次整备计划，请前往物资窗口交纳资材！",1032493,3,10
37,"资材已准备充足，计划开启联合重建工程。
请利用重建公告板，确认工程的开始时间。",0,0,10
38,"预计在下次工程中完成新巢居住区第四次的整备计划。
工程的开始时间请前往重建公告板进行确认！",1032493,3,10
39,"辛苦了，新巢居住区第四次的整备计划宣告完成。
为了接下来的第五次整备计划，请前往物资窗口交纳资材！",1032493,3,10
40,"资材已准备充足，计划开启联合重建工程。
请利用重建公告板，确认工程的开始时间。",0,0,10
41,"预计在下次工程中完成新巢居住区第五次的整备计划。
工程的开始时间请前往重建公告板进行确认！",1032493,3,10
42,"辛苦了，新巢居住区第五次的整备计划宣告完成。
为了接下来的第六次整备计划，请前往物资窗口交纳资材！",1032493,3,10
43,"资材已准备充足，计划开启联合重建工程。
请利用重建公告板，确认工程的开始时间。",0,0,10
44,"预计在下次工程中完成新巢居住区第六次的整备计划。
工程的开始时间请前往重建公告板进行确认！",1032493,3,10
45,"辛苦了，新巢居住区第六次的整备计划宣告完成。
为了接下来的第七次整备计划，请前往物资窗口交纳资材！",1032493,3,10
46,"资材已准备充足，计划开启联合重建工程。
请利用重建公告板，确认工程的开始时间。",0,0,10
47,"预计在下次工程中完成新巢居住区第七次的整备计划。
工程的开始时间请前往重建公告板进行确认！",1032493,3,10
48,"新巢居住区的整备计划全工程就此竣工！
各位辛苦了！",1032493,8,10
49,"",0,0,0
50,"",0,0,0
51,"",0,0,0
52,"",0,0,0
53,"",0,0,0
54,"",0,0,0
55,"",0,0,0
56,"",0,0,0
57,"",0,0,0
58,"",0,0,0
59,"",0,0,0
60,"",0,0,0
61,"",0,0,0
62,"",0,0,0
63,"",0,0,0
64,"",0,0,0
65,"",0,0,0
66,"",0,0,0
67,"",0,0,0
68,"",0,0,0
69,"",0,0,0
70,"",0,0,0
71,"",0,0,0
72,"",0,0,0
73,"",0,0,0
74,"",0,0,0
75,"",0,0,0
76,"",0,0,0
77,"",0,0,0
78,"",0,0,0
79,"",0,0,0
