key,0,1,2,3,4
#,Type,,,,Text
int32,HWDInfoBoardArticleType,byte,uint16,bit&01,str
0,0,0,0,False,""
1,0,0,0,False,""
2,0,0,0,False,""
3,0,0,0,False,""
4,0,0,0,False,""
5,1,0,0,True,""
6,1,0,0,True,""
7,1,0,0,True,""
8,1,0,0,True,""
9,1,0,0,True,""
10,1,0,0,True,""
11,1,0,0,True,""
12,2,1,1,True,"<Switch(IntegerParameter(1))><Case(1)>无名众人广场：第一次整备计划</Case><Case(2)>第1阶段　无名众人广场：第一次整备计划</Case></Switch>"
13,2,1,2,False,"<Switch(IntegerParameter(1))><Case(1)>请来参加联合重建工程！</Case><Case(2)>第2阶段　请来参加联合重建工程！</Case></Switch>"
14,2,4,3,True,"<Switch(IntegerParameter(1))><Case(1)>无名众人广场：第二次整备计划</Case><Case(2)>第3阶段　无名众人广场：第二次整备计划</Case></Switch>"
15,2,4,4,False,"<Switch(IntegerParameter(1))><Case(1)>再次参加联合重建工程！</Case><Case(2)>第4阶段　再次参加联合重建工程！</Case></Switch>"
16,2,7,5,True,"<Switch(IntegerParameter(1))><Case(1)>无名众人广场：第三次整备计划</Case><Case(2)>第5阶段　无名众人广场：第三次整备计划</Case></Switch>"
17,2,7,6,False,"<Switch(IntegerParameter(1))><Case(1)>请协助莉兹贝丝的计划！</Case><Case(2)>第6阶段　请协助莉兹贝丝的计划！</Case></Switch>"
18,2,10,7,True,"<Switch(IntegerParameter(1))><Case(1)>无名众人广场：整备完成</Case><Case(2)>第7阶段　无名众人广场：整备完成</Case></Switch>"
19,3,1,2,True,"关于交纳制品"
20,3,1,3,True,"关于联合重建工程"
21,3,1,1,True,"什么是“重建伊修加德”"
22,1,0,0,True,""
23,1,0,0,True,""
24,1,0,0,True,""
25,1,0,0,True,""
26,2,11,1,True,"<Switch(IntegerParameter(1))><Case(1)>十字镐大街整备计划</Case><Case(2)>第1阶段　十字镐大街整备计划</Case></Switch>"
27,2,11,2,False,"<Switch(IntegerParameter(1))><Case(1)>重建工程迈出了崭新的一步！</Case><Case(2)>第2阶段　重建工程迈出了崭新的一步！</Case></Switch>"
28,2,14,3,False,"<Switch(IntegerParameter(1))><Case(1)>十字镐大街的联合重建工程正在进行中！</Case><Case(2)>第3阶段　十字镐大街的联合重建工程正在进行中！</Case></Switch>"
29,2,16,4,False,"<Switch(IntegerParameter(1))><Case(1)>拜托各位工匠对十字镐大街进行整备！</Case><Case(2)>第4阶段　拜托各位工匠对十字镐大街进行整备！</Case></Switch>"
30,2,19,5,False,"<Switch(IntegerParameter(1))><Case(1)>参加联合重建工程建造喷泉啦！</Case><Case(2)>第5阶段　参加联合重建工程建造喷泉啦！</Case></Switch>"
31,2,21,6,True,"<Switch(IntegerParameter(1))><Case(1)>圣罗埃勒广场整备计划</Case><Case(2)>第6阶段　圣罗埃勒广场整备计划</Case></Switch>"
32,2,21,7,False,"<Switch(IntegerParameter(1))><Case(1)>开始着手建设新的道路！</Case><Case(2)>第7阶段　开始着手建设新的道路！</Case></Switch>"
33,2,24,8,False,"<Switch(IntegerParameter(1))><Case(1)>我一直在观赏着各位工匠作业时华丽的样子。</Case><Case(2)>第8阶段　我一直在观赏着各位工匠作业时华丽的样子。</Case></Switch>"
34,2,26,9,False,"<Switch(IntegerParameter(1))><Case(1)>招人！铺装作业员！</Case><Case(2)>第9阶段　招人！铺装作业员！</Case></Switch>"
35,2,29,10,False,"<Switch(IntegerParameter(1))><Case(1)>在联合重建工程中展现工匠的手艺吧！</Case><Case(2)>第10阶段　在联合重建工程中展现工匠的手艺吧！</Case></Switch>"
36,2,30,11,True,"<Switch(IntegerParameter(1))><Case(1)>新巢居住区整备计划</Case><Case(2)>第11阶段　新巢居住区整备计划</Case></Switch>"
37,2,30,12,False,"<Switch(IntegerParameter(1))><Case(1)>终于要在居住区的预定施工地点开始联合重建工程了！</Case><Case(2)>第12阶段　终于要在居住区的预定施工地点开始联合重建工程了！</Case></Switch>"
38,2,33,13,False,"<Switch(IntegerParameter(1))><Case(1)>联合重建工程顺利进行中！</Case><Case(2)>第13阶段　联合重建工程顺利进行中！</Case></Switch>"
39,2,35,14,False,"<Switch(IntegerParameter(1))><Case(1)>请继续协助清除瓦砾！</Case><Case(2)>第14阶段　请继续协助清除瓦砾！</Case></Switch>"
40,2,37,15,False,"<Switch(IntegerParameter(1))><Case(1)>长时间的瓦砾清除作业，辛苦各位了！</Case><Case(2)>第15阶段　长时间的瓦砾清除作业，辛苦各位了！</Case></Switch>"
41,2,40,16,False,"<Switch(IntegerParameter(1))><Case(1)>终于要开始建设住房了！</Case><Case(2)>第16阶段　终于要开始建设住房了！</Case></Switch>"
42,2,43,17,False,"<Switch(IntegerParameter(1))><Case(1)>住房正在建设中！</Case><Case(2)>第17阶段　住房正在建设中！</Case></Switch>"
43,2,46,18,False,"<Switch(IntegerParameter(1))><Case(1)>此次为本期最后的联合重建工程！</Case><Case(2)>第18阶段　此次为本期最后的联合重建工程！</Case></Switch>"
44,2,48,19,True,"<Switch(IntegerParameter(1))><Case(1)>新巢居住区：整备完成</Case><Case(2)>第19阶段　新巢居住区：整备完成</Case></Switch>"
45,3,11,4,True,"关于库啵好运道"
46,3,11,5,True,"关于云冠群岛"
47,1,0,0,True,""
48,1,0,0,True,""
49,1,0,0,True,""
50,1,0,0,True,""
51,2,49,1,True,"<Switch(IntegerParameter(1))><Case(1)>落羽商业区整备计划</Case><Case(2)>第1阶段　落羽商业区整备计划</Case></Switch>"
52,2,50,2,False,"<Switch(IntegerParameter(1))><Case(1)>欢迎对力量有自信的人参加！</Case><Case(2)>第2阶段　欢迎对力量有自信的人参加！</Case></Switch>"
53,2,52,3,False,"<Switch(IntegerParameter(1))><Case(1)>拜托各位去清除瓦砾！</Case><Case(2)>第3阶段　拜托各位去清除瓦砾！</Case></Switch>"
54,2,54,4,False,"<Switch(IntegerParameter(1))><Case(1)>感谢各位平日里的协助。</Case><Case(2)>第4阶段　感谢各位平日里的协助。</Case></Switch>"
55,2,56,5,False,"<Switch(IntegerParameter(1))><Case(1)>募集人手！</Case><Case(2)>第5阶段　募集人手！</Case></Switch>"
56,2,59,6,False,"<Switch(IntegerParameter(1))><Case(1)>要开始建造大规模设施了！</Case><Case(2)>第6阶段　要开始建造大规模设施了！</Case></Switch>"
57,2,62,7,False,"<Switch(IntegerParameter(1))><Case(1)>请开始联合重建工程建造建筑物！</Case><Case(2)>第7阶段　请开始联合重建工程建造建筑物！</Case></Switch>"
58,2,65,8,False,"<Switch(IntegerParameter(1))><Case(1)>住房的建设工作正在顺利进行中！</Case><Case(2)>第8阶段　住房的建设工作正在顺利进行中！</Case></Switch>"
59,2,67,9,True,"<Switch(IntegerParameter(1))><Case(1)>算盘大街整备计划</Case><Case(2)>第9阶段　算盘大街整备计划</Case></Switch>"
60,2,68,10,False,"<Switch(IntegerParameter(1))><Case(1)>开始对新大街进行整备了！</Case><Case(2)>第10阶段　开始对新大街进行整备了！</Case></Switch>"
61,2,70,11,False,"<Switch(IntegerParameter(1))><Case(1)>即将对算盘大街进行铺装作业！</Case><Case(2)>第11阶段　即将对算盘大街进行铺装作业！</Case></Switch>"
62,2,73,12,False,"<Switch(IntegerParameter(1))><Case(1)>请为算盘大街装饰美丽的雕像。</Case><Case(2)>第12阶段　请为算盘大街装饰美丽的雕像。</Case></Switch>"
63,2,74,13,True,"<Switch(IntegerParameter(1))><Case(1)>白霜官舍整备计划</Case><Case(2)>第13阶段　白霜官舍整备计划</Case></Switch>"
64,2,75,14,False,"<Switch(IntegerParameter(1))><Case(1)>开始建设巨大的设施！</Case><Case(2)>第14阶段　开始建设巨大的设施！</Case></Switch>"
65,2,79,15,True,"<Switch(IntegerParameter(1))><Case(1)>落羽商业区：整备完成</Case><Case(2)>第15阶段　落羽商业区：整备完成</Case></Switch>"
66,0,0,0,False,""
67,0,0,0,False,""
68,0,0,0,False,""
69,0,0,0,False,""
70,0,0,0,False,""
71,0,0,0,False,""
72,0,0,0,False,""
73,0,0,0,False,""
74,0,0,0,False,""
75,0,0,0,False,""
76,0,0,0,False,""
77,0,0,0,False,""
78,0,0,0,False,""
79,0,0,0,False,""
80,0,0,0,False,""
81,0,0,0,False,""
82,0,0,0,False,""
83,0,0,0,False,""
84,0,0,0,False,""
85,0,0,0,False,""
86,0,0,0,False,""
87,0,0,0,False,""
