key,0,1
#,,
int32,str,str
0,"",""
1,"神罗","ShenLuo"
2,"魔晄","まこう"
3,"蒂法","DiFa"
4,"克劳德","KeLaoDe"
5,"巴雷特","BaLeiTe"
6,"杰西","JieXi"
7,"ビッグス","びっぐす"
8,"ウェッジ","うぇっじ"
9,"神罗战士","ShenLuoZhanShi"
10,"雪崩","XueBeng"
11,"猎敌者","LieDiZhe"
12,"海德格","HaiDeGe"
13,"星球的哀号","XingQiuDeAiHao"
14,"第捌区","DiBaQu"
15,"我没兴趣","WoMeiXingQu"
16,"壱番魔晄炉","いちばんまこうろ"
17,"ガードスコーピオン","がーどすこーぴおん"
18,"神罗总裁","ShenLuoZongCai"
19,"别擅自把我当成一伙的","BieShanZiBaWoDangChengYiHuoDe"
20,"仕事が終われば他人だ","しごとがおわればたにんだ"
21,"强硬和愚蠢只有一线之隔","QiangYingHeYuChunZhiYouYiXianZhiGe"
22,"がっかりさせんじゃねえぞ","がっかりさせんじゃねえぞ"
23,"胖莫古力","PangMoGuLi"
24,"宇宙骑士团","YuZhouQiShiTuan"
25,"单手是枪的男人","DanShouShiQiangDeNanRen"
26,"コレルプリズン","これるぷりずん"
27,"孤狼盖斯","GuLangGaiSi"
28,"葛斯老弟","GeSiLaoDi"
29,"コルネオファミリー","こるねおふぁみりー"
30,"艾丝特","AiSiTe"
31,"乔","Qiao"
32,"人生就是战斗！","RenShengJiuShiZhanDou"
33,"塔克斯的制服为什么是黑色的啊！","TaKeSiDeZhiFuWeiShenMeShiHeiSeDeA"
34,"请多指教！","QingDuoZhiJiao"
35,"陆行鸟房","LuXingNiaoFang"
36,"艾蕾诺雅","AiLeiNuoYa"
37,"蜜娜","MiNa"
38,"给我圣灵药！","GeiWoShengLingYao"
39,"给我回旋镖！","GeiWoHuiXuanBiao"
40,"バスターソードちょうだい！","ばすたーそーどちょうだい"
41,"给我狼牙棒！","GeiWoLangYaBang"
42,"给我突击炮！","GeiWoTuJiPao"
43,"ハートビートちょうだい！","はーとびーとちょうだい"
44,"ガードロッドちょうだい！","がーどろっどちょうだい"
45,"スターブレスちょうだい！","すたーぶれすちょうだい"
46,"レザーガードちょうだい！","れざーがーどちょうだい"
47,"パワーリストちょうだい！","ぱわーりすとちょうだい"
48,"タリスマンちょうだい！","たりすまんちょうだい"
