key,0,1
#,,
int32,str,str
0,"",""
1,"",""
2,"",""
3,"",""
4,"任务缓和","当前版本针对零式大型任务做出以下调整。
　·各层攻略后不再记录攻略进度。
　·各层不再需要按顺序攻略。
　·宝箱必定会出现。
　·从宝箱中获取道具不会有每周获取限制。
"
5,"匹配条件","<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>匹配条件<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
匹配条件中的“任务已完成”只有在曾经完成过对应任务时才能选择。

<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>目的<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
目的“完成任务”只有在尚未获得周奖励时才能选择。

<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>指定练习阶段<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
只有目的选择了“练习”时才可选择。
指定练习阶段并不表示可以直接跳过其他阶段。

在申请状态下到达每周重置时间时，申请会被取消。"
6,"记录进度","每个玩家自身都会单独保存最新零式大型任务的挑战进度，
当再次进行任务时，会在前一次中断的位置继续进行挑战。
 
挑战的进度会在<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>每周<ResetTime>1203</ResetTime><Switch(TopLevelParameter(220))><Case(1)>周日</Case><Case(2)>周一</Case><Case(3)>周二</Case><Case(4)>周三</Case><Case(5)>周四</Case><Case(6)>周五</Case><Case(7)>周六</Case></Switch>的<If(TopLevelParameter(218))><Switch(TopLevelParameter(218))><Case(1)>1</Case><Case(2)>2</Case><Case(3)>3</Case><Case(4)>4</Case><Case(5)>5</Case><Case(6)>6</Case><Case(7)>7</Case><Case(8)>8</Case><Case(9)>9</Case><Case(10)>10</Case><Case(11)>11</Case><Case(12)>12</Case><Case(13)>13</Case><Case(14)>14</Case><Case(15)>15</Case><Case(16)>16</Case><Case(17)>17</Case><Case(18)>18</Case><Case(19)>19</Case><Case(20)>20</Case><Case(21)>21</Case><Case(22)>22</Case><Case(23)>23</Case></Switch><Else/>0</If>点（地球时间）<UIGlow>01</UIGlow><UIForeground>01</UIForeground>重置。"
7,"进度与报酬","在最新的零式大型任务中，
进度超前的玩家在已经完成过的阶段不会获得报酬。

随着队伍中进度超前队员的人数，
宝箱的出现数量以及报酬数量会发生变化。 
　·进度超前队员为0人时宝箱出现数：1个
　·进度超前队员有1-4人时宝箱出现数：1个（报酬数量减少）
　·进度超前队员有5人或以上时宝箱出现数：0个
 
以单人或者不满8人的队伍参加最新的零式大型任务时，
根据匹配到的成员的进度不同，
宝箱的出现数量及报酬数量也可能会发生变化。 "
