key,0,1
#,Name,Description
int32,str,str
0,"",""
1,"雪风","金碟游乐场交换"
2,"水车低鸣","格里达尼亚出售"
3,"伟大的母港","利姆萨·罗敏萨出售"
4,"希望之都","乌尔达哈出售"
5,"监牢","伊修加德出售"
6,"沙之家","萨纳兰出售"
7,"曼德维尔金碟游乐场","金碟游乐场交换"
8,"陆行鸟竞赛","金碟游乐场交换"
9,"再来一杯！","道具制作
主要素材：摩杜纳交换"
10,"华彩的山麓","道具制作
主要素材：龙堡参天高地的恶名精英处获得"
11,"云中匿影","道具制作
主要素材：阿巴拉提亚云海的恶名精英处获得"
12,"水晶序曲　～冒险的序章～","成就“旋律的沉醉者1”报酬"
13,"非著名调查员","金碟游乐场交换"
14,"唯一的行路","道具制作
主要素材：寻宝获得"
15,"走向世界","道具制作
主要素材：飞空艇探索获得"
16,"啪啪呀","季节活动报酬"
17,"坚毅","伊修加德交换"
18,"以血洗血","道具制作
主要素材：狼狱水上竞技场交换"
19,"饿狼群集","道具制作
主要素材：狼狱水上竞技场交换"
20,"激潮","道具制作
主要素材：“天然要害沙斯塔夏溶洞”或“逆转要害沙斯塔夏溶洞”获得"
21,"漆黑的誓言","道具制作
主要素材：“地下灵殿塔姆·塔拉墓园”或“惨剧灵殿塔姆·塔拉墓园”获得"
22,"黑暗的拥抱","道具制作
主要素材：“封锁坑道铜铃铜山”或“骚乱坑道铜铃铜山”获得"
23,"风暴中的灯火","道具制作
主要素材：“领航明灯天狼星灯塔”或“地脉灵灯天狼星灯塔”获得"
24,"异想天开","道具制作
主要素材：“血战苍穹魔科学研究所”获得"
25,"上下易位","道具制作
主要素材：“星海空间颠倒塔”获得"
26,"魔大战的伤痕","道具制作
主要素材：“腐坏遗迹无限城市街古迹”或“神圣遗迹无限城市街古迹”获得"
27,"天降之力","金碟游乐场交换"
28,"究极神兵","成就“旋律的沉醉者2”报酬"
29,"诸神已死","道具制作
主要素材：“究极神兵破坏作战”获得
（以最低品级参加时获得概率上升）"
30,"原始的审判","道具制作
主要素材：“伊弗利特歼殛战”获得
（以最低品级参加时获得概率上升）"
31,"堕天使","道具制作
主要素材：“迦楼罗歼殛战”获得
（以最低品级参加时获得概率上升）"
