key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
#,Model,,,,,Order,Icon,Transient,Singular,Adjective,Plural,PossessivePronoun,StartsWithVowel,,Pronoun,Article
int32,uint16,byte,byte,byte,uint16,int16,Image,uint16,str,sbyte,str,sbyte,sbyte,sbyte,sbyte,sbyte
0,0,0,0,0,0,-1,0,0,"",0,"",0,0,1,0,0
1,2939,1,1,1,2,0,8001,1,"阳伞",0,"",0,0,1,0,0
2,2940,1,1,1,2,1,8002,2,"天蓝阳伞",0,"",0,0,1,0,0
3,3007,1,1,1,2,2,8003,3,"红漆油纸伞",0,"",0,0,1,0,0
4,3008,1,1,1,2,3,8004,4,"紫漆油纸伞",0,"",0,0,1,0,0
5,3009,1,1,1,2,4,8005,5,"黄漆油纸伞",0,"",0,0,1,0,0
6,3010,1,1,1,2,5,8006,6,"沉稳方格阳伞",0,"",0,0,1,0,0
7,3011,1,1,1,2,6,8007,7,"活力方格阳伞",0,"",0,0,1,0,0
8,3012,1,1,1,2,7,8008,8,"典雅方格阳伞",0,"",0,0,1,0,0
9,3042,2,0,2,0,8,8013,100,"天使之翼",0,"",0,0,1,0,0
10,3169,1,1,1,2,9,8012,9,"金碟阳伞",0,"",0,0,1,0,0
11,3166,1,1,1,2,10,8009,10,"趣味圆点阳伞",0,"",0,0,1,0,0
12,3167,1,1,1,2,11,8010,11,"端庄圆点阳伞",0,"",0,0,1,0,0
13,3168,1,1,1,2,12,8011,12,"田园圆点阳伞",0,"",0,0,1,0,0
14,3286,1,1,1,2,13,8014,13,"猫小胖阳伞",0,"",0,0,1,0,0
15,3287,1,1,1,2,14,8015,14,"隆卡的水蛇伞？",0,"",0,0,1,0,0
16,3288,1,1,1,2,15,8016,15,"红月油纸伞",0,"",0,0,1,0,0
17,3426,2,0,2,0,16,8017,100,"堕天使之翼",0,"",0,0,1,0,0
18,3427,2,0,2,0,17,8018,100,"大天使之翼",0,"",0,0,1,0,0
19,3428,3,0,2,0,18,8019,101,"迪亚波罗斯之翼",0,"",0,0,1,0,0
20,3429,6,0,2,0,19,8020,102,"仙子族之翼",0,"",0,0,1,0,0
21,0,0,0,0,0,0,0,0,"",0,"",0,0,0,0,0
22,3431,5,0,2,0,21,8022,200,"幻象椭圆眼镜",0,"",0,0,1,0,0
23,3611,1,1,1,2,22,8023,16,"白色花边阳伞",0,"",0,0,1,0,0
24,3612,1,1,1,2,23,8024,17,"蓝色印花阳伞",0,"",0,0,1,0,0
25,3613,5,0,2,0,24,8025,201,"幻象金边墨镜",0,"",0,0,1,0,0
26,3614,7,0,2,0,25,8026,202,"幻象经典眼镜",0,"",0,0,1,0,0
27,3701,1,1,1,2,26,8027,18,"仙人刺阳伞",0,"",0,0,1,0,0
28,3702,6,0,2,0,27,8028,102,"蓝色仙子族之翼",0,"",0,0,1,0,0
29,0,0,0,0,0,0,0,0,"",0,"",0,0,0,0,0
30,3815,1,1,1,2,28,8029,19,"猫耳小伞",0,"",0,0,1,0,0
31,3816,1,1,1,2,29,8030,20,"防雨系统",0,"",0,0,1,0,0
32,0,0,0,0,0,0,0,0,"",0,"",0,0,0,0,0
33,0,0,0,0,0,0,0,0,"",0,"",0,0,0,0,0
34,3886,1,1,1,2,32,8032,21,"监工小员伞",0,"",0,0,1,0,0
