key,0
#,Text{Output}
int32,str
0,""
1,"该指令只能在“水晶冲突”中使用。
使用后会在小队频道中显示固定的发言内容。
<Color(PlayerParameter(16))><27>01</27><28>02</28>“大家好！”<28>01</28><27>02</27></Color>"
2,"该指令只能在“水晶冲突”中使用。
使用后会在小队频道中显示固定的发言内容。
<Color(PlayerParameter(16))><27>01</27><28>02</28>“辛苦了！”<28>01</28><27>02</27></Color>"
3,"该指令只能在“水晶冲突”中使用。
使用后会在小队频道中显示固定的发言内容。
<Color(PlayerParameter(16))><27>01</27><28>02</28>“谢谢！”<28>01</28><27>02</27></Color>"
4,"该指令只能在“水晶冲突”中使用。
使用后会在小队频道中显示固定的发言内容。
<Color(PlayerParameter(16))><27>01</27><28>02</28>“漂亮！”<28>01</28><27>02</27></Color>"
5,"该指令只能在“群狼盛宴”中使用。
使用后会在小队频道中显示对战用额外技能1的可使用情况。
<Color(PlayerParameter(16))><27>01</27><28>02</28>“‘技能名’准备就绪！”
“‘技能名’还有‘剩余时间’秒才能使用！”<28>01</28><27>02</27></Color>"
6,"该指令只能在“水晶冲突”中使用。
使用后会根据情况在小队频道中显示发言内容。
<Color(PlayerParameter(16))><27>01</27><28>02</28>“特职名”：“极限技准备就绪！”
“特职名”：“极限技充能‘当前数值’%！”<28>01</28><27>02</27></Color>"
7,"该指令只能在“群狼盛宴”中使用。
使用后会在小队频道中显示固定的发言内容。
<Color(PlayerParameter(16))><27>01</27><28>02</28>“我来瞄准攻击补给箱！”<28>01</28><27>02</27></Color>"
8,"该指令只能在“群狼盛宴”中使用。
使用后会在小队频道中显示固定的发言内容。
<Color(PlayerParameter(16))><27>01</27><28>02</28>“我来瞄准防御补给箱！”<28>01</28><27>02</27></Color>"
9,"该指令只能在“群狼盛宴”中使用。
使用后会在小队频道中显示固定的发言内容。
<Color(PlayerParameter(16))><27>01</27><28>02</28>“我来瞄准奋战补给箱！”<28>01</28><27>02</27></Color>"
10,"该指令只能在“群狼盛宴”中使用。
使用后会在小队频道中显示固定的发言内容。
<Color(PlayerParameter(16))><27>01</27><28>02</28>“我来瞄准狼心！”<28>01</28><27>02</27></Color>"
11,"该指令只能在“群狼盛宴”中使用。
使用后会在小队频道中显示固定的发言内容。
<Color(PlayerParameter(16))><27>01</27><28>02</28>“我来攻击防护职业！”<28>01</28><27>02</27></Color>"
12,"该指令只能在“群狼盛宴”中使用。
使用后会在小队频道中显示固定的发言内容。
<Color(PlayerParameter(16))><27>01</27><28>02</28>“我来攻击治疗职业！”<28>01</28><27>02</27></Color>"
13,"该指令只能在“群狼盛宴”中使用。
使用后会在小队频道中显示固定的发言内容。
<Color(PlayerParameter(16))><27>01</27><28>02</28>“我来攻击近战职业！”<28>01</28><27>02</27></Color>"
14,"该指令只能在“群狼盛宴”中使用。
使用后会在小队频道中显示固定的发言内容。
<Color(PlayerParameter(16))><27>01</27><28>02</28>“我来攻击远程职业！”<28>01</28><27>02</27></Color>"
15,"该指令只能在“群狼盛宴”中使用。
使用后会在小队频道中显示固定的发言内容。
<Color(PlayerParameter(16))><27>01</27><28>02</28>“我来拖住防护职业！”<28>01</28><27>02</27></Color>"
16,"该指令只能在“群狼盛宴”中使用。
使用后会在小队频道中显示固定的发言内容。
<Color(PlayerParameter(16))><27>01</27><28>02</28>“我来拖住治疗职业！”<28>01</28><27>02</27></Color>"
17,"该指令只能在“群狼盛宴”中使用。
使用后会在小队频道中显示固定的发言内容。
<Color(PlayerParameter(16))><27>01</27><28>02</28>“我来拖住近战职业！”<28>01</28><27>02</27></Color>"
18,"该指令只能在“群狼盛宴”中使用。
使用后会在小队频道中显示固定的发言内容。
<Color(PlayerParameter(16))><27>01</27><28>02</28>“我来拖住远程职业！”<28>01</28><27>02</27></Color>"
19,"该指令只能在“群狼盛宴”中使用。
使用后会在小队频道中显示固定的发言内容。
<Color(PlayerParameter(16))><27>01</27><28>02</28>“我来拾取战章！”<28>01</28><27>02</27></Color>"
20,"该指令只能在“群狼盛宴”中使用。
使用后会在小队频道中显示固定的发言内容。
<Color(PlayerParameter(16))><27>01</27><28>02</28>“请去拾取战章！”<28>01</28><27>02</27></Color>"
21,"该指令只能在“水晶冲突”中使用。
使用后会在小队频道中显示固定的发言内容。
<Color(PlayerParameter(16))><27>01</27><28>02</28>“大家一起进攻！”<28>01</28><27>02</27></Color>"
22,"该指令只能在“水晶冲突”中使用。
使用后会在小队频道中显示固定的发言内容。
<Color(PlayerParameter(16))><27>01</27><28>02</28>“大家先撤退！”<28>01</28><27>02</27></Color>"
23,"该指令只能在“水晶冲突”中使用。
使用后会根据情况在小队频道中显示发言内容。
<Color(PlayerParameter(16))><27>01</27><28>02</28>“我的魔力还有‘当前数值’%！”<28>01</28><27>02</27></Color>"
24,"该指令只能在“群狼盛宴”中使用。
使用后会根据情况在小队频道中显示发言内容。
<Color(PlayerParameter(16))><27>01</27><28>02</28>“我的技力还有‘当前数值’%！”<28>01</28><27>02</27></Color>"
25,"该指令只能在“水晶冲突”中使用。
选中对战对手时使用，会在小队频道中显示以该对象为目标的战术指示。
<Color(PlayerParameter(16))><27>01</27><28>02</28>“我来攻击‘特职名’！”<28>01</28><27>02</27></Color>"
26,"该指令只能在“水晶冲突”中使用。
选中对战对手时使用，会在小队频道中显示以该对象为目标的战术指示。
<Color(PlayerParameter(16))><27>01</27><28>02</28>“我来干扰‘特职名’！”<28>01</28><27>02</27></Color>"
27,"该指令只能在“群狼盛宴”中使用。
使用后会在小队频道中显示对战用额外技能2的可使用情况。
<Color(PlayerParameter(16))><27>01</27><28>02</28>“‘技能名’准备就绪！”
“‘技能名’还有‘剩余时间’秒才能使用！”<28>01</28><27>02</27></Color>"
28,"该指令只能在“群狼盛宴”中使用。
选中对战对手时使用，会标记对象并进行倒数，同时在小队频道中显示以该对象为目标的战术指示。
<Color(PlayerParameter(16))><27>01</27><28>02</28>“集中攻击‘职业名’！”<28>01</28><27>02</27></Color>"
29,"该指令只能在“群狼盛宴”中使用。
中断“开始集中攻击”并在小队频道中显示战术指示。
<Color(PlayerParameter(16))><27>01</27><28>02</28>“停止集中攻击！”<28>01</28><27>02</27></Color>"
30,"该指令只能在“水晶冲突”中使用。
使用后会在小队频道中显示固定的发言内容。
<Color(PlayerParameter(16))><27>01</27><28>02</28>“是我的错！”<28>01</28><27>02</27></Color>"
31,"该指令只能在“水晶冲突”中使用。
使用后会在小队频道中显示固定的发言内容。
<Color(PlayerParameter(16))><27>01</27><28>02</28>“我上了！”<28>01</28><27>02</27></Color>"
32,"该指令只能在“水晶冲突”中使用。
使用后会在小队频道中显示固定的发言内容。
<Color(PlayerParameter(16))><27>01</27><28>02</28>“我先退后调整！”<28>01</28><27>02</27></Color>"
33,"该指令只能在“水晶冲突”中使用。
使用后会根据情况在小队频道中显示发言内容。
<Color(PlayerParameter(16))><27>01</27><28>02</28>“特职名”：“我来押运战术水晶！”<28>01</28><27>02</27></Color>"
34,"该指令只能在“水晶冲突”中使用。
使用后会在小队频道中显示固定的发言内容。
<Color(PlayerParameter(16))><27>01</27><28>02</28>“请去押运战术水晶！”<28>01</28><27>02</27></Color>"
35,"该指令只能在“水晶冲突”中使用。
选中小队成员时使用，会在小队频道中显示以该对象为目标的战术指示。
<Color(PlayerParameter(16))><27>01</27><28>02</28>“我来掩护‘特职名’！”<28>01</28><27>02</27></Color>"
36,"该指令只能在“水晶冲突”中使用。
使用后会根据情况在小队频道中显示发言内容。
<Color(PlayerParameter(16))><27>01</27><28>02</28>“特职名”：“我要发动极限技了！”<28>01</28><27>02</27></Color>"
37,"该指令只能在“水晶冲突”中使用。
使用后会在小队频道中显示固定的发言内容。
<Color(PlayerParameter(16))><27>01</27><28>02</28>“我们集合吧！”<28>01</28><27>02</27></Color>"
38,"该指令只能在“水晶冲突”中使用。
使用后会在小队频道中显示净化的可使用情况。
<Color(PlayerParameter(16))><27>01</27><28>02</28>“净化准备就绪！”
“净化还有‘剩余时间’秒才能使用！”<28>01</28><27>02</27></Color>"
39,"该指令只能在“水晶冲突”中使用。
使用后会在小队频道中显示防御的可使用情况。
<Color(PlayerParameter(16))><27>01</27><28>02</28>“防御准备就绪！”
“防御还有‘剩余时间’秒才能使用！”<28>01</28><27>02</27></Color>"
