key,0,1,2,3,4,5,6,7,8
#,Color,Shade,SubOrder,Name,Name2,,,,
int32,Color,byte,byte,uint32,uint32,str,str,bit&01,bit&02
0,0,2,1,5728,0,"","无染色",False,True
1,14999504,2,2,52254,0,"素雪白","素雪白",False,True
2,11315362,2,3,52254,0,"苍白灰","苍白灰",False,True
3,9013124,2,4,52254,0,"古菩灰","古菩灰",False,True
4,6645093,2,5,52254,0,"石板灰","石板灰",False,True
5,4736834,2,6,52254,0,"木炭灰","木炭灰",False,True
6,2828579,2,7,52254,0,"煤烟黑","煤烟黑",False,True
7,15114134,4,1,52254,0,"玫瑰粉","玫瑰粉",False,True
8,8612201,4,2,52254,0,"丁香紫","丁香紫",False,True
9,5969705,4,3,52254,0,"罗兰莓","罗兰莓",False,True
10,7871002,4,4,52254,0,"卫月红","卫月红",False,True
11,6431239,4,5,52254,0,"铁锈红","铁锈红",False,True
12,4527377,4,6,52254,0,"果酒红","果酒红",False,True
13,13397086,4,7,52254,0,"珊瑚粉","珊瑚粉",False,True
14,9517863,4,8,52254,0,"鲜血红","鲜血红",False,True
15,14985866,4,9,52254,0,"鲑鱼粉","鲑鱼粉",False,True
16,12016685,5,1,52254,0,"日落橙","日落橙",False,True
17,8206598,5,2,52254,0,"台地红","台地红",False,True
18,6966071,5,3,52254,0,"树皮棕","树皮棕",False,True
19,7224612,5,4,52254,0,"巧克力","巧克力",False,True
20,5188895,5,5,52254,0,"铁锈棕","铁锈棕",False,True
21,3154203,5,6,52254,0,"钴铁棕","钴铁棕",False,True
22,13209942,5,7,52254,0,"软木棕","软木棕",False,True
23,10055231,5,8,52254,0,"卢恩棕","卢恩棕",False,True
24,8084525,5,9,52254,0,"奥猴棕","奥猴棕",False,True
25,10651484,5,10,52254,0,"山羊棕","山羊棕",False,True
26,12940324,5,11,52254,0,"南瓜橙","南瓜橙",False,True
27,9328667,5,12,52254,0,"橡果棕","橡果棕",False,True
28,6570518,5,13,52254,0,"果园棕","果园棕",False,True
29,4008205,5,14,52254,0,"山栗棕","山栗棕",False,True
30,12166281,5,15,52254,0,"哥布林","哥布林",False,True
31,9601388,5,16,52254,0,"页岩棕","页岩棕",False,True
32,6378053,5,17,52254,0,"鼹鼠棕","鼹鼠棕",False,True
33,4141865,5,18,52254,0,"沃土棕","沃土棕",False,True
34,15455136,6,1,52254,0,"骸骨白","骸骨白",False,True
35,12034928,6,2,52254,0,"黄沙棕","黄沙棕",False,True
36,14398551,6,3,52254,0,"陆行鸟黄","沙漠黄",False,True
37,16434731,6,4,52254,0,"蜂蜜黄","蜂蜜黄",False,True
38,14982708,6,5,52254,0,"玉米黄","玉米黄",False,True
39,12355588,6,6,52254,0,"猛豹黄","猛豹黄",False,True
40,15914864,6,7,52254,0,"奶油黄","奶油黄",False,True
41,10847280,6,8,52254,0,"日影黄","日影黄",False,True
42,4207377,6,9,52254,0,"萄干棕","萄干棕",False,True
43,5788208,7,1,52254,0,"泥沼绿","泥沼绿",False,True
44,12303242,7,2,52254,0,"妖精绿","妖精绿",False,True
45,11251796,7,3,52254,0,"青柠绿","青柠绿",False,True
46,7369510,7,4,52254,0,"苔藓绿","苔藓绿",False,True
47,9149539,7,5,52254,0,"牧草绿","牧草绿",False,True
48,4936242,7,6,52254,0,"橄榄绿","橄榄绿",False,True
49,3290657,7,7,52254,0,"沼泽绿","沼泽绿",False,True
50,10204003,7,8,52254,0,"苹果绿","苹果绿",False,True
51,6652481,7,9,52254,0,"仙人掌","仙人掌",False,True
