key,0,1
#,,
int32,str,str
0,"TEXT_CMNDUNENTERTAMTARA_00014_SCENE00000","里面的塔姆·塔拉墓园是
格里达尼亚“鬼哭队第二枪队”的管辖范围。"
1,"TEXT_CMNDUNENTERTAMTARA_00014_SCENE00001","有什么事？"
2,"TEXT_CMNDUNENTERTAMTARA_00014_SCENE00002","询问“地下灵殿塔姆·塔拉墓园”的开始条件"
3,"TEXT_CMNDUNENTERTAMTARA_00014_SCENE00003","开始“地下灵殿塔姆·塔拉墓园”"
4,"TEXT_CMNDUNENTERTAMTARA_00014_SCENE00004","取消"
5,"TEXT_CMNDUNENTERTAMTARA_00014_SCENE00005","塔姆·塔拉墓园已经被划分到了高度危险区。
所以请注意，参加人数与参加资格都有一定的限制。"
6,"TEXT_CMNDUNENTERTAMTARA_00014_SCENE00006","开始“地下灵殿塔姆·塔拉墓园”，
需要4名等级达到
16级以上的战斗精英或魔法导师来组成队伍。"
7,"TEXT_CMNDUNENTERTAMTARA_00014_SCENE00101","另外，开始前需要先领取任务“在塔姆塔拉的深处”，
并进行到指定阶段。
等级达到20级以上的玩家在攻略此任务时将视为19级。"
8,"TEXT_CMNDUNENTERTAMTARA_00014_SCENE00102","任务开始之后经过90分钟（地球时间）
将强制结束“地下灵殿塔姆·塔拉墓园”。"
9,"TEXT_CMNDUNENTERTAMTARA_00014_SCENE00103","在留有战利品的状态下离开“塔姆·塔拉墓园”的话，
战利品中的道具会自动转移到背包里。
请注意：无法获取的道具会自动丢弃。"
10,"TEXT_CMNDUNENTERTAMTARA_00014_SCENE00009","要开始“地下灵殿塔姆·塔拉墓园”吗？"
11,"TEXT_CMNDUNENTERTAMTARA_00014_SCENE00010","是"
12,"TEXT_CMNDUNENTERTAMTARA_00014_SCENE00011","否"
13,"TEXT_CMNDUNENTERTAMTARA_00014_SCENE00012","现在参加“地下灵殿塔姆·塔拉墓园”的玩家数量过多。请过一段时间后再次尝试。"
14,"TEXT_CMNDUNENTERTAMTARA_00014_SCENE00013","完成或放弃任务之后，
要等上一段时间才能再次挑战“地下灵殿塔姆·塔拉墓园”。
距离再次挑战开始的时间，请参考“任务计时”。"
15,"TEXT_CMNDUNENTERTAMTARA_00014_SCENE00014","开始“地下灵殿塔姆·塔拉墓园”，
需要4名等级达到
15级以上的战斗精英或魔法导师来组成队伍。"
16,"TEXT_CMNDUNENTERTAMTARA_00014_SCENE00015","队伍中有成员已经参加了该任务。
请完成后再次参加。"
17,"TEXT_CMNDUNENTERTAMTARA_00014_SCENE00016","队伍中有成员陷入异常状态，
不能开始“地下灵殿塔姆·塔拉墓园”。"
18,"TEXT_CMNDUNENTERTAMTARA_00014_SCENE00017","未能开始<Sheet(InstanceContentTextData,IntegerParameter(1),0)/>“<Sheet(InstanceContent,IntegerParameter(2),3)/>”。
请确认开始条件。"
19,"TEXT_CMNDUNENTERTAMTARA_00014_SCENE00020","里面的塔姆·塔拉墓园是
格里达尼亚“鬼哭队第二枪队”的管辖范围。
不具备资格的人员禁止进入。"
20,"TEXT_CMNDUNENTERTAMTARA_00014_SYSTEM_20","要挑战“地下灵殿塔姆·塔拉墓园”，
需要领取任务“在塔姆塔拉的深处”，
并将该任务进行到指定阶段。"
