key,0,1
#,,
int32,str,str
0,"TEXT_JOBDEFDRG_00092_ALBERIC_000_1","我的旧伤今天也在隐隐作痛……
就是那些在当龙骑士的时候受的伤……"
1,"TEXT_JOBDEFDRG_00092_Q1_000_1","想了解什么？"
2,"TEXT_JOBDEFDRG_00092_A1_000_1","你是做什么的？"
3,"TEXT_JOBDEFDRG_00092_A1_000_2","什么是“龙骑士”？"
4,"TEXT_JOBDEFDRG_00092_A1_000_3","取消"
5,"TEXT_JOBDEFDRG_00092_ALBERIC_000_2","我是直属于教皇厅的神殿骑士团的一员。
辅佐着伊修加德的教皇陛下，
立志于打倒龙族。"
6,"TEXT_JOBDEFDRG_00092_ALBERIC_000_3","以前我并不是神殿骑士，
而是作为首席龙骑士，隶属于狩猎龙族的龙骑士团。
那时人们称我为苍天之龙骑士。"
7,"TEXT_JOBDEFDRG_00092_ALBERIC_000_4","现在我把这名号传给了弟子埃斯蒂尼安，
自己则作为一名神殿骑士挥舞长枪。"
8,"TEXT_JOBDEFDRG_00092_ALBERIC_000_5","龙族是我们伊修加德人民的仇敌，
而狩猎龙族就是龙骑士的使命。"
9,"TEXT_JOBDEFDRG_00092_ALBERIC_000_6","自建国英雄征龙将哈尔德拉斯击退邪龙尼德霍格以来，
我们便为了狩龙，常年钻研、磨练枪术。"
10,"TEXT_JOBDEFDRG_00092_ALBERIC_000_7","狩龙人中要数苍天之龙骑士最特别。
因为他们能运用教皇厅的秘宝“龙眼”，
用从中获得的龙之力来屠龙。"
11,"TEXT_JOBDEFDRG_00092_ALBERIC_000_8","但龙之力是一把双刃剑……
如果没有一颗强大的心，就会立马被龙族迷惑。
总而言之，不付出些什么，是无法获得强大的力量的。"
12,"TEXT_JOBDEFDRG_00092_ALBERIC_000_010","你最近怎么样？
龙骑士的力量有帮助你贯彻正义吗？"
13,"TEXT_JOBDEFDRG_00092_ALBERIC_000_200","你最近怎么样？
有没有好好地锻炼你的龙骑士之力？"
14,"TEXT_JOBDEFDRG_00092_ALBERIC_000_230","你最近怎么样？
有没有好好地锻炼你的龙骑士之力？"
15,"TEXT_JOBDEFDRG_00092_ALBERIC_000_270","你最近怎么样？
历经千锤百炼的龙骑士之力是否助你实现了你一直深信的正义？"
