key,0,1
#,,
int32,str,str
0,"TEXT_JOBDEFMNK_00093_ERIK_000_000","别和老朽说话。
老朽现在正在构思设计划时代的以太测量装置。"
1,"TEXT_JOBDEFMNK_00093_ERIK_000_001","嗯，问得好。
这么珍贵的讲座，可别听漏了，
把老朽的话深深刻在你那个容量很小的脑子里！"
2,"TEXT_JOBDEFMNK_00093_ERIK_000_002","正因为穷极了武僧之道，才更需要回顾历史，以史为鉴。
所以你才回来找老朽问问题的吧？
那你可要听好了！"
3,"TEXT_JOBDEFMNK_00093_ERIK_000_003","又陷入麻烦了吧！
正是这种时候更要潜下心来专心学术！
你可要听好了！"
4,"TEXT_JOBDEFMNK_00093_ERIK_000_004","听说你已经把阴阳十四脉轮全打开了啊！
虽然已经你得到了强大的力量，但还是想多学点知识对吧？！
真是个贪心的家伙！但我欣赏你的热情……好嘞！"
5,"TEXT_JOBDEFMNK_00093_ERIK_100_001","维达盖尔特那小子究竟有什么好烦恼的……
他该做的事情明明自始至终都只有那一件……"
6,"TEXT_JOBDEFMNK_00093_ERIK_100_010","往返于基拉巴尼亚和乌尔达哈之间可真不是件轻松事……
但需要老朽这超自然探求者帮助的人实在太多，
老朽没办法长期离开。"
7,"TEXT_JOBDEFMNK_00093_ERIK_100_020","老朽负责向格斗家行会的哈蒙道歉，
你们专心处理眼前的事情吧。"
8,"TEXT_JOBDEFMNK_00093_ERIK_100_030","<Highlight>ObjectParameter(1)</Highlight>，老朽要再次向你道谢。
感谢你将老朽从骸旅团手中救了出来。
如果没有你，真不知老朽会遭些什么罪……"
9,"TEXT_JOBDEFMNK_00093_ERIK_100_040","哈哈哈，维达盖尔特这小子在决斗中漂亮地打赢了泰奥巴尔德。
和老朽刚认识他的时候比起来，还真是成长了好多好多啊。"
10,"TEXT_JOBDEFMNK_00093_ERIK_100_050","嗯……拂晓的委托老朽接到了，
几位贤人身上构成灵魂的以太完全消失了踪迹，
这是前所未闻的现象，老朽也非常头疼……"
11,"TEXT_JOBDEFMNK_00093_ERIK_100_060","拂晓之前来咨询的以太消失事件，
我这边已经收到了最新的报告，得知是传送去了异世界。
虽然有些难以置信，但从理论上来说确实是有可能的……"
