key,0,1
#,,
int32,str,str
0,"TEXT_CMNDEFHOUSINGRETAINER_00224_MENU_TITLE","要做什么？"
1,"TEXT_CMNDEFHOUSINGRETAINER_00224_MENU_SALE_LIST","查看出售列表"
2,"TEXT_CMNDEFHOUSINGRETAINER_00224_MENU_SALE_HISTORY","查看出售记录"
3,"TEXT_CMNDEFHOUSINGRETAINER_00224_MENU_SALE_HISTORY_OPEN","设置出售记录[<If(GreaterThan(IntegerParameter(1),0))>公开<Else/>非公开</If>]"
4,"TEXT_CMNDEFHOUSINGRETAINER_00224_MENU_WEAPON_SHOW","雇员武器设定[<If(GreaterThan(IntegerParameter(1),0))>显示<Else/>不显示</If>]"
5,"TEXT_CMNDEFHOUSINGRETAINER_00224_MENU_POSE","雇员姿势设定"
6,"TEXT_CMNDEFHOUSINGRETAINER_00224_SET_RETAINER","替换雇员"
7,"TEXT_CMNDEFHOUSINGRETAINER_00224_UPDATE","更新雇员形象及装备"
8,"TEXT_CMNDEFHOUSINGRETAINER_00224_CANCEL","取消"
9,"TEXT_CMNDEFHOUSINGRETAINER_00224_SALE_HISTORY_SWITCH_DESC","对雇员的市场出售记录进行设置。
如设成“公开”，则所有玩家可见。"
10,"TEXT_CMNDEFHOUSINGRETAINER_00224_SALE_HISTORY_SWITCH","要将出售记录设置为<If(GreaterThan(IntegerParameter(1),0))>非公开<Else/>公开</If>吗？"
11,"TEXT_CMNDEFHOUSINGRETAINER_00224_ASK_YES","是"
12,"TEXT_CMNDEFHOUSINGRETAINER_00224_ASK_NO","否"
13,"TEXT_CMNDEFHOUSINGRETAINER_00224_WEAPON_SHOW_SWITCH","要将雇员武器设定为“<If(GreaterThan(IntegerParameter(1),0))>不显示<Else/>显示</If>”吗？"
14,"TEXT_CMNDEFHOUSINGRETAINER_00224_WEAPON_SHOW_SWITCH_YES","是"
15,"TEXT_CMNDEFHOUSINGRETAINER_00224_WEAPON_SHOW_SWITCH_NO","否"
16,"TEXT_CMNDEFHOUSINGRETAINER_00224_MENU_POSE_TITLE","姿势<Value>IntegerParameter(1)</Value>"
17,"TEXT_CMNDEFHOUSINGRETAINER_00224_MENU_POSE_CANCEL","取消"
18,"TEXT_CMNDEFHOUSINGRETAINER_00224_MENU_POSE_CAPTION","请选择姿势[当前姿势：姿势<Value>IntegerParameter(1)</Value>]"
