key,0,1
#,,
int32,str,str
0,"TEXT_CMNDEFMEISTER_00260_ARDERAN_000_001","看来你做好准备领取专家之证了？
那么，就告诉我你想要在哪条道路上达到终极吧。"
1,"TEXT_CMNDEFMEISTER_00260_MEISTER_MENU_TITLE","要接受哪个职业的专家制作认证？"
2,"TEXT_CMNDEFMEISTER_00260_MEISTER_MENU_CLASS","<Sheet(ClassJob,IntegerParameter(1),0)/> <If(Equal(IntegerParameter(2),1))>[专家制作]<Else/></If>"
3,"TEXT_CMNDEFMEISTER_00260_MEISTER_MENU_EXPLAIN","询问有关“专家制作”的事情"
4,"TEXT_CMNDEFMEISTER_00260_MEISTER_MENU_CANCEL","取消"
5,"TEXT_CMNDEFMEISTER_00260_ARDERAN_000_010","你想要将<Sheet(ClassJob,IntegerParameter(1),0)/>认定为专家制作吗？"
6,"TEXT_CMNDEFMEISTER_00260_MEISTER_ASK_01","要将<Sheet(ClassJob,IntegerParameter(1),0)/>认定为专家制作吗？"
7,"TEXT_CMNDEFMEISTER_00260_ARDERAN_000_015","那么，我就正式认定你为<Sheet(ClassJob,IntegerParameter(1),0)/>专家。
不要忘记随身携带这个专家之证，
你就以更高的目标继续努力精进技艺吧！"
8,"TEXT_CMNDEFMEISTER_00260_ARDERAN_000_016","<Sheet(ClassJob,IntegerParameter(1),0)/>？你在说什么傻话。
你不是已经被认定为<Sheet(ClassJob,IntegerParameter(1),0)/>专家了吗？"
9,"TEXT_CMNDEFMEISTER_00260_ARDERAN_000_017","哼，可笑，这点程度还不够资格成为<Sheet(ClassJob,IntegerParameter(1),0)/>专家。
看来你是还没睡醒吧？"
10,"TEXT_CMNDEFMEISTER_00260_SYSTEM_000_018","只有等级达到55级以上的能工巧匠才予以发放专家之证。"
11,"TEXT_CMNDEFMEISTER_00260_ARDERAN_000_030","你根本没带着作为专家之证材料的<Sheet(Item,IntegerParameter(1),0)/>啊！
连这点东西都没法自己弄到的话，我可不会认可你的。"
12,"TEXT_CMNDEFMEISTER_00260_SYSTEM_000_031","发放专家之证需要<Sheet(Item,IntegerParameter(1),0)/>。"
13,"TEXT_CMNDEFMEISTER_00260_ARDERAN_000_040","你已经持有3个专家之证了。
如果你想要成为其他职业的专家，
那就得再还回来一个。"
