key,0,1
#,,
int32,str,str
0,"TEXT_CMNGSCTRIPLETRIADMATCHING_00370_MATCHING_000_001","您想要进行九宫幻卡的对局吗？
向我们这些九宫幻卡助手提出对局申请后，
我们会帮您寻找对手！"
1,"TEXT_CMNGSCTRIPLETRIADMATCHING_00370_Q1_000_000","要做什么？"
2,"TEXT_CMNGSCTRIPLETRIADMATCHING_00370_A1_000_001","申请对局（通常对局）"
3,"TEXT_CMNGSCTRIPLETRIADMATCHING_00370_A1_000_005","申请对局（大赛对局）"
4,"TEXT_CMNGSCTRIPLETRIADMATCHING_00370_A1_000_002","放弃对局申请"
5,"TEXT_CMNGSCTRIPLETRIADMATCHING_00370_A1_000_003","听取说明"
6,"TEXT_CMNGSCTRIPLETRIADMATCHING_00370_A1_000_004","取消"
7,"TEXT_CMNGSCTRIPLETRIADMATCHING_00370_Q2_000_000","要申请对局（通常对局）吗？"
8,"TEXT_CMNGSCTRIPLETRIADMATCHING_00370_A2_000_001","是"
9,"TEXT_CMNGSCTRIPLETRIADMATCHING_00370_A2_000_002","否"
10,"TEXT_CMNGSCTRIPLETRIADMATCHING_00370_Q5_000_000","要申请对局（大赛对局）吗？

目前的积分：<Value>IntegerParameter(1)</Value>
报酬：<If(NotEqual(IntegerParameter(3),0))><Sheet(Item,IntegerParameter(3),0)/> × <Value>IntegerParameter(4)</Value><Else/>无</If>

下一个积分奖励：<If(NotEqual(IntegerParameter(2),0))><Value>IntegerParameter(2)</Value>以上<Else/>无</If>
报酬：<If(NotEqual(IntegerParameter(5),0))><Sheet(Item,IntegerParameter(5),0)/> × <Value>IntegerParameter(6)</Value><Else/>无</If>
"
11,"TEXT_CMNGSCTRIPLETRIADMATCHING_00370_A5_000_001","是"
12,"TEXT_CMNGSCTRIPLETRIADMATCHING_00370_A5_000_002","否"
13,"TEXT_CMNGSCTRIPLETRIADMATCHING_00370_A2_000_003","您已经成功申请了九宫幻卡的通常对局。
开始前请在幻卡对局室内稍等片刻！"
14,"TEXT_CMNGSCTRIPLETRIADMATCHING_00370_A5_000_003","您已经成功申请了九宫幻卡的大赛对局。
开始前请在幻卡对局室内稍等片刻！"
15,"TEXT_CMNGSCTRIPLETRIADMATCHING_00370_Q3_000_000","要放弃对局申请吗？"
