key,0,1
#,,
int32,str,str
0,"TEXT_COMARMGCARMYINTERVIEW_00345_001_GRD","（★未使用／削除予定★）"
1,"TEXT_COMARMGCARMYINTERVIEW_00345_PLATOONINSTRUCTOR_000_000","<Highlight>ObjectParameter(1)</Highlight>阁下，告诉您一个好消息！
有想要加入我们分队的志愿兵出现了！"
2,"TEXT_COMARMGCARMYINTERVIEW_00345_PLATOONINSTRUCTOR_000_001","请您确认<Sheet(EObj,2007153,0)/>，
决定是否要将其纳入分队吧！"
3,"TEXT_COMARMGCARMYINTERVIEW_00345_PLATOONINSTRUCTOR_000_002","当然，我认为把那名志愿兵叫来，
见见本人后再做决定也是不错的办法！"
4,"TEXT_COMARMGCARMYINTERVIEW_00345_PLATOONINSTRUCTOR_000_010","分队员的总数已经达到4名了啊！
这样一来，我们分队就组建成功了。"
5,"TEXT_COMARMGCARMYINTERVIEW_00345_PLATOONINSTRUCTOR_000_011","此外，分队最多可以容纳8名分队员，
请您牢记这一点。"
6,"TEXT_COMARMGCARMYINTERVIEW_00345_PLATOONINSTRUCTOR_000_012","那么接下来就马上派遣分队执行任务吧！
俗话说熟能生巧，首先就从简单的分队任务开始
试着派遣分队吧。"
7,"TEXT_COMARMGCARMYINTERVIEW_00345_SYSTEM_000_013","派遣你的分队执行分队任务吧。
和<If(GreaterThan(PlayerParameter(52),0))><If(LessThan(PlayerParameter(52),127))>分队副漩士<Else/></If><Else/></If><If(GreaterThan(PlayerParameter(53),0))><If(LessThan(PlayerParameter(53),127))>分队副牙士<Else/></If><Else/></If><If(GreaterThan(PlayerParameter(54),0))><If(LessThan(PlayerParameter(54),127))>分队副耀士<Else/></If><Else/></If>对话，选择“确认分队任务”，
即可派遣分队员们执行任务。"
8,"TEXT_COMARMGCARMYINTERVIEW_00345_PLATOONINSTRUCTOR_000_013","（★未使用／削除予定★）"
9,"TEXT_COMARMGCARMYINTERVIEW_00345_PLATOONINSTRUCTOR_000_014","（★未使用／削除予定★）"
10,"TEXT_COMARMGCARMYINTERVIEW_00345_PLATOONINSTRUCTOR_000_015","（★未使用／削除予定★）"
11,"TEXT_COMARMGCARMYINTERVIEW_00345_001_LIM","（★未使用／削除予定★）"
