key,0,1
#,,
int32,str,str
0,"TEXT_REGGYR3CASTRUMORIENS_00394_SONSTELOT_000_000","这不是<If(GreaterThan(PlayerParameter(52),0))><If(LessThan(PlayerParameter(52),127))><Highlight>ObjectParameter(1)</Highlight><If(GreaterThan(PlayerParameter(52),0))><If(LessThan(PlayerParameter(52),127))><Sheet(GCRankLimsaMaleText,PlayerParameter(52),0)/><Else/></If><Else/></If><Else/></If><Else/></If><If(GreaterThan(PlayerParameter(53),0))><If(LessThan(PlayerParameter(53),127))><Highlight>ObjectParameter(1)</Highlight><If(GreaterThan(PlayerParameter(53),0))><If(LessThan(PlayerParameter(53),127))><Sheet(GCRankGridaniaMaleText,PlayerParameter(53),0)/><Else/></If><Else/></If><Else/></If><Else/></If><If(GreaterThan(PlayerParameter(54),0))><If(LessThan(PlayerParameter(54),127))><Highlight>ObjectParameter(1)</Highlight><If(GreaterThan(PlayerParameter(54),0))><If(LessThan(PlayerParameter(54),127))><Sheet(GCRankUldahMaleText,PlayerParameter(54),0)/><Else/></If><Else/></If><Else/></If><Else/></If>吗？
请问有什么事？"
1,"TEXT_REGGYR3CASTRUMORIENS_00394_Q1_000_000","想了解什么？"
2,"TEXT_REGGYR3CASTRUMORIENS_00394_A1_000_001","你是做什么的？"
3,"TEXT_REGGYR3CASTRUMORIENS_00394_A1_000_002","这里是什么地方？"
4,"TEXT_REGGYR3CASTRUMORIENS_00394_A1_000_003","取消"
5,"TEXT_REGGYR3CASTRUMORIENS_00394_SONSTELOT_000_010","我是一名双蛇党军官。
艾欧泽亚同盟军占领了这处帝国东方堡，
我也从格里达尼亚被派来驻守此地。"
6,"TEXT_REGGYR3CASTRUMORIENS_00394_SONSTELOT_000_011","艾欧泽亚同盟军包括我们格里达尼亚的双蛇党、
利姆萨·罗敏萨的黑涡团、乌尔达哈的恒辉队，
还有新加入的伊修加德神殿骑士团。"
7,"TEXT_REGGYR3CASTRUMORIENS_00394_SONSTELOT_000_012","虽然各国的做派和军规都有所不同，经常会引发一些问题。
但出问题时大家都会坐在一起好好商量解决，
所以我们合作还算是愉快顺利。希望今后我们能变得更加团结。"
8,"TEXT_REGGYR3CASTRUMORIENS_00394_SONSTELOT_000_020","这个帝国东方堡是加雷马帝国
为驻守巴埃萨长城的守军建造的一座基地。"
9,"TEXT_REGGYR3CASTRUMORIENS_00394_SONSTELOT_000_021","原先隶属于格里达尼亚的这片东境混交林中，
曾有着很多小型的集落。
不过集落中的大部分居民都在帝国侵略时逃回格里达尼亚避难了。"
10,"TEXT_REGGYR3CASTRUMORIENS_00394_SONSTELOT_000_022","这东境混交林还曾经是红叶战争的舞台。
那是100年前由于阿拉米格向格里达尼亚宣称
提诺尔卡东部是自己的领土而引发的一场战争。"
11,"TEXT_REGGYR3CASTRUMORIENS_00394_SONSTELOT_000_023","当时的格里达尼亚请来伊修加德、利姆萨·罗敏萨、
乌尔达哈三国的援军，合力在此处迎击了阿拉米格的军队。
神奇的是，这阵容和当今的艾欧泽亚同盟军简直如出一辙。"
12,"TEXT_REGGYR3CASTRUMORIENS_00394_SONSTELOT_000_024","不过这次再度联手，
同盟军的目标却从迎战阿拉米格变成了拯救阿拉米格……
历史这东西可真是让人摸不着头脑。"
