key,0,1
#,,
int32,str,str
0,"TEXT_REGSEAPVPGARO_00384_Q1_000_000","要做什么？"
1,"TEXT_REGSEAPVPGARO_00384_A1_000_001","狼印战绩1"
2,"TEXT_REGSEAPVPGARO_00384_A1_000_002","狼印战绩2"
3,"TEXT_REGSEAPVPGARO_00384_A1_000_003","获得称号"
4,"TEXT_REGSEAPVPGARO_00384_A1_000_004","关于获得称号的条件"
5,"TEXT_REGSEAPVPGARO_00384_A1_000_005","进行谈话"
6,"TEXT_REGSEAPVPGARO_00384_A1_000_006","取消"
7,"TEXT_REGSEAPVPGARO_00384_HOUSHI_003_001","哦，你想要获得称号啊……
那就让我来看看你是不是有那个资格。
你的武器、装备，以及你自身是否强大……"
8,"TEXT_REGSEAPVPGARO_00384_SYSTEM_003_002","确认当前装备的武器和防具后，
如果满足特定的条件，可以获得新的称号。"
9,"TEXT_REGSEAPVPGARO_00384_HOUSHI_003_003","你是真正的“守护者”！
今后，用你的力量去守护更多的生命吧！
像疾风一般勇往直前！"
10,"TEXT_REGSEAPVPGARO_00384_HOUSHI_003_004","你已经获得<If(Equal(IntegerParameter(1),19))>金狼<Else/><If(Equal(IntegerParameter(1),20))>魔戒斗师·拳<Else/><If(Equal(IntegerParameter(1),21))>漆黑<Else/><If(Equal(IntegerParameter(1),22))>白夜<Else/><If(Equal(IntegerParameter(1),23))>魔戒弓师·射<Else/><If(Equal(IntegerParameter(1),24))>魔戒导师·光<Else/><If(Equal(IntegerParameter(1),25))>魔戒法师·暗<Else/><If(Equal(IntegerParameter(1),27))>魔戒法师·令<Else/><If(Equal(IntegerParameter(1),28))>魔戒导师·知<Else/><If(Equal(IntegerParameter(1),30))>银狼<Else/><If(Equal(IntegerParameter(1),31))>魔戒弓师·击<Else/><If(Equal(IntegerParameter(1),32))>暗黑<Else/><If(Equal(IntegerParameter(1),33))>魔戒导师·星<Else/></If></If></If></If></If></If></If></If></If></If></If></If></If>的称号了，
奋勇战斗吧，不要辜负了那个称号。"
11,"TEXT_REGSEAPVPGARO_00384_HOUSHI_003_005","你的武器、你的装备，以及你所具备的强大……
嗯，我认可你能够配得上<If(Equal(IntegerParameter(1),19))>金狼<Else/><If(Equal(IntegerParameter(1),20))>魔戒斗师·拳<Else/><If(Equal(IntegerParameter(1),21))>漆黑<Else/><If(Equal(IntegerParameter(1),22))>白夜<Else/><If(Equal(IntegerParameter(1),23))>魔戒弓师·射<Else/><If(Equal(IntegerParameter(1),24))>魔戒导师·光<Else/><If(Equal(IntegerParameter(1),25))>魔戒法师·暗<Else/><If(Equal(IntegerParameter(1),27))>魔戒法师·令<Else/><If(Equal(IntegerParameter(1),28))>魔戒导师·知<Else/><If(Equal(IntegerParameter(1),30))>银狼<Else/><If(Equal(IntegerParameter(1),31))>魔戒弓师·击<Else/><If(Equal(IntegerParameter(1),32))>暗黑<Else/><If(Equal(IntegerParameter(1),33))>魔戒导师·星<Else/></If></If></If></If></If></If></If></If></If></If></If></If></If>的称号！
背负这个称号，像疾风一般勇往直前吧！"
12,"TEXT_REGSEAPVPGARO_00384_SYSTEM_003_006","在设置所获称号的状态下参加对战任务，
可以通过不断胜利获得其他成就。
请务必挑战试试。"
13,"TEXT_REGSEAPVPGARO_00384_HOUSHI_003_007","你的武器、你的装备，以及你所具备的强大……
嗯，我认可你能够配得上<If(Equal(IntegerParameter(1),19))>金狼<Else/><If(Equal(IntegerParameter(1),20))>魔戒斗师·拳<Else/><If(Equal(IntegerParameter(1),21))>漆黑<Else/><If(Equal(IntegerParameter(1),22))>白夜<Else/><If(Equal(IntegerParameter(1),23))>魔戒弓师·射<Else/><If(Equal(IntegerParameter(1),24))>魔戒导师·光<Else/><If(Equal(IntegerParameter(1),25))>魔戒法师·暗<Else/><If(Equal(IntegerParameter(1),27))>魔戒法师·令<Else/><If(Equal(IntegerParameter(1),28))>魔戒导师·知<Else/><If(Equal(IntegerParameter(1),30))>银狼<Else/><If(Equal(IntegerParameter(1),31))>魔戒弓师·击<Else/><If(Equal(IntegerParameter(1),32))>暗黑<Else/><If(Equal(IntegerParameter(1),33))>魔戒导师·星<Else/></If></If></If></If></If></If></If></If></If></If></If></If></If>的称号！"
14,"TEXT_REGSEAPVPGARO_00384_HOUSHI_003_008","而且，如今的你已经成为了真正的“守护者”！
背负着这个称号，去守护更多的生命吧！
像疾风一般勇往直前！"
15,"TEXT_REGSEAPVPGARO_00384_HOUSHI_003_009","……目前没有适合你的称号。
你再重新看看自己的武器和装备吧。"
16,"TEXT_REGSEAPVPGARO_00384_HOUSHI_004_001","装备上一套我这里的武器和防具，
向我证明你的强大吧。
这样我也会授予你相应的称号。"
17,"TEXT_REGSEAPVPGARO_00384_SYSTEM_004_002","从黑衣法师那里收集到一套特职的武器和防具后，
全部装备上选择“获得称号”，可以获取特别的称号。"
18,"TEXT_REGSEAPVPGARO_00384_HOUSHI_001_001","为了寻找可以称得上是“守护者”的强者，
我自远方而来。"
19,"TEXT_REGSEAPVPGARO_00384_HOUSHI_001_002","我带来了可以斩妖除魔、驱散黑暗的武器和防具。
只要你能向我证明你的强大，我就可以把相称的装备给你。"
20,"TEXT_REGSEAPVPGARO_00384_SYSTEM_001_002","可以用狼印战绩和黑衣法师交换强力的装备。
请务必交换试试。"
