key,0,1
#,,
int32,str,str
0,"TEXT_CTSERKEUREKA1EVENTKRILE_00455_KRILE_000_001","麻烦你从盖罗尔特那里领取一下探索用的重要道具好吗？
拜托你了。"
1,"TEXT_CTSERKEUREKA1EVENTKRILE_00455_KRILE_000_005","……看来你已经拿到了道具，
但好像你还有什么事情没做呢吧？
你先把事情办完再说吧。"
2,"TEXT_CTSERKEUREKA1EVENTKRILE_00455_KRILE_000_010","辛苦了。
看来你拿到魔素板了，
在开始探索之前……先让我确认一下现状。"
3,"TEXT_CTSERKEUREKA1EVENTKRILE_00455_KRILE_000_011","巴尔德西昂委员会的总部塔在瓦尔岛的中央，
已经确认过塔的周边现在正被魔法障壁覆盖。
不知道是谁触动了防御机制……"
4,"TEXT_CTSERKEUREKA1EVENTKRILE_00455_KRILE_000_012","如果……假如这座岛屿上真的还有幸存者的话，
那幸存者一定是在那里。
当前先把前往总部塔一事作为大体的目标吧。"
5,"TEXT_CTSERKEUREKA1EVENTKRILE_00455_KRILE_000_013","关键是该如何前往呢……
塔的周边被魔法障壁所覆盖，光靠步行是很难靠近的。
所以只能使用岛内的传送网了。"
6,"TEXT_CTSERKEUREKA1EVENTKRILE_00455_KRILE_000_014","可是……现在岛内的传送网停止了运作……
那么现在的首要目标就是修复岛内的传送网。"
7,"TEXT_CTSERKEUREKA1EVENTKRILE_00455_KRILE_000_015","为此我有两件事情想要拜托你。
第一件事，我想请你找到岛内传送网的装置并进行共鸣。
如果装置正常的话最好不过，有问题的话请调查原因并进行修复。"
8,"TEXT_CTSERKEUREKA1EVENTKRILE_00455_KRILE_000_016","另一件事是……
我希望你能够从周边的魔物身上获取1个<Sheet(Item,21801,0)/>回来。"
9,"TEXT_CTSERKEUREKA1EVENTKRILE_00455_KRILE_000_017","真的很抱歉，这是来自赞助商的委托。
赞助商提供了调查的费用，所以我们必须答应赞助商的委托。
而且正好你也可以适应一下这里的魔物，那就拜托你了。"
10,"TEXT_CTSERKEUREKA1EVENTKRILE_00455_KRILE_000_018","……在这里的冒险可跟以往不同。
千万不要焦躁，一定要慎重、一步一步地进行调查。
你也一定要小心。"
