key,0,1
#,,
int32,str,str
0,"TEXT_REGOTH3GYOKA_00482_GYOKA_000_000","真的是好闲啊噗。
虽然我很讨厌繁忙，但是无事可做也真是够无聊的噗。
难道就没有什么有意思的事情吗噗。"
1,"TEXT_REGOTH3GYOKA_00482_GYOKA_000_001","我是负责管理猴面雀斗技的鱼虾噗。
我对我这双又圆又可爱的眼睛感到很自豪哦噗！
你可别说我长得和其他家伙没区别这种不知趣的话哦噗？"
2,"TEXT_REGOTH3GYOKA_00482_GYOKA_100_001","现在猴面雀它们一点干劲都没有，
实在是没法让你观看猴面雀斗技噗。
真是抱歉噗。"
3,"TEXT_REGOTH3GYOKA_00482_GYOKA_000_002","多谢你拿来的东西噗！
我这就用你拿来的东西去逗逗猴面雀们噗。"
4,"TEXT_REGOTH3GYOKA_00482_GYOKA_000_003","我需要花点时间，
你就先去替我向光风院霁月道谢去吧噗。
之后有时间你再来观看猴面雀斗技吧噗！"
5,"TEXT_REGOTH3GYOKA_00482_GYOKA_000_010","多亏人类<If(PlayerParameter(4))>小姐<Else/>小哥</If>过来帮忙，
现在猴面雀们充满了干劲噗。
你要观看猴面雀斗技吗噗？"
6,"TEXT_REGOTH3GYOKA_00482_Q1_000_000","要观看猴面雀斗技吗？"
7,"TEXT_REGOTH3GYOKA_00482_A1_000_001","（★未使用／削除予定★）"
8,"TEXT_REGOTH3GYOKA_00482_A1_000_002","（★未使用／削除予定★）"
9,"TEXT_REGOTH3GYOKA_00482_GYOKA_000_015","你这样说才对嘛噗！
来，咱们赶紧开始猴面雀斗技吧噗！"
10,"TEXT_REGOTH3GYOKA_00482_GYOKA_000_016","不过猴面雀们要是在祭场这里大闹一番的话可就不好了噗。
斗技会在离这里稍微远一点的地方进行，你就跟过来吧噗。"
11,"TEXT_REGOTH3GYOKA_00482_GYOKA_000_020","在这里的话就应该没问题了噗。
我来让猴面雀们面对面，猴面雀斗技这就要开始了噗。"
12,"TEXT_REGOTH3GYOKA_00482_GYOKA_000_021","由我来负责当裁判噗。
猴面雀的任何动作都逃不过我这双大眼睛噗！"
13,"TEXT_REGOTH3GYOKA_00482_GYOKA_000_022","你光这么看着肯定会觉得无聊，
人类<If(PlayerParameter(4))>小姐<Else/>小哥</If>，你就选一只为它加油声援吧噗！"
