key,0,1
#,,
int32,str,str
0,"TEXT_CTSDKBCHARACTER3_00569_BETHRIC_100_000","啊……阿马罗这种生物真是神秘又富有浪漫色彩……
你也这么认为吧？"
1,"TEXT_CTSDKBCHARACTER3_00569_SYSTEM_000_010","（★未使用／削除予定★）"
2,"TEXT_CTSDKBCHARACTER3_00569_SYSTEM_000_011","（★未使用／削除予定★）"
3,"TEXT_CTSDKBCHARACTER3_00569_SYSTEM_000_012",""
4,"TEXT_CTSDKBCHARACTER3_00569_SYSTEM_000_013",""
5,"TEXT_CTSDKBCHARACTER3_00569_SYSTEM_000_014",""
6,"TEXT_CTSDKBCHARACTER3_00569_SYSTEM_000_020","交纳了委托品，
贝斯里克实际感受到你做出了贡献。"
7,"TEXT_CTSDKBCHARACTER3_00569_SYSTEM_000_021","今后也请玩家继续交纳委托品，
积累贡献度！"
8,"TEXT_CTSDKBCHARACTER3_00569_BETHRIC_000_000","那孩子还在治疗中，
伤其实并不是很严重……
接下来只要把毒解掉……"
9,"TEXT_CTSDKBCHARACTER3_00569_BETHRIC_000_050","感谢你，以防万一我试吃了一下，
效果和品质都没有问题！
分成几次喂给它，应该就能解毒了。"
10,"TEXT_CTSDKBCHARACTER3_00569_BETHRIC_000_051","感谢你，以防万一我试吃了一下，
我还是第一次见到这么高品质的药饵……好棒啊！
分成几次喂给它，应该就能解毒了。"
11,"TEXT_CTSDKBCHARACTER3_00569_BETHRIC_000_100","多亏有<Highlight>ObjectParameter(1)</Highlight>的帮忙，
“跳跳”有一点恢复的征兆了！
真是太感谢你了。"
12,"TEXT_CTSDKBCHARACTER3_00569_BETHRIC_000_101","啊，跳跳是那孩子的名字，
总是没有名字感觉挺可怜的，
就按照贝鲁布跳跃种的风格起了个名字。"
13,"TEXT_CTSDKBCHARACTER3_00569_BETHRIC_000_102","虽然情况还说不好，不过继续治疗的话，
很快就能解毒并恢复行走能力吧。"
14,"TEXT_CTSDKBCHARACTER3_00569_BETHRIC_000_103","话说回来，你的技术比传闻中的还要厉害！
完全再现了处方中的理想比例，效果应该会比想象中好。"
15,"TEXT_CTSDKBCHARACTER3_00569_BETHRIC_000_104","而且，你制作的东西，
能感觉到其中饱含着对跳跳的担忧。"
