key,0,1
#,,
int32,str,str
0,"TEXT_CTSHWDINFORMATION_00633_AUGEBERT_000_000","哟，怎么了？
你是来看天穹街情况的吗？"
1,"TEXT_CTSHWDINFORMATION_00633_AUGEBERT_010_000","哟，<Highlight>ObjectParameter(1)</Highlight>。
你要是想参加天穹街的公共建设，
就先稍微听我说明一下吧。"
2,"TEXT_CTSHWDINFORMATION_00633_AUGEBERT_010_010","首先我希望你记住这个<Sheet(EObj,2010775,0)/>。
这上面贴着关于天穹街重建工程的情报。"
3,"TEXT_CTSHWDINFORMATION_00633_AUGEBERT_010_020","主要内容就是面向新人的说明以及工程的进度报告。
也可以查看过去的工程情况。"
4,"TEXT_CTSHWDINFORMATION_00633_AUGEBERT_010_030","大规模的委托或是活动的告知也会贴在这里，
有兴趣的话就常来看看。"
5,"TEXT_CTSHWDINFORMATION_00633_AUGEBERT_010_040","工匠们要做的基本就是交纳天穹街所需要的物资。"
6,"TEXT_CTSHWDINFORMATION_00633_AUGEBERT_010_050","这部分还是实际去跟窗口的人谈谈比较好，
你就去找一个叫波特金的家伙聊聊吧。
顺便就当是在现场互相认识一下，拜托你了。"
7,"TEXT_CTSHWDINFORMATION_00633_AUGEBERT_020_000","关于委托给工匠的工作，
请你去找一个叫波特金的家伙谈谈，
顺便就当是在现场互相认识一下，拜托你了。"
8,"TEXT_CTSHWDINFORMATION_00633_AUGEBERT_030_000","我看见你和波特金谈话了。
那家伙在憧憬的英雄面前好像很紧张啊……
你顺利打听到工作的内容了吗？"
9,"TEXT_CTSHWDINFORMATION_00633_AUGEBERT_030_010","啊，对了，你顺便再去跟艾妮谈谈吧。
那家伙负责贩卖工匠相关的商品。"
10,"TEXT_CTSHWDINFORMATION_00633_AUGEBERT_040_000","哦，你回来了啊。
重建工程的流程你大致明白了吗？"
11,"TEXT_CTSHWDINFORMATION_00633_AUGEBERT_040_010","要是想再确认一遍的话，
可以看看<Sheet(EObj,2010775,0)/>，
那上面也写着。"
12,"TEXT_CTSHWDINFORMATION_00633_AUGEBERT_040_020","对了，关于天穹街的工程……
我忘了跟你说明什么是“联合重建工程”了。"
13,"TEXT_CTSHWDINFORMATION_00633_AUGEBERT_040_030","“联合重建工程”指的就是工匠们一起进行大规模的施工作业。
等待物资凑齐后便可以开始施工。"
14,"TEXT_CTSHWDINFORMATION_00633_AUGEBERT_040_040","不过话虽然是这样说，
可是要不事先通知一下的话也凑不齐人手。
所以到时候会在这个<Sheet(EObj,2010775,0)/>上提前贴出预告。"
15,"TEXT_CTSHWDINFORMATION_00633_AUGEBERT_040_050","说白了就是只要常来看看确认一下的话，
就不会出什么问题了。
你要是有时间来帮帮忙，那自然是再好不过。"
16,"TEXT_CTSHWDINFORMATION_00633_AUGEBERT_040_060","不过话说回来，身为英雄的你居然愿意参加重建工程，
<Highlight>ObjectParameter(1)</Highlight>你还真是奇特呢。
那我就期待着你的活跃表现了！"
17,"TEXT_CTSHWDINFORMATION_00633_SYSTEM_040_070","“联合重建工程”是能工巧匠与大地使者才可参加的天穹街任务。"
18,"TEXT_CTSHWDINFORMATION_00633_SYSTEM_040_080","交纳重建工程所需数量的物资后，
将在<Sheet(EObj,2010775,0)/>上通知施工日期，
请确认重建工程的进度，积极参加吧！"
19,"TEXT_CTSHWDINFORMATION_00633_AUGEBERT_050_000","这里面将来肯定也要重建起来，
不过为此需要大量的时间、人员与物资。
所以现在不能操之过急，把眼前的事情逐一做好再说。"
20,"TEXT_CTSHWDINFORMATION_00633_AUGEBERT_050_010","当前的首要目标是先把这个广场弄好。
要是据点都没个样子，想必工匠们也拿不出干劲交纳物资吧？"
21,"TEXT_CTSHWDINFORMATION_00633_AUGEBERT_060_000","哟，<Highlight>ObjectParameter(1)</Highlight>！
现在正处于“联合重建工程”期间，
大家都在建设窗口周边的设施，请你也来帮忙吧！"
22,"TEXT_CTSHWDINFORMATION_00633_AUGEBERT_070_000","多亏了工匠们看了通知过来帮忙搭建，
波特金他们的交易窗口小屋已经建成了！
这样一来，工作就能轻松不少了。"
23,"TEXT_CTSHWDINFORMATION_00633_AUGEBERT_070_010","今后还会有更多的人参加到重建工程中，
这样的话西边估计也需要建些小屋，
你也是这么想的吧？"
24,"TEXT_CTSHWDINFORMATION_00633_AUGEBERT_080_000","现在正在通过“联合重建工程”建设西侧的小屋，
为今后招募更多的工程建设人员作准备。
拜托你一起帮忙了！"
25,"TEXT_CTSHWDINFORMATION_00633_AUGEBERT_090_000","弗朗塞尔少爷他们好像在制定新的工程计划。
西侧的小屋应该也在近期就会有人入驻了。"
26,"TEXT_CTSHWDINFORMATION_00633_AUGEBERT_090_010","人手越来越充足，这座广场也逐渐整备好了。
得为工匠和土木作业人员整顿好环境，
方便他们干活才行。"
27,"TEXT_CTSHWDINFORMATION_00633_AUGEBERT_100_000","哦，你来得正是时候！
现在通过“联合重建工程”正在对广场上放置的物品进行修缮，
请你也来参加吧！"
28,"TEXT_CTSHWDINFORMATION_00633_AUGEBERT_110_000","哟，<Highlight>ObjectParameter(1)</Highlight>。
多亏了工匠们的努力，这座广场的修缮作业完成了。"
29,"TEXT_CTSHWDINFORMATION_00633_AUGEBERT_110_010","在下次重建计划确立之前，不会再进行联合重建工程了，
不过我们还在继续接收交纳的物资。
今后也请你多帮忙了！"
30,"TEXT_CTSHWDINFORMATION_00633_AUGEBERT_120_000","对了，如果你想帮我们筹集资材交纳物资的话，
就去仔细听听波特金的说明吧。
千万要听仔细，别有什么遗漏。"
