key,0,1
#,,
int32,str,str
0,"TEXT_CTSOPN50WANDERINGMINSTREL_00623_CFC_TO_INSTANCE_CONTENT","<Sheet(ContentFinderCondition,IntegerParameter(1),3)/>"
1,"TEXT_CTSOPN50WANDERINGMINSTREL_00623_MINSTREL_GREETING_000","请把你在这个世界的见闻讲给我听听吧。
最好是能够激发出我创作灵感的非比寻常的体验。"
2,"TEXT_CTSOPN50WANDERINGMINSTREL_00623_Q1_000_001","要讲述哪个故事？"
3,"TEXT_CTSOPN50WANDERINGMINSTREL_00623_MINSTREL_MENU_CANCEL","取消"
4,"TEXT_CTSOPN50WANDERINGMINSTREL_00623_MINSTREL_NOSELECT_000","现在没工夫吗？这真是遗憾……
不过一想到现在还在有人等着你的援助，
我觉得你还是先去忙你的吧。"
5,"TEXT_CTSOPN50WANDERINGMINSTREL_00623_MINSTREL_NOCONTENT_000","用你经历过的事迹谱写的诗歌，
在彷徨阶梯亭的旅行者们之间很受欢迎呢。
多亏你了，我感觉自己的创作力又上了一层楼。"
6,"TEXT_CTSOPN50WANDERINGMINSTREL_00623_PARALLELMINSTREL_000_001","那就讲给我听听吧。"
7,"TEXT_CTSOPN50WANDERINGMINSTREL_00623_PARALLELMINSTREL_000_002","身为全体妖灵的王却变成了控制伊尔美格的灵光卫……
妖灵王缇坦妮雅吗……"
8,"TEXT_CTSOPN50WANDERINGMINSTREL_00623_PARALLELMINSTREL_000_003","被你讨伐后，她终于从悲哀的命运中得到了解放。"
9,"TEXT_CTSOPN50WANDERINGMINSTREL_00623_PARALLELMINSTREL_000_004","……好了。
那你听听我谱写的诗吧。"
10,"TEXT_CTSOPN50WANDERINGMINSTREL_00623_PARALLELMINSTREL_000_005","其既是守护妖灵的王者、同时又是威胁妖灵的闪耀光芒。
其既是追寻自由的狂风、同时又是失去自由的宁静湖面。"
11,"TEXT_CTSOPN50WANDERINGMINSTREL_00623_PARALLELMINSTREL_000_006","持有四宝的英雄破开了城堡的大门，
失去四宝的王者解脱了束缚的灵魂。"
12,"TEXT_CTSOPN50WANDERINGMINSTREL_00623_PARALLELMINSTREL_000_007","为了守护伊尔美格的同胞，
缇坦妮雅勇敢地与灵光卫战斗，然而如今，
他自己却成为了灵光卫，伤害起他曾经最想守护的人们……"
