key,0,1
#,,
int32,str,str
0,"TEXT_REGNOR4GRENOLDT_00628_Q1_000_000","想了解什么？"
1,"TEXT_REGNOR4GRENOLDT_00628_Q1_000_005","关于近况"
2,"TEXT_REGNOR4GRENOLDT_00628_Q1_000_010","什么是英魂装备？"
3,"TEXT_REGNOR4GRENOLDT_00628_Q1_000_015","关于领取英魂装备"
4,"TEXT_REGNOR4GRENOLDT_00628_Q1_000_020","取消"
5,"TEXT_REGNOR4GRENOLDT_00628_GRENOLDT_000_100","你给我看过那个水晶之后，让我的制作意欲高涨。"
6,"TEXT_REGNOR4GRENOLDT_00628_GRENOLDT_000_101","果然偶尔去吸吸外面的空气还是很重要的。
虽然我也很喜欢这个海底的工房，
可是却容易沉浸在自己的世界里……"
7,"TEXT_REGNOR4GRENOLDT_00628_GRENOLDT_000_102","还是抽空想想在别处找间工房吧。
毕竟不停地完成委托倒是攒了不少的钱。"
8,"TEXT_REGNOR4GRENOLDT_00628_GRENOLDT_000_110","在这海底呆久了，人会感到孤独、想要和人沟通，
于是我就给好久未联系的工匠朋友写了信。"
9,"TEXT_REGNOR4GRENOLDT_00628_GRENOLDT_000_111","虽然现在隐居于此，但从前我也在中庸工艺馆和工匠们相互切磋，
努力想打造出“至高”的水壶……"
10,"TEXT_REGNOR4GRENOLDT_00628_GRENOLDT_000_112","今后要是能攒钱建立新的工坊，
投身于培养下一代工匠的事业中就好了。"
11,"TEXT_REGNOR4GRENOLDT_00628_GRENOLDT_000_300","你拿到的像是空壳一样的水晶……
看到那个的时候我突然想到了激烈、
华美而又充满了哀愁的英雄的人生。"
12,"TEXT_REGNOR4GRENOLDT_00628_GRENOLDT_000_301","我打造了配得上英雄的装备，并命名为英魂装备。
如果我脑中再次有灵感闪过的话，
就能再次增加这套装备的种类吧。"
13,"TEXT_REGNOR4GRENOLDT_00628_SYSTEM_000_302","完成80级职能任务后，
将开启该职能对应的“领取英魂装备”选项。"
14,"TEXT_REGNOR4GRENOLDT_00628_GRENOLDT_000_400","英魂装备是以历战的英雄为参考制作的装备……
要想发挥出其真正的性能，需要有相应的力量。"
15,"TEXT_REGNOR4GRENOLDT_00628_GRENOLDT_000_401","你的实力如果配得上英魂装备，
我盖雷诺尔特哪怕是不收钱，
也会主动为你打造吧。"
16,"TEXT_REGNOR4GRENOLDT_00628_SYSTEM_000_402","“领取英魂装备”选项中，
可以领取对应职能内到达了80级的职业的“英魂装备”"
17,"TEXT_REGNOR4GRENOLDT_00628_SYSTEM_000_403","如果不小心失去了装备的话，
可以通过“领取英魂装备”重新获得。"
