key,0,1
#,,
int32,str,str
0,"TEXT_REGNOR4WILLFORT_00629_WILLFORT_000_000","哟，旅行者。
虽然这里这么寒酸，
你要是愿意的话就在这里待会吧。"
1,"TEXT_REGNOR4WILLFORT_00629_WILLFORT_000_010","你说哈尔里克不见了？！
不妙啊，让闲着的人全体出动去进行搜索吧！"
2,"TEXT_REGNOR4WILLFORT_00629_WILLFORT_000_020","……抱歉，给我点时间。"
3,"TEXT_REGNOR4WILLFORT_00629_WILLFORT_000_030","我得先冷静一下。
……病患们的生命还在我们手中。"
4,"TEXT_REGNOR4WILLFORT_00629_WILLFORT_000_040","嗯，已经没事了。
不能总是低落下去。
……病患们的生命还在我们手中。"
5,"TEXT_REGNOR4WILLFORT_00629_WILLFORT_000_050","初次见到夜空的时候，让我感动地哭了出来。
闪耀着星星光芒的天空是如此的美丽，它给予了我希望。
我想大家也一定是同样的心情吧。"
6,"TEXT_REGNOR4WILLFORT_00629_WILLFORT_000_060","……没事的，就算光芒重新回来了，我也不会舍弃希望。
我相信那个美丽的夜晚会重新归来，
我将继续照顾患者们。"
7,"TEXT_REGNOR4WILLFORT_00629_WILLFORT_000_070","今后夜晚的黑暗将会成为理所应当的事情。
泰丝琳也一定会……高兴的……
我说的没错吧？"
8,"TEXT_REGNOR4WILLFORT_00629_WILLFORT_000_080","等患者们再恢复恢复就该进行复健训练了，
得找鼹灵族准备一些必要的器具才行。
哎呀……这种让人开心的烦恼真是越多越好呢！"
9,"TEXT_REGNOR4WILLFORT_00629_WILLFORT_000_090","食罪灵消失以来，
我们离开客店时比以往更安心了。
这也是多亏了你们啊，谢谢。"
10,"TEXT_REGNOR4WILLFORT_00629_WILLFORT_000_100","多亏了阿莉塞的介绍，
今后食罪灵化的治疗也将继续进行下去。"
11,"TEXT_REGNOR4WILLFORT_00629_WILLFORT_000_101","就算现在无法立刻治好他们，
不过我打算今后和全体看护人一起努力，
直到患者们能够从真正的意义上迎来启程离开这里的那一天。"
