key,0,1
#,,
int32,str,str
0,"TEXT_CTSWKSSDGATTENDANT_00920_RESEARCHINGWAY_000_001","嗯？你是新来的吗？
先去找查明威了解一下我们的探索计划再来吧。"
1,"TEXT_CTSWKSSDGATTENDANT_00920_RESEARCHINGWAY_000_016","欢迎来到法恩娜行星！
先去找查明威了解一下情况吧！"
2,"TEXT_CTSWKSSDGATTENDANT_00920_RESEARCHINGWAY_000_017","欢迎来到遥远的俄匊斯行星！
先去找查明威了解一下情况吧！"
3,"TEXT_CTSWKSSDGATTENDANT_00920_RESEARCHINGWAY_000_018","欢迎来到奥克塞西亚行星！
哎呀呀，终于是到达这颗行星了啊，
你先去和查明威打声招呼，听听他怎么说吧！"
4,"TEXT_CTSWKSSDGATTENDANT_00920_RESEARCHINGWAY_000_002","欢迎来到宇宙研究所！
为了提高宇宙探索计划的推进效率，
我们正在分析探索数据，开发新的工具！"
5,"TEXT_CTSWKSSDGATTENDANT_00920_RESEARCHINGWAY_000_003","你要不要也来协助我们的研究？
完成探索任务，积累足够的宇宙数据后提交给我，
就能推进研究任务啦！"
6,"TEXT_CTSWKSSDGATTENDANT_00920_RESEARCHINGWAY_000_004","现在的宇宙工具还处于试制阶段，
只要不断收集、分析数据，推进研究，
工具的性能就会逐步升级强化哦！"
7,"TEXT_CTSWKSSDGATTENDANT_00920_RESEARCHINGWAY_100_005","详细信息可以查看探索触控板！"
8,"TEXT_CTSWKSSDGATTENDANT_00920_SYSTEM_100_006","开放了探索贡献研究任务“宇宙研究”！
通过探索触控板的“宇宙研究”界面，
可以随时查看数据的分析情况与研究进度。"
9,"TEXT_CTSWKSSDGATTENDANT_00920_SYSTEM_100_007","“宇宙探索说明”界面中写有该玩法的详细说明，
遇到不懂的情况可以随时进行查看！"
10,"TEXT_CTSWKSSDGATTENDANT_00920_RESEARCHINGWAY_000_005","这里是宇宙研究所！
想提交研究数据、了解宇宙工具的话请找我！"
11,"TEXT_CTSWKSSDGATTENDANT_00920_Q1_000_000","要做什么？"
12,"TEXT_CTSWKSSDGATTENDANT_00920_A1_000_001","提交研究数据"
13,"TEXT_CTSWKSSDGATTENDANT_00920_A1_000_002","领取宇宙工具"
14,"TEXT_CTSWKSSDGATTENDANT_00920_A1_000_003","对话"
