key,0,1
#,,
int32,str,str
0,"TEXT_CLSMIN101_00602_SEQ_00","采矿工行会的阿达尔博塔，希望冒险者负担起采矿工行会的工作。"
1,"TEXT_CLSMIN101_00602_SEQ_01","据阿达尔博塔所言，大客户艾玛吉娜矿山公司想要制作梣木石刃棒的材料——<Sheet(Item,5124,0)/>，并为此发来了订单。阿达尔博塔想把挖掘<Sheet(Item,5124,0)/>的工作交给冒险者。在西萨纳兰的二号打桩塔附近挖掘99个<Sheet(Item,5124,0)/>交给采矿工行会的阿达尔博塔。"
2,"TEXT_CLSMIN101_00602_SEQ_02","将<Sheet(Item,5124,0)/>交给了阿达尔博塔。<Sheet(Item,5124,0)/>虽然是种用途不多的矿石，但仍然有需求者。阿达尔博塔说，了解人们的需求，将此结合到工作中进行挖掘，这点也是很重要的。

※采矿工的等级达到15级以上时，可以从阿达尔博塔那里领取下一个采矿工任务。"
3,"TEXT_CLSMIN101_00602_SEQ_03",""
4,"TEXT_CLSMIN101_00602_SEQ_04",""
5,"TEXT_CLSMIN101_00602_SEQ_05",""
6,"TEXT_CLSMIN101_00602_SEQ_06",""
7,"TEXT_CLSMIN101_00602_SEQ_07",""
8,"TEXT_CLSMIN101_00602_SEQ_08",""
9,"TEXT_CLSMIN101_00602_SEQ_09",""
10,"TEXT_CLSMIN101_00602_SEQ_10",""
11,"TEXT_CLSMIN101_00602_SEQ_11",""
12,"TEXT_CLSMIN101_00602_SEQ_12",""
13,"TEXT_CLSMIN101_00602_SEQ_13",""
14,"TEXT_CLSMIN101_00602_SEQ_14",""
15,"TEXT_CLSMIN101_00602_SEQ_15",""
16,"TEXT_CLSMIN101_00602_SEQ_16",""
17,"TEXT_CLSMIN101_00602_SEQ_17",""
18,"TEXT_CLSMIN101_00602_SEQ_18",""
19,"TEXT_CLSMIN101_00602_SEQ_19",""
20,"TEXT_CLSMIN101_00602_SEQ_20",""
21,"TEXT_CLSMIN101_00602_SEQ_21",""
22,"TEXT_CLSMIN101_00602_SEQ_22",""
23,"TEXT_CLSMIN101_00602_SEQ_23",""
24,"TEXT_CLSMIN101_00602_TODO_00","将<Sheet(Item,5124,0)/>交给采矿工行会的阿达尔博塔"
25,"TEXT_CLSMIN101_00602_TODO_01",""
26,"TEXT_CLSMIN101_00602_TODO_02",""
