key,0,1
#,,
int32,str,str
0,"TEXT_GAIUSB411_00867_SEQ_00","石绿湖营地疗养院的阿·伦琳嘉，有事情想要委托给冒险者。"
1,"TEXT_GAIUSB411_00867_SEQ_01","接受了制作<Sheet(EventItem,2000675,0)/>的委托。将<Sheet(EventItem,2000674,0)/>放置在<Sheet(EObj,2002096,0)/>处。"
2,"TEXT_GAIUSB411_00867_SEQ_02","加热了葡萄酒。从<Sheet(EObj,2002096,0)/>处获得<Sheet(EventItem,2000675,0)/>。"
3,"TEXT_GAIUSB411_00867_SEQ_03","获得了<Sheet(EventItem,2000675,0)/>。将其分发给石绿湖营地的伤兵们。"
4,"TEXT_GAIUSB411_00867_SEQ_04","将<Sheet(EventItem,2000675,0)/>分发给了伤兵。向石绿湖营地阿·伦琳嘉报告。"
5,"TEXT_GAIUSB411_00867_SEQ_05","向阿·伦琳嘉报告完毕。她想让每一位为了城邦百姓而战、光荣负伤的士兵都能充分养精蓄锐。"
6,"TEXT_GAIUSB411_00867_SEQ_06","无"
7,"TEXT_GAIUSB411_00867_SEQ_07","无"
8,"TEXT_GAIUSB411_00867_SEQ_08","无"
9,"TEXT_GAIUSB411_00867_SEQ_09","无"
10,"TEXT_GAIUSB411_00867_SEQ_10","无"
11,"TEXT_GAIUSB411_00867_SEQ_11","无"
12,"TEXT_GAIUSB411_00867_SEQ_12","无"
13,"TEXT_GAIUSB411_00867_SEQ_13","无"
14,"TEXT_GAIUSB411_00867_SEQ_14","无"
15,"TEXT_GAIUSB411_00867_SEQ_15","无"
16,"TEXT_GAIUSB411_00867_SEQ_16","无"
17,"TEXT_GAIUSB411_00867_SEQ_17","无"
18,"TEXT_GAIUSB411_00867_SEQ_18","无"
19,"TEXT_GAIUSB411_00867_SEQ_19","无"
20,"TEXT_GAIUSB411_00867_SEQ_20","无"
21,"TEXT_GAIUSB411_00867_SEQ_21","无"
22,"TEXT_GAIUSB411_00867_SEQ_22","无"
23,"TEXT_GAIUSB411_00867_SEQ_23","无"
24,"TEXT_GAIUSB411_00867_TODO_00","对<Sheet(EObj,2002096,0)/>使用<Sheet(EventItem,2000674,0)/>"
25,"TEXT_GAIUSB411_00867_TODO_01","从<Sheet(EObj,2002096,0)/>处获取<Sheet(EventItem,2000675,0)/>"
