key,0,1
#,,
int32,str,str
0,"TEXT_BANSYL303_01279_SEQ_00","妖精暂留地的莫奇希亚有事情想要委托给冒险者。"
1,"TEXT_BANSYL303_01279_SEQ_01","接受了莫奇希亚的委托。讨伐悬钩群南边的<Sheet(BNpcName,163,0)/>，获取3个<Sheet(EventItem,2001168,0)/>。"
2,"TEXT_BANSYL303_01279_SEQ_02","成功讨伐了<Sheet(BNpcName,163,0)/>，获得了<Sheet(EventItem,2001168,0)/>。在摇篮树和悬钩群附近，从<Sheet(EObj,2003105,0)/>中获取3杯<Sheet(EventItem,2001169,0)/>。"
3,"TEXT_BANSYL303_01279_SEQ_03","获得了<Sheet(EventItem,2001169,0)/>。将<Sheet(EventItem,2001168,0)/>和<Sheet(EventItem,2001169,0)/>交给妖精暂留地的莫奇希亚。"
4,"TEXT_BANSYL303_01279_SEQ_04","将委托品交给了莫奇希亚。有了这些东西，就又能培育<Sheet(BNpcName,163,0)/>了，莫奇希亚很开心。下次有机会再协助他。"
5,"TEXT_BANSYL303_01279_SEQ_05","空栏"
6,"TEXT_BANSYL303_01279_SEQ_06","空栏"
7,"TEXT_BANSYL303_01279_SEQ_07","空栏"
8,"TEXT_BANSYL303_01279_SEQ_08","空栏"
9,"TEXT_BANSYL303_01279_SEQ_09","空栏"
10,"TEXT_BANSYL303_01279_SEQ_10","空栏"
11,"TEXT_BANSYL303_01279_SEQ_11","空栏"
12,"TEXT_BANSYL303_01279_SEQ_12","空栏"
13,"TEXT_BANSYL303_01279_SEQ_13","空栏"
14,"TEXT_BANSYL303_01279_SEQ_14","空栏"
15,"TEXT_BANSYL303_01279_SEQ_15","空栏"
16,"TEXT_BANSYL303_01279_SEQ_16","空栏"
17,"TEXT_BANSYL303_01279_SEQ_17","空栏"
18,"TEXT_BANSYL303_01279_SEQ_18","空栏"
19,"TEXT_BANSYL303_01279_SEQ_19","空栏"
20,"TEXT_BANSYL303_01279_SEQ_20","空栏"
21,"TEXT_BANSYL303_01279_SEQ_21","空栏"
22,"TEXT_BANSYL303_01279_SEQ_22","空栏"
23,"TEXT_BANSYL303_01279_SEQ_23",""
24,"TEXT_BANSYL303_01279_TODO_00","从<Sheet(BNpcName,163,0)/>身上获取<Sheet(EventItem,2001168,0)/>"
