key,0,1
#,,
int32,str,str
0,"TEXT_GAIUSE315_01456_SEQ_00","石之家的塔塔露有事情要传达给冒险者。"
1,"TEXT_GAIUSE315_01456_SEQ_01","塔塔露让冒险者去与多玛的孩子们对话。和石之家的阳山对话。"
2,"TEXT_GAIUSE315_01456_SEQ_02","见到冒险者回来，阳山很是开心，并希望冒险者陪他进行锻炼。赫利·博尔达将代替孩子们与冒险者交手。准备好后便前往丧灵钟的东边，和赫利·博尔达对话。"
3,"TEXT_GAIUSE315_01456_SEQ_03","与赫利·博尔达交手，并取得了胜利。围观的人们被冒险者的强大所震撼，称赞冒险者为“艾欧泽亚的守护者”。和石之家的阿尔菲诺对话。"
4,"TEXT_GAIUSE315_01456_SEQ_04","和阿尔菲诺进行了交谈。他正在考虑建立新的组织。阿尔菲诺也想成为艾欧泽亚的守护者，今后也要继续协助他。"
5,"TEXT_GAIUSE315_01456_SEQ_05","无"
6,"TEXT_GAIUSE315_01456_SEQ_06","无"
7,"TEXT_GAIUSE315_01456_SEQ_07","无"
8,"TEXT_GAIUSE315_01456_SEQ_08","无"
9,"TEXT_GAIUSE315_01456_SEQ_09","无"
10,"TEXT_GAIUSE315_01456_SEQ_10","无"
11,"TEXT_GAIUSE315_01456_SEQ_11","无"
12,"TEXT_GAIUSE315_01456_SEQ_12","无"
13,"TEXT_GAIUSE315_01456_SEQ_13","无"
14,"TEXT_GAIUSE315_01456_SEQ_14","无"
15,"TEXT_GAIUSE315_01456_SEQ_15","无"
16,"TEXT_GAIUSE315_01456_SEQ_16","无"
17,"TEXT_GAIUSE315_01456_SEQ_17","无"
18,"TEXT_GAIUSE315_01456_SEQ_18","无"
19,"TEXT_GAIUSE315_01456_SEQ_19","无"
20,"TEXT_GAIUSE315_01456_SEQ_20","无"
21,"TEXT_GAIUSE315_01456_SEQ_21","无"
22,"TEXT_GAIUSE315_01456_SEQ_22","无"
23,"TEXT_GAIUSE315_01456_SEQ_23","无"
24,"TEXT_GAIUSE315_01456_TODO_00","和阳山对话"
25,"TEXT_GAIUSE315_01456_TODO_01","和丧灵钟东边的赫利·博尔达对话"
26,"TEXT_GAIUSE315_01456_TODO_02","和石之家的阿尔菲诺对话"
27,"TEXT_GAIUSE315_01456_TODO_03","无"
