key,0,1
#,,
int32,str,str
0,"TEXT_BANIXA405_01502_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>特殊规则： 等级调整<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
※本任务推荐等级为：
　制作职业10级以上、战斗职业47级以上。

长风实验场的学者塔泽尔·梅耶安有个紧急委托要交给冒险者。"
1,"TEXT_BANIXA405_01502_SEQ_01","※本任务为<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow><UIGlow>01</UIGlow><UIForeground>01</UIForeground> 等级调整任务。

学者塔泽尔·梅耶安委托冒险者制作<Sheet(ItemHQ,　8109,0)/>。首先前往欧金尼娅哨塔，向密亚·莫尔柯特打听材料的下落。"
2,"TEXT_BANIXA405_01502_SEQ_02","和欧金尼娅哨塔的密亚·莫尔柯特进行了交谈。<Sheet(EventItem,2001395,0)/>被卢恩族坏蛋偷走了。前往荣耀溪，从3个<Sheet(BNpcName,2989,0)/>身上夺回材料。"
3,"TEXT_BANIXA405_01502_SEQ_03","从卢恩族坏蛋身上抢回了<Sheet(EventItem,2001395,0)/>。将<Sheet(EventItem,2001395,0)/>交给秋瓜浮村浮栓亭的休德耶德，获取制作设施的使用许可。"
4,"TEXT_BANIXA405_01502_SEQ_04","可以使用制作设施了。用<Sheet(Item,　8070,0)/>制作2个<Sheet(ItemHQ,　8109,0)/>，并将其交给长风实验场的学者塔泽尔·梅耶安。

※如果“制作设施：复杂工作”的状态效果消失了，或者<Sheet(Item,　8070,0)/>不足的话，就和休德耶德对话，即可重获状态效果和材料，并再次进行挑战。"
5,"TEXT_BANIXA405_01502_SEQ_05","将<Sheet(ItemHQ,　8109,0)/>交给了学者塔泽尔·梅耶安。和白羊师团长的接触，令冒险者再次了解到了鸟人族和格里达尼亚的激烈敌对关系。与空力团的大家建立起的这份超越种族的友情，能否成为给现状带来变化的突破口呢？"
6,"TEXT_BANIXA405_01502_SEQ_06","空"
7,"TEXT_BANIXA405_01502_SEQ_07","空"
8,"TEXT_BANIXA405_01502_SEQ_08","空"
9,"TEXT_BANIXA405_01502_SEQ_09","空"
10,"TEXT_BANIXA405_01502_SEQ_10","空"
11,"TEXT_BANIXA405_01502_SEQ_11","空"
12,"TEXT_BANIXA405_01502_SEQ_12","空"
