key,0,1
#,,
int32,str,str
0,"TEXT_HEAVNA118_01597_SEQ_00","福尔唐伯爵府的福尔唐家的总管正在等待冒险者的报告。"
1,"TEXT_HEAVNA118_01597_SEQ_01","在和埃德蒙·德·福尔唐伯爵会面时接到消息称有人向异端审问局告发阿尔菲诺与塔塔露是异端者。和福尔唐伯爵府的埃德蒙·德·福尔唐伯爵谈谈。"
2,"TEXT_HEAVNA118_01597_SEQ_02","埃德蒙·德·福尔唐伯爵建议冒险者去找艾默里克商量对策。和伊修加德神殿骑士团总部的艾默里克谈谈。"
3,"TEXT_HEAVNA118_01597_SEQ_03","与艾默里克、奥尔什方进行了交谈，决定用决斗裁判证明友人的清白。和伊修加德神圣裁判所的奥尔什方谈谈。"
4,"TEXT_HEAVNA118_01597_SEQ_04","冒险者与阿尔菲诺通过决斗裁判战胜了苍穹骑士格里诺等人，证明了自己的清白。和神圣裁判所的奥尔什方谈谈。"
5,"TEXT_HEAVNA118_01597_SEQ_05","为了庆祝胜利，奥尔什方将<Sheet(Item,12075,0)/>赠送给了冒险者。用它召唤出的黑陆行鸟终有一日能够载着冒险者飞向天空。"
6,"TEXT_HEAVNA118_01597_SEQ_06","空"
7,"TEXT_HEAVNA118_01597_SEQ_07","空"
8,"TEXT_HEAVNA118_01597_SEQ_08","空"
9,"TEXT_HEAVNA118_01597_SEQ_09","空"
10,"TEXT_HEAVNA118_01597_SEQ_10","空"
11,"TEXT_HEAVNA118_01597_SEQ_11","空"
12,"TEXT_HEAVNA118_01597_SEQ_12","空"
13,"TEXT_HEAVNA118_01597_SEQ_13","空"
14,"TEXT_HEAVNA118_01597_SEQ_14","空"
15,"TEXT_HEAVNA118_01597_SEQ_15","空"
16,"TEXT_HEAVNA118_01597_SEQ_16","空"
17,"TEXT_HEAVNA118_01597_SEQ_17","空"
18,"TEXT_HEAVNA118_01597_SEQ_18","空"
19,"TEXT_HEAVNA118_01597_SEQ_19","空"
20,"TEXT_HEAVNA118_01597_SEQ_20","空"
21,"TEXT_HEAVNA118_01597_SEQ_21","空"
22,"TEXT_HEAVNA118_01597_SEQ_22","空"
23,"TEXT_HEAVNA118_01597_SEQ_23","空"
24,"TEXT_HEAVNA118_01597_TODO_00","和埃德蒙·德·福尔唐伯爵对话"
