key,0,1
#,,
int32,str,str
0,"TEXT_SUBCTS999_01578_SEQ_00","※本任务是关于“永结同心”的纪念任务。
　详情请参见官方网站。

克拉丽贝尔会在十二神大圣堂帮助冒险者处理“永结同心”相关事宜。"
1,"TEXT_SUBCTS999_01578_SEQ_01","从克拉丽贝尔那里听取了说明。要举行誓约仪式“永结同心典礼”，需要做好各种各样的准备。首先确认一下自己所持的物品，确保有足够的空间后，到典礼商人那里领取服装。

※之后，在无特别要求的情况下，非2人小队的状态也可以进行任务。不过，典礼的举行需要本人和伴侣共同推进任务，两人齐心协力进行准备。"
2,"TEXT_SUBCTS999_01578_SEQ_02","从典礼商人那里领取了服装。还可以从她那里购买让典礼更加多姿多彩的特别商品。和策划人克拉丽贝尔对话，询问接下来的流程。

※不需要以2人小队的状态进行。
※领取本任务后，在永结同心典礼的“誓约仪式”（交换戒指）结束前，都可以在典礼商人处购买道具。"
3,"TEXT_SUBCTS999_01578_SEQ_03","从克拉丽贝尔那里听取了说明。需要和伴侣双方分别准备象征着誓言的<Sheet(Item,8697,0)/>。如果习得雕金匠职业，可以依照制作笔记中的配方进行制作。除此之外，还可以在市场或商店购买。获得戒指后，交给乌尔达哈雕金匠行会的杰麦姆，委托工匠刻上刻印。

※不需要以2人小队的状态进行。"
4,"TEXT_SUBCTS999_01578_SEQ_04","将<Sheet(Item,8697,0)/>交给了杰麦姆。刻上刻印的戒指变化成为了<Sheet(EventItem,2001353,0)/>。让十二神大圣堂的策划人克拉丽贝尔查看戒指，询问接下来的流程。

※不需要以2人小队的状态进行。"
5,"TEXT_SUBCTS999_01578_SEQ_05","让克拉丽贝尔查看了<Sheet(EventItem,2001353,0)/>。据她所说，接下来需要效仿为祈求安宁而巡礼的做法，向十二神秘石献上祈祷，让戒指接受众神的祝福。首先朝拜黑衣森林的秘石。前往格里达尼亚旧街的丰饶神祭坛，向<Sheet(EObj,2004588,0)/>献上祈祷；前往南部林区的恬静路营地西北边，向<Sheet(EObj,2004589,0)/>献上祈祷；同样在南部林区的无限城古堡西边，向<Sheet(EObj,2004590,0)/>献上祈祷。

※双方组成2人小队并同时装备誓言手镯，对秘石做情感动作“祈祷”。"
6,"TEXT_SUBCTS999_01578_SEQ_06","向秘石献上了祈祷，接受了3位神灵的祝福。接下来朝拜拉诺西亚的秘石。前往利姆萨·罗敏萨上层甲板的锚场，向<Sheet(EObj,2004591,0)/>献上祈祷；前往拉诺西亚低地的莫拉比造船厂南边，向<Sheet(EObj,2004592,0)/>献上祈祷；前往拉诺西亚外地的地灵军试掘地南边，向<Sheet(EObj,2004593,0)/>献上祈祷。

※双方组成2人小队并同时装备誓言手镯，对秘石做情感动作“祈祷”。"
7,"TEXT_SUBCTS999_01578_SEQ_07","向秘石献上了祈祷，目前已经接受了6位神灵的祝福。接下来朝拜萨纳兰的秘石。前往乌尔达哈现世回廊的阿达内斯圣柜堂，向<Sheet(EObj,2004594,0)/>献上祈祷；前往南萨纳兰的小阿拉米格，向<Sheet(EObj,2004595,0)/>献上祈祷；前往东萨纳兰的最终祈祷纪念地，向<Sheet(EObj,2004596,0)/>献上祈祷。

※双方组成2人小队并同时装备誓言手镯，对秘石做情感动作“祈祷”。"
