key,0,1
#,,
int32,str,str
0,"TEXT_SUBPST014_01574_SEQ_00","邮差莫古力前辈有封送给花蜜栈桥的旅行商人的信要交给冒险者。"
1,"TEXT_SUBPST014_01574_SEQ_01","接受了邮差莫古力前辈的委托，前去送信。前往东部林区的花蜜栈桥，将信交给旅行商人玛舞·利扎。"
2,"TEXT_SUBPST014_01574_SEQ_02","将信交给了玛舞·利扎。失去了母亲的玛舞·利扎委托冒险者寻找失踪的姐姐乌拉·利扎。在南部林区的<Sheet(EObj,2004581,0)/>进行张望。"
3,"TEXT_SUBPST014_01574_SEQ_03","在寻找玛舞·利扎的姐姐乌拉·利扎的时候被偷猎团袭击，并成功将其击退。在南部林区的下一个<Sheet(EObj,2004581,0)/>进行张望。"
4,"TEXT_SUBPST014_01574_SEQ_04","找到了玛舞·利扎的姐姐乌拉·利扎。将<Sheet(EventItem,2001450,0)/>交给石场水车东面的乌拉·利扎。"
5,"TEXT_SUBPST014_01574_SEQ_05","将信交给了乌拉·利扎。为了说明详情，乌拉·利扎建议换个地方。和南部林区兀尔德泉的乌拉·利扎谈谈。"
6,"TEXT_SUBPST014_01574_SEQ_06","和乌拉·利扎进行了交谈。她为了自己的母亲和妹妹而走上犯罪之路，加入了豹爪偷猎王的偷猎团。乌拉·利扎想和妹妹再会。将<Sheet(EventItem,2001479,0)/>交给花蜜栈桥的玛舞·利扎。"
7,"TEXT_SUBPST014_01574_SEQ_07","交给玛舞·利扎的信中写着与姐姐乌拉·利扎的见面地点。玛舞·利扎想要让姐姐脱离豹爪偷猎王的偷猎团。前往南部林区高径，和等待姐姐的玛舞·利扎谈谈。"
8,"TEXT_SUBPST014_01574_SEQ_08","和久别重逢的姐妹二人汇合了。可是她们被偷猎团盯上了。为了让二人顺利逃脱，调查附近的<Sheet(EObj,2004846,0)/>，牵制住追来的偷猎团成员。"
9,"TEXT_SUBPST014_01574_SEQ_09","成功牵制住了追来的偷猎团成员。追上逃往南部林区低径的姐妹二人，和玛舞·利扎谈谈。"
10,"TEXT_SUBPST014_01574_SEQ_10","逃走的姐妹二人被鬼哭队拦住了。这时，豹爪偷猎王出现了。乌拉·利扎将妹妹托付给冒险者后，跟随豹爪偷猎王离开了。和低径的玛舞·利扎谈谈。"
