key,0,1
#,,
int32,str,str
0,"TEXT_JOBNIN600_01688_SEQ_00","码头小屋的胧在警戒附近的情况。"
1,"TEXT_JOBNIN600_01688_SEQ_01","码头小屋被什么人包围了。露出破绽引敌方上钩后将其击退。对码头小屋附近的<Sheet(EObj,2005940,0)/>使用情感动作“打盹”，讨伐出现的灰犬家族。"
2,"TEXT_JOBNIN600_01688_SEQ_02","讨伐了灰犬家族。回码头小屋和胧谈谈。"
3,"TEXT_JOBNIN600_01688_SEQ_03","和胧进行了交谈。为了潜入敌方据点，首先要前往莫拉比造船厂。前往拉诺西亚低地的莫拉比造船厂和胧谈谈。"
4,"TEXT_JOBNIN600_01688_SEQ_04","和胧进行了交谈，他决定以身做饵。需要一些时间等待诱饵战术生效。在拉诺西亚低地奥修昂火炬的<Sheet(EObj,2005941,0)/>等待。"
5,"TEXT_JOBNIN600_01688_SEQ_05","雷德韦抓住以身做饵的胧后离开了莫拉比造船厂。和莫拉比造船厂的赤城谈谈。"
6,"TEXT_JOBNIN600_01688_SEQ_06","和赤城进行了交谈。做好潜入敌方据点的准备后，和莫拉比造船厂的赤城谈谈。"
7,"TEXT_JOBNIN600_01688_SEQ_07","成功击败罗莎琳德和雷德韦，救出了雪等人。国宝也全部取回，一切都顺利收场了。回码头小屋和胧谈谈。"
8,"TEXT_JOBNIN600_01688_SEQ_08","一连串的任务终于落下帷幕。冒险者也通过这次任务令身为忍者的自己更上了一层楼。不要心满意足，向着更前方继续沿自己的忍道前进。

※满足下列条件后，可以从码头小屋的胧那里领取新的特职任务。
完成“龙诗战争尾声主线任务”中“命运的止境”。"
9,"TEXT_JOBNIN600_01688_SEQ_09","空"
10,"TEXT_JOBNIN600_01688_SEQ_10","空"
11,"TEXT_JOBNIN600_01688_SEQ_11","空"
12,"TEXT_JOBNIN600_01688_SEQ_12","空"
13,"TEXT_JOBNIN600_01688_SEQ_13","空"
14,"TEXT_JOBNIN600_01688_SEQ_14","空"
15,"TEXT_JOBNIN600_01688_SEQ_15","空"
16,"TEXT_JOBNIN600_01688_SEQ_16","空"
17,"TEXT_JOBNIN600_01688_SEQ_17","空"
18,"TEXT_JOBNIN600_01688_SEQ_18","空"
19,"TEXT_JOBNIN600_01688_SEQ_19","空"
