key,0,1
#,,
int32,str,str
0,"TEXT_CLSTAN580_02078_SEQ_00","宝杖大街的艾尔德想要把生意做大。"
1,"TEXT_CLSTAN580_02078_SEQ_01","艾尔德委托冒险者将会费交给商人行会。她还想要一封写给贵族的介绍信。将<Sheet(EventItem,2001880,0)/>交给宝杖大街的艾蕾兹。"
2,"TEXT_CLSTAN580_02078_SEQ_02","将<Sheet(EventItem,2001880,0)/>交给了艾蕾兹。介绍信要向格哈特索取。和宝杖大街的格哈特谈谈。"
3,"TEXT_CLSTAN580_02078_SEQ_03","和格哈特进行了交谈。作为得到介绍信的交换条件，格哈特要求将作诗的事情转告给奥布勒纳尔。向宝杖大街的艾尔德报告。"
4,"TEXT_CLSTAN580_02078_SEQ_04","向艾尔德报告完毕。为了委托作诗的事情，将<Sheet(EventItem,2001714,0)/>交给云雾街的奥布勒纳尔。"
5,"TEXT_CLSTAN580_02078_SEQ_05","将<Sheet(EventItem,2001714,0)/>交给了奥布勒纳尔。他也答应要为格哈特作一首诗。将<Sheet(EventItem,2001715,0)/>交给宝杖大街的艾尔德。"
6,"TEXT_CLSTAN580_02078_SEQ_06","将<Sheet(EventItem,2001715,0)/>交给了艾尔德。艾尔德委托冒险者制作要卖给贵族的商品。制作<Sheet(ItemHQ,12024,0)/>，交给宝杖大街的艾尔德。"
7,"TEXT_CLSTAN580_02078_SEQ_07","将<Sheet(ItemHQ,12024,0)/>交给了艾尔德。格哈特表示会全面支持艾尔德的商会。艾尔德的商会越来越壮大了，作为制革匠，力争取得比商会更大的成长。

※制革匠的等级达到60级以上时，可以从宝杖大街的艾尔德那里领取下一个制革匠任务。"
8,"TEXT_CLSTAN580_02078_SEQ_08","空"
9,"TEXT_CLSTAN580_02078_SEQ_09","空"
10,"TEXT_CLSTAN580_02078_SEQ_10","空"
11,"TEXT_CLSTAN580_02078_SEQ_11","空"
12,"TEXT_CLSTAN580_02078_SEQ_12","空"
13,"TEXT_CLSTAN580_02078_SEQ_13","空"
14,"TEXT_CLSTAN580_02078_SEQ_14","空"
15,"TEXT_CLSTAN580_02078_SEQ_15","空"
16,"TEXT_CLSTAN580_02078_SEQ_16","空"
17,"TEXT_CLSTAN580_02078_SEQ_17","空"
18,"TEXT_CLSTAN580_02078_SEQ_18","空"
