key,0,1
#,,
int32,str,str
0,"TEXT_FESCHN101_02144_SEQ_00","※本任务是特定期间内的任务。

前来造访利姆萨·罗敏萨的麟凰似乎忧心忡忡。"
1,"TEXT_FESCHN101_02144_SEQ_01","※本任务只有在季节活动开放期间才能接受和进行。
　季节活动结束后无法进行，敬请注意。
　详情请参见官方网站。

麟凰希望冒险者能与桃源老师并肩作战，共同讨伐从东方来袭的大妖怪夕兽。前往中拉诺西亚“和风陆门”的东南方向、拉诺西亚低地“砂盐滩”的东边、黑衣森林中央林区“弯枝牧场”的东南方向、黑衣森林北部林区“林场水车”的南边、中萨纳兰“乌尔达哈调车库”的东南方向、东萨纳兰“枯骨营地”的东边完成危命任务“朝闻道”，为讨伐夕兽做出贡献。"
2,"TEXT_FESCHN101_02144_SEQ_02","成功击退了夕兽。向舰尾楼的麟凰报告。"
3,"TEXT_FESCHN101_02144_SEQ_03","将成功讨伐夕兽一事向麟凰报告完毕。受桃源老师庇护而远离习武之道的麟凰，被冒险者和桃源老师战斗的身姿所感动，决心向夕兽发起挑战。接下来麟凰会回到东方，刻苦修行，相信他终有一天会打倒夕兽。不过那也是将来的事情了。目前除了不断击退来袭的夕兽，将它赶回异世界以外别无他法。今后也请尽力帮助桃源老师击退夕兽。"
4,"TEXT_FESCHN101_02144_SEQ_04",""
5,"TEXT_FESCHN101_02144_SEQ_05",""
6,"TEXT_FESCHN101_02144_SEQ_06",""
7,"TEXT_FESCHN101_02144_SEQ_07",""
8,"TEXT_FESCHN101_02144_SEQ_08",""
9,"TEXT_FESCHN101_02144_SEQ_09",""
10,"TEXT_FESCHN101_02144_SEQ_10",""
11,"TEXT_FESCHN101_02144_SEQ_11",""
12,"TEXT_FESCHN101_02144_SEQ_12",""
13,"TEXT_FESCHN101_02144_SEQ_13",""
14,"TEXT_FESCHN101_02144_SEQ_14",""
15,"TEXT_FESCHN101_02144_SEQ_15",""
16,"TEXT_FESCHN101_02144_SEQ_16",""
17,"TEXT_FESCHN101_02144_SEQ_17",""
18,"TEXT_FESCHN101_02144_SEQ_18",""
19,"TEXT_FESCHN101_02144_SEQ_19",""
20,"TEXT_FESCHN101_02144_SEQ_20",""
21,"TEXT_FESCHN101_02144_SEQ_21",""
22,"TEXT_FESCHN101_02144_SEQ_22",""
