key,0,1
#,,
int32,str,str
0,"TEXT_HEAVNC102_02232_SEQ_00","石之家的阿尔菲诺想向冒险者提一个建议。"
1,"TEXT_HEAVNC102_02232_SEQ_01","阿尔菲诺告诉了冒险者桑克瑞德等人的动向。和田园郡的可露儿对话。"
2,"TEXT_HEAVNC102_02232_SEQ_02","听取了可露儿等人的报告。敏菲利亚有可能被引导到了母水晶沉睡的星海之中。和龙堡内陆低地玛托雅的洞穴的玛托雅对话，寻求她的帮助。"
3,"TEXT_HEAVNC102_02232_SEQ_03","获得了玛托雅的许可，可以进入颠倒塔了。潜入颠倒塔，寻找有关敏菲利亚的线索。

※可以通过任务搜索器参加。"
4,"TEXT_HEAVNC102_02232_SEQ_04","突破了颠倒塔。获得有关敏菲利亚的线索，回到玛托雅的洞穴。"
5,"TEXT_HEAVNC102_02232_SEQ_05","到达颠倒塔最顶层时，冒险者被一个声音引导至了星海。在那里冒险者见到了成为行星的代言人的敏菲利亚。告知冒险者无影的目的后，敏菲利亚的身体如水晶一般碎成了粉末。今后拂晓的命运将何去何从……和玛托雅的洞穴的阿尔菲诺对话。"
6,"TEXT_HEAVNC102_02232_SEQ_06","和迷惘的阿尔菲诺进行了交谈。失去了同伴，再加上玛托雅的话的影响，阿尔菲诺十分消沉。但即使如此，背负着大家的未来的“拂晓血盟”也不能够停下脚步……"
7,"TEXT_HEAVNC102_02232_SEQ_07",""
8,"TEXT_HEAVNC102_02232_SEQ_08",""
9,"TEXT_HEAVNC102_02232_SEQ_09",""
10,"TEXT_HEAVNC102_02232_SEQ_10",""
11,"TEXT_HEAVNC102_02232_SEQ_11",""
12,"TEXT_HEAVNC102_02232_SEQ_12",""
13,"TEXT_HEAVNC102_02232_SEQ_13",""
14,"TEXT_HEAVNC102_02232_SEQ_14",""
15,"TEXT_HEAVNC102_02232_SEQ_15",""
16,"TEXT_HEAVNC102_02232_SEQ_16",""
17,"TEXT_HEAVNC102_02232_SEQ_17",""
18,"TEXT_HEAVNC102_02232_SEQ_18",""
19,"TEXT_HEAVNC102_02232_SEQ_19",""
20,"TEXT_HEAVNC102_02232_SEQ_20",""
21,"TEXT_HEAVNC102_02232_SEQ_21",""
22,"TEXT_HEAVNC102_02232_SEQ_22",""
23,"TEXT_HEAVNC102_02232_SEQ_23",""
