key,0,1
#,,
int32,str,str
0,"TEXT_BANMOG404_02305_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>特殊规则： 等级调整<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
忆念广场的机灵的莫古艾克有事想要告诉冒险者。"
1,"TEXT_BANMOG404_02305_SEQ_01","※本任务为<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow><UIGlow>01</UIGlow><UIForeground>01</UIForeground> 等级调整任务。

莫古艾克委托冒险者和担任泉水设计的莫古力谈谈。和忆念广场的负责基建的莫古力族谈谈。"
2,"TEXT_BANMOG404_02305_SEQ_02","和负责基建的莫古力族进行了交谈，他委托冒险者向莫古力族设计师询问制作方法后，制作泉水的修补部件。和翻云雾海人王像的莫古力族设计师谈谈。"
3,"TEXT_BANMOG404_02305_SEQ_03","和莫古力族设计师进行了交谈，询问了修补部件的制作方法。从竖骨岛的<Sheet(EObj,2007244,0)/>上获取3个<Sheet(EventItem,2001989,0)/>。"
4,"TEXT_BANMOG404_02305_SEQ_04","获得了3个<Sheet(EventItem,2001989,0)/>。交给人王像的莫古力族设计师。"
5,"TEXT_BANMOG404_02305_SEQ_05","将<Sheet(EventItem,2001989,0)/>交给了莫古力族设计师。用<Sheet(Item,15763,0)/>制作<Sheet(ItemHQ,15737,0)/>，并将其交给人王像的莫古力族设计师学徒。

※如果<Sheet(Item,15763,0)/>不足，可以与莫古力族设计师对话重新获得材料，并再次进行挑战。"
6,"TEXT_BANMOG404_02305_SEQ_06","将<Sheet(ItemHQ,15737,0)/>交给了莫古力族设计师学徒。这样一来，泉水就一定能长久保存了。向忆念广场的机灵的莫古艾克报告。"
7,"TEXT_BANMOG404_02305_SEQ_07","向莫古艾克报告完毕。他表示，费了如此心力建成的泉水，一定要让它保存个两千年、三千年。"
8,"TEXT_BANMOG404_02305_SEQ_08",""
9,"TEXT_BANMOG404_02305_SEQ_09",""
10,"TEXT_BANMOG404_02305_SEQ_10",""
11,"TEXT_BANMOG404_02305_SEQ_11",""
12,"TEXT_BANMOG404_02305_SEQ_12",""
13,"TEXT_BANMOG404_02305_SEQ_13",""
14,"TEXT_BANMOG404_02305_SEQ_14",""
15,"TEXT_BANMOG404_02305_SEQ_15",""
