key,0,1
#,,
int32,str,str
0,"TEXT_JOBRDM700_02587_SEQ_00","建国十二骑士像附近的西·如恩·提亚想尽快救出艾莉亚。"
1,"TEXT_JOBRDM700_02587_SEQ_01","和西·如恩进行了交谈。为了调查艾莉亚的下落，前往咒术师行会所在的乌尔达哈，和阿达内斯圣柜堂的西·如恩·提亚谈谈。"
2,"TEXT_JOBRDM700_02587_SEQ_02","和西·如恩进行了交谈。在雅雅凯的帮助下，众人推测妖异女王莉莉丝潜伏的地点应该是有着禁忌城邦之名的玛哈遗迹。她还提供了另一条情报——在与莉莉丝的决战之中，<Sheet(Item,4564,0)/>会起到很大的作用。和咒术师行会的西·如恩·提亚谈谈。"
3,"TEXT_JOBRDM700_02587_SEQ_03","和西·如恩进行了交谈。为了确保去玛哈的飞空艇，前往丧灵钟，和加隆德炼铁厂的杰西谈谈。"
4,"TEXT_JOBRDM700_02587_SEQ_04","杰西决定亲自驾驶飞空艇，将冒险者和西·如恩送往玛哈。为了阻止大妖异莉莉丝完全复活并救出艾莉亚，做好决战的准备。别忘记带上雅雅凯所说的<Sheet(Item,4564,0)/>。做好准备后，前往摩杜纳的银泪湖北岸，和杰西谈谈。"
5,"TEXT_JOBRDM700_02587_SEQ_05","和西·如恩一起打倒了大妖异莉莉丝，阻止了仪式。救出艾莉亚，返回摩杜纳。"
6,"TEXT_JOBRDM700_02587_SEQ_06","艾莉亚的灵魂回到了肉体中。冒险者和西·如恩以及艾莉亚的抗争之力战胜了大妖异莉莉丝的奸计。和银泪湖北岸的西·如恩·提亚谈谈。"
7,"TEXT_JOBRDM700_02587_SEQ_07","与西·如恩和艾莉亚一同感谢了杰西。和丧灵钟的西·如恩·提亚谈谈。"
8,"TEXT_JOBRDM700_02587_SEQ_08","冒险者将抗争之力以最完美的形式表现了出来。完成为人师者使命的西·如恩决定重回一个人的旅行。同时，失去了天生魔力的艾莉亚为了能早日与冒险者并肩作战，打算继续修行赤魔法。带着与他们共同奋战的记忆，在赤魔法师的道路上继续前行。

※满足下列条件后，可以从丧灵钟的艾莉亚那里领取新的特职任务。
1.完成“暗影之逆焰主线任务”中“暗影之逆焰”。
2.完成魔法进攻职业的“职能任务”。"
9,"TEXT_JOBRDM700_02587_SEQ_09",""
