key,0,1
#,,
int32,str,str
0,"TEXT_JOBSMN680_02628_SEQ_00","碧企鹅瀑布的雅·蜜特拉的调查工作遇到了困难。"
1,"TEXT_JOBSMN680_02628_SEQ_01","和雅·蜜特拉进行了交谈，决定去寻求拉姆布鲁斯的帮助。前往摩杜纳，和圣寇伊纳克调查地的拉姆布鲁斯谈谈。"
2,"TEXT_JOBSMN680_02628_SEQ_02","和拉姆布鲁斯进行了交谈。将<Sheet(EventItem,2002273,0)/>交给丧灵钟罗薇娜会馆的罗薇娜。"
3,"TEXT_JOBSMN680_02628_SEQ_03","开始解读从罗薇娜那里借来的亚拉戈神典石。和丧灵钟的雅·蜜特拉谈谈。"
4,"TEXT_JOBSMN680_02628_SEQ_04","和雅·蜜特拉进行了交谈，借用了拉姆布鲁斯等人的帐篷。和摩杜纳圣寇伊纳克调查地的雅·蜜特拉谈谈。"
5,"TEXT_JOBSMN680_02628_SEQ_05","查明了萨利晚年进行的研究。返回格里达尼亚，和碧企鹅瀑布的雅·蜜特拉谈谈。"
6,"TEXT_JOBSMN680_02628_SEQ_06","决定一探亚拉戈帝国的遗迹——魔科学研究所，追查大召唤师萨利。为了得到小原被封印的秘法，做好准备面对即将到来的决战。

※召唤师的等级达到70级以上时，可以从碧企鹅瀑布的雅·蜜特拉那里领取下一个召唤师任务。"
7,"TEXT_JOBSMN680_02628_SEQ_07",""
8,"TEXT_JOBSMN680_02628_SEQ_08",""
9,"TEXT_JOBSMN680_02628_SEQ_09",""
10,"TEXT_JOBSMN680_02628_SEQ_10",""
11,"TEXT_JOBSMN680_02628_SEQ_11",""
12,"TEXT_JOBSMN680_02628_SEQ_12",""
13,"TEXT_JOBSMN680_02628_SEQ_13",""
14,"TEXT_JOBSMN680_02628_SEQ_14",""
15,"TEXT_JOBSMN680_02628_SEQ_15",""
16,"TEXT_JOBSMN680_02628_SEQ_16",""
17,"TEXT_JOBSMN680_02628_SEQ_17",""
18,"TEXT_JOBSMN680_02628_SEQ_18",""
19,"TEXT_JOBSMN680_02628_SEQ_19",""
20,"TEXT_JOBSMN680_02628_SEQ_20",""
21,"TEXT_JOBSMN680_02628_SEQ_21",""
22,"TEXT_JOBSMN680_02628_SEQ_22",""
23,"TEXT_JOBSMN680_02628_SEQ_23",""
