key,0,1
#,,
int32,str,str
0,"TEXT_STMBDZ114_02664_SEQ_00","帝国东方堡的斯威斯里克正牙将好像有事要告诉冒险者。"
1,"TEXT_STMBDZ114_02664_SEQ_01","和斯威斯里克正牙将进行了交谈。和基拉巴尼亚边区帝国东方堡的塔拉·莫尔酷协牙尉交谈。"
2,"TEXT_STMBDZ114_02664_SEQ_02","和塔拉·莫尔酷协牙尉进行了交谈。在对帝国兵的应急治疗完成前，到<Sheet(EObj,2008786,0)/>等待。"
3,"TEXT_STMBDZ114_02664_SEQ_03","和体格健壮的帝国兵进行了交谈。通过对话得知，行踪不明的俘虏因成为帝国军化学武器“黑玫瑰”研发实验的试验体而丧命。和帝国东方堡的塔拉·莫尔酷协牙尉交谈。"
4,"TEXT_STMBDZ114_02664_SEQ_04","和塔拉·莫尔酷协牙尉进行了交谈。或许在药场水车还残留着证明俘虏们因“黑玫瑰”而丧生的证据。前往基拉巴尼亚边区的药场水车。"
5,"TEXT_STMBDZ114_02664_SEQ_05","和塔拉·莫尔酷协牙尉进行了交谈。找出在药场水车的<Sheet(EObj,2008760,0)/>，进行调查。"
6,"TEXT_STMBDZ114_02664_SEQ_06","调查了药场水车的地下，发现了金属容器。向药场水车的塔拉·莫尔酷协牙尉报告。"
7,"TEXT_STMBDZ114_02664_SEQ_07","和塔拉·莫尔酷协牙尉进行了交谈。金属容器中很可能装有剧毒化学武器“黑玫瑰”的样本。向帝国东方堡的斯威斯里克正牙将报告。"
8,"TEXT_STMBDZ114_02664_SEQ_08","和斯韦斯利克正牙将进行了交谈。“黑玫瑰”样本由艾欧泽亚同盟军负责销毁。塔拉·莫尔酷协牙尉打算写下报告书，告诫后世不要再次犯下制造有毒化学武器的错误。"
9,"TEXT_STMBDZ114_02664_SEQ_09",""
10,"TEXT_STMBDZ114_02664_SEQ_10",""
11,"TEXT_STMBDZ114_02664_SEQ_11",""
12,"TEXT_STMBDZ114_02664_SEQ_12",""
13,"TEXT_STMBDZ114_02664_SEQ_13",""
14,"TEXT_STMBDZ114_02664_SEQ_14",""
15,"TEXT_STMBDZ114_02664_SEQ_15",""
16,"TEXT_STMBDZ114_02664_SEQ_16",""
17,"TEXT_STMBDZ114_02664_SEQ_17",""
18,"TEXT_STMBDZ114_02664_SEQ_18",""
