key,0,1
#,,
int32,str,str
0,"TEXT_LUCKLA303_03235_SEQ_00","中庸工艺馆的贝斯里克在等待冒险者。"
1,"TEXT_LUCKLA303_03235_SEQ_01","与贝斯里克进行了交谈。关于跳跳要如何融入水晶都，牧场管理员的聂莫琴闵好像有话要说。和圣林牧场的贝斯里克谈谈。"
2,"TEXT_LUCKLA303_03235_SEQ_02","和贝斯里克进行了交谈。聂莫琴闵为了让跳跳作为阿马罗与水晶都的人相互扶持，也为了让它克服恐惧便为它准备了两个试炼。第一个试炼是为了增强和其他阿马罗的关联感，要让它吃下勇人族传统的菜丸子。跳跳曾吃过有毒的菜丸子，所以一想起来就害怕，为了帮助跳跳，用<Sheet(Item,27254,0)/>制作<Sheet(ItemHQ,27255,0)/>，并交给圣林牧场的贝斯里克。

※如果<Sheet(Item,27254,0)/>不足，可以与圣林牧场的聂莫琴闵对话重新获得材料，并再次进行挑战。"
3,"TEXT_LUCKLA303_03235_SEQ_03","将<Sheet(ItemHQ,27255,0)/>交给了贝斯里克。通过冒险者制作的菜丸子，跳跳顺利通过了第一个试炼。聂莫琴闵给出了第二个试炼，让贝斯里克骑乘跳跳从束带路附近起飞，并着陆到水晶都的阿马罗栈桥。水晶都的居民无论是什么种族都要为都市做出贡献。前往雷克兰德的追随者之门附近和贝斯里克谈谈。"
4,"TEXT_LUCKLA303_03235_SEQ_04","和贝斯里克进行了交谈。试炼开始不久，曾为获得阿马罗舌头而袭击跳跳的盗贼出现了。跳跳在盗贼面前十分害怕，但通过冒险者的鼓励鼓起了勇气飞上天空。最终试炼看来也能成功了。和水晶都阿马罗栈桥的贝斯里克谈谈。"
5,"TEXT_LUCKLA303_03235_SEQ_05","和贝斯里克进行了交谈。贝斯里克骑着跳跳，平安着陆于阿马罗栈桥。和圣林牧场的贝斯里克谈谈。"
6,"TEXT_LUCKLA303_03235_SEQ_06","和贝斯里克进行了交谈。克服了两项试炼的跳跳，得到认可正式成为水晶都的阿马罗。贝斯里克也因救治跳跳的事，跨过了搭档曾死在自己手上的这道坎。和中庸工艺馆的贝斯里克谈谈。"
7,"TEXT_LUCKLA303_03235_SEQ_07","贝斯里克向冒险者表达了感谢。今后他会学习药饵的制作技术，并发誓用自己的双手保护牧场的伙伴们。记得再来看看成长后的贝斯里克，和最喜欢冒险者的跳跳。"
