key,0,1
#,,
int32,str,str
0,"TEXT_LUCKMB101_03302_SEQ_00","悬挂公馆的管理员看上去十分不安。"
1,"TEXT_LUCKMB101_03302_SEQ_01","从悬挂公馆的管理员处得知，游末邦军的飞空艇已经来到了水晶都附近。前往水晶都的观星室。"
2,"TEXT_LUCKMB101_03302_SEQ_02","在观星室旁听了水晶公和兰吉特的谈话。和水晶都博物陈列馆的莫伦谈谈。"
3,"TEXT_LUCKMB101_03302_SEQ_03","莫伦拜托冒险者寻找讲解需要的书。调查博物陈列馆的<Sheet(EObj,2009809,0)/>，获取<Sheet(EventItem,2002530,0)/>。"
4,"TEXT_LUCKMB101_03302_SEQ_04","获得了需要的书。将<Sheet(EventItem,2002530,0)/>交给博物陈列馆的莫伦。"
5,"TEXT_LUCKMB101_03302_SEQ_05","从莫伦处得知了光之巫女敏菲利亚的情况。和水晶都自由辩论馆的阿尔菲诺谈谈。"
6,"TEXT_LUCKMB101_03302_SEQ_06","和阿尔菲诺进行了交谈，坚定了救出敏菲利亚的决心。此时水晶公出现，提出将救出敏菲利亚一事交给他……"
7,"TEXT_LUCKMB101_03302_SEQ_07",""
8,"TEXT_LUCKMB101_03302_SEQ_08",""
9,"TEXT_LUCKMB101_03302_SEQ_09",""
10,"TEXT_LUCKMB101_03302_SEQ_10",""
11,"TEXT_LUCKMB101_03302_SEQ_11",""
12,"TEXT_LUCKMB101_03302_SEQ_12",""
13,"TEXT_LUCKMB101_03302_SEQ_13",""
14,"TEXT_LUCKMB101_03302_SEQ_14",""
15,"TEXT_LUCKMB101_03302_SEQ_15",""
16,"TEXT_LUCKMB101_03302_SEQ_16",""
17,"TEXT_LUCKMB101_03302_SEQ_17",""
18,"TEXT_LUCKMB101_03302_SEQ_18",""
19,"TEXT_LUCKMB101_03302_SEQ_19",""
20,"TEXT_LUCKMB101_03302_SEQ_20",""
21,"TEXT_LUCKMB101_03302_SEQ_21",""
22,"TEXT_LUCKMB101_03302_SEQ_22",""
23,"TEXT_LUCKMB101_03302_SEQ_23",""
24,"TEXT_LUCKMB101_03302_TODO_00","前往观星室"
25,"TEXT_LUCKMB101_03302_TODO_01","和博物陈列馆的莫伦对话"
