key,0,1
#,,
int32,str,str
0,"TEXT_LUCKZB001_03379_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>特殊规则： 等级调整<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
悬挂公馆的水滩村难民好像丢了重要的东西。"
1,"TEXT_LUCKZB001_03379_SEQ_01",""
2,"TEXT_LUCKZB001_03379_SEQ_02",""
3,"TEXT_LUCKZB001_03379_SEQ_03",""
4,"TEXT_LUCKZB001_03379_SEQ_04",""
5,"TEXT_LUCKZB001_03379_SEQ_05",""
6,"TEXT_LUCKZB001_03379_SEQ_06",""
7,"TEXT_LUCKZB001_03379_SEQ_07",""
8,"TEXT_LUCKZB001_03379_SEQ_08",""
9,"TEXT_LUCKZB001_03379_SEQ_09",""
10,"TEXT_LUCKZB001_03379_SEQ_10",""
11,"TEXT_LUCKZB001_03379_SEQ_11",""
12,"TEXT_LUCKZB001_03379_SEQ_12",""
13,"TEXT_LUCKZB001_03379_SEQ_13",""
14,"TEXT_LUCKZB001_03379_SEQ_14",""
15,"TEXT_LUCKZB001_03379_SEQ_15",""
16,"TEXT_LUCKZB001_03379_SEQ_16",""
17,"TEXT_LUCKZB001_03379_SEQ_17",""
18,"TEXT_LUCKZB001_03379_SEQ_18",""
19,"TEXT_LUCKZB001_03379_SEQ_19",""
20,"TEXT_LUCKZB001_03379_SEQ_20",""
21,"TEXT_LUCKZB001_03379_SEQ_21",""
22,"TEXT_LUCKZB001_03379_SEQ_22",""
23,"TEXT_LUCKZB001_03379_SEQ_23",""
24,"TEXT_LUCKZB001_03379_TODO_00","在北方集合地附近捡起<Sheet(EventItem,2002752,0)/>"
25,"TEXT_LUCKZB001_03379_TODO_01","将<Sheet(EventItem,2002752,0)/>交给水晶都的水滩村难民"
26,"TEXT_LUCKZB001_03379_TODO_02",""
27,"TEXT_LUCKZB001_03379_TODO_03",""
28,"TEXT_LUCKZB001_03379_TODO_04",""
29,"TEXT_LUCKZB001_03379_TODO_05",""
30,"TEXT_LUCKZB001_03379_TODO_06",""
31,"TEXT_LUCKZB001_03379_TODO_07",""
32,"TEXT_LUCKZB001_03379_TODO_08",""
33,"TEXT_LUCKZB001_03379_TODO_09",""
34,"TEXT_LUCKZB001_03379_TODO_10",""
35,"TEXT_LUCKZB001_03379_TODO_11",""
36,"TEXT_LUCKZB001_03379_TODO_12",""
37,"TEXT_LUCKZB001_03379_TODO_13",""
38,"TEXT_LUCKZB001_03379_TODO_14",""
39,"TEXT_LUCKZB001_03379_TODO_15",""
40,"TEXT_LUCKZB001_03379_TODO_16",""
41,"TEXT_LUCKZB001_03379_TODO_17",""
42,"TEXT_LUCKZB001_03379_TODO_18",""
43,"TEXT_LUCKZB001_03379_TODO_19",""
44,"TEXT_LUCKZB001_03379_TODO_20",""
45,"TEXT_LUCKZB001_03379_TODO_21",""
46,"TEXT_LUCKZB001_03379_TODO_22",""
47,"TEXT_LUCKZB001_03379_TODO_23",""
48,"TEXT_LUCKZB001_03379_HOLMINSTER03379_000_000","你看起来，是个旅行者？
请你听听我的请求吧。"
49,"TEXT_LUCKZB001_03379_HOLMINSTER03379_000_001","我是从水滩村前来避难的。
前几天遭受袭击的时候，我弄丢了父亲给我的首饰……
那是他的遗物，是十分重要的东西。"
50,"TEXT_LUCKZB001_03379_HOLMINSTER03379_000_002","我想去寻找，却被卫兵们拦下来了……
如果你要去北方集合地附近的话，
请你帮我寻找<Sheet(EventItem,2002752,0)/>！"
51,"TEXT_LUCKZB001_03379_HOLMINSTER03379_000_003","如果你要去北方集合地附近的话，
请你帮我寻找<Sheet(EventItem,2002752,0)/>！"
52,"TEXT_LUCKZB001_03379_HOLMINSTER03379_000_010","你找到<Sheet(EventItem,2002752,0)/>了吗？"
53,"TEXT_LUCKZB001_03379_HOLMINSTER03379_000_011","谢谢你……没错，这就是父亲的遗物！"
54,"TEXT_LUCKZB001_03379_HOLMINSTER03379_000_012","这个<Sheet(EventItem,2002752,0)/>
是在我还小的时候，父亲用家畜山羊的角制作的，
用来作为走山路时的护身符。"
55,"TEXT_LUCKZB001_03379_HOLMINSTER03379_000_013","食罪灵袭击村子的时候，
我对着这个首饰进行祈祷。"
56,"TEXT_LUCKZB001_03379_HOLMINSTER03379_000_014","然后一个菁灵族女子就飒爽地出现了，
她在危难关头拯救了我！
在确认我没事以后，她笑着说“太好了”……"
57,"TEXT_LUCKZB001_03379_HOLMINSTER03379_000_015","一定是这个首饰将我的祈祷传递到了。
我本来都快要放弃寻找了，
你却帮我找了回来，真是太好了……"
58,"TEXT_LUCKZB001_03379_HOLMINSTER03379_000_016","等我回到故乡，我想和父亲一样养山羊……
干脆这个愿望我也向首饰进行祈祷吧。
这次真是谢谢你了。"
