key,0,1
#,,
int32,str,str
0,"TEXT_LUCKZI011_03547_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>特殊规则： 等级调整<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
图姆拉村的喜欢美食的矮人正在思考事情。"
1,"TEXT_LUCKZI011_03547_SEQ_01",""
2,"TEXT_LUCKZI011_03547_SEQ_02",""
3,"TEXT_LUCKZI011_03547_SEQ_03",""
4,"TEXT_LUCKZI011_03547_SEQ_04",""
5,"TEXT_LUCKZI011_03547_SEQ_05",""
6,"TEXT_LUCKZI011_03547_SEQ_06",""
7,"TEXT_LUCKZI011_03547_SEQ_07",""
8,"TEXT_LUCKZI011_03547_SEQ_08",""
9,"TEXT_LUCKZI011_03547_SEQ_09",""
10,"TEXT_LUCKZI011_03547_SEQ_10",""
11,"TEXT_LUCKZI011_03547_SEQ_11",""
12,"TEXT_LUCKZI011_03547_SEQ_12",""
13,"TEXT_LUCKZI011_03547_SEQ_13",""
14,"TEXT_LUCKZI011_03547_SEQ_14",""
15,"TEXT_LUCKZI011_03547_SEQ_15",""
16,"TEXT_LUCKZI011_03547_SEQ_16",""
17,"TEXT_LUCKZI011_03547_SEQ_17",""
18,"TEXT_LUCKZI011_03547_SEQ_18",""
19,"TEXT_LUCKZI011_03547_SEQ_19",""
20,"TEXT_LUCKZI011_03547_SEQ_20",""
21,"TEXT_LUCKZI011_03547_SEQ_21",""
22,"TEXT_LUCKZI011_03547_SEQ_22",""
23,"TEXT_LUCKZI011_03547_SEQ_23",""
24,"TEXT_LUCKZI011_03547_TODO_00","寻找壁崖鼹鼠的幼体"
25,"TEXT_LUCKZI011_03547_TODO_01","用<Sheet(EventItem,2002704,0)/>引诱壁崖鼹鼠的幼体并将其抓进<Sheet(EventItem,2002705,0)/>"
26,"TEXT_LUCKZI011_03547_TODO_02","将<Sheet(EventItem,2002706,0)/>交给喜欢美食的矮人"
27,"TEXT_LUCKZI011_03547_TODO_03",""
28,"TEXT_LUCKZI011_03547_TODO_04",""
29,"TEXT_LUCKZI011_03547_TODO_05",""
30,"TEXT_LUCKZI011_03547_TODO_06",""
31,"TEXT_LUCKZI011_03547_TODO_07",""
32,"TEXT_LUCKZI011_03547_TODO_08",""
