key,0,1
#,,
int32,str,str
0,"TEXT_FESSUM504_03666_SEQ_00","※本任务是特定期间内的任务。

太阳海岸的红莲节烹调委员希尔德拉娜正在等待着烹调大会的参加者。"
1,"TEXT_FESSUM504_03666_SEQ_01","※本任务只有在季节活动开放期间才能接受和进行。
　季节活动结束后无法进行，敬请注意。
　详情请参见官方网站。

听希尔德拉娜对烹调大会进行说明，并按要求准备<Sheet(Item,10332,0)/>。获得<Sheet(Item,10332,0)/>之后上交给太阳海岸的红莲节烹调委员希尔德拉娜。

※<Sheet(Item,10332,0)/>可由烹调师制作完成，也可从布告板处购买。"
2,"TEXT_FESSUM504_03666_SEQ_02","将<Sheet(Item,10332,0)/>上交给了希尔德拉娜为了给红莲节炒热气氛，可再次挑战。"
3,"TEXT_FESSUM504_03666_SEQ_03",""
4,"TEXT_FESSUM504_03666_SEQ_04",""
5,"TEXT_FESSUM504_03666_SEQ_05",""
6,"TEXT_FESSUM504_03666_SEQ_06",""
7,"TEXT_FESSUM504_03666_SEQ_07",""
8,"TEXT_FESSUM504_03666_SEQ_08",""
9,"TEXT_FESSUM504_03666_SEQ_09",""
10,"TEXT_FESSUM504_03666_SEQ_10",""
11,"TEXT_FESSUM504_03666_SEQ_11",""
12,"TEXT_FESSUM504_03666_SEQ_12",""
13,"TEXT_FESSUM504_03666_SEQ_13",""
14,"TEXT_FESSUM504_03666_SEQ_14",""
15,"TEXT_FESSUM504_03666_SEQ_15",""
16,"TEXT_FESSUM504_03666_SEQ_16",""
17,"TEXT_FESSUM504_03666_SEQ_17",""
18,"TEXT_FESSUM504_03666_SEQ_18",""
19,"TEXT_FESSUM504_03666_SEQ_19",""
20,"TEXT_FESSUM504_03666_SEQ_20",""
21,"TEXT_FESSUM504_03666_SEQ_21",""
22,"TEXT_FESSUM504_03666_SEQ_22",""
23,"TEXT_FESSUM504_03666_SEQ_23",""
24,"TEXT_FESSUM504_03666_TODO_00","<If(LessThan(IntegerParameter(1),IntegerParameter(2)))>获得<Sheet(Item,10332,0)/>之后<Else/>把<Sheet(Item,10332,0)/>交给红莲节烹调委员希尔德拉娜</If>"
25,"TEXT_FESSUM504_03666_TODO_01",""
26,"TEXT_FESSUM504_03666_TODO_02",""
27,"TEXT_FESSUM504_03666_TODO_03",""
28,"TEXT_FESSUM504_03666_TODO_04",""
29,"TEXT_FESSUM504_03666_TODO_05",""
30,"TEXT_FESSUM504_03666_TODO_06",""
31,"TEXT_FESSUM504_03666_TODO_07",""
32,"TEXT_FESSUM504_03666_TODO_08",""
33,"TEXT_FESSUM504_03666_TODO_09",""
34,"TEXT_FESSUM504_03666_TODO_10",""
35,"TEXT_FESSUM504_03666_TODO_11",""
36,"TEXT_FESSUM504_03666_TODO_12",""
37,"TEXT_FESSUM504_03666_TODO_13",""
38,"TEXT_FESSUM504_03666_TODO_14",""
39,"TEXT_FESSUM504_03666_TODO_15",""
40,"TEXT_FESSUM504_03666_TODO_16",""
41,"TEXT_FESSUM504_03666_TODO_17",""
42,"TEXT_FESSUM504_03666_TODO_18",""
43,"TEXT_FESSUM504_03666_TODO_19",""
44,"TEXT_FESSUM504_03666_TODO_20",""
45,"TEXT_FESSUM504_03666_TODO_21",""
46,"TEXT_FESSUM504_03666_TODO_22",""
47,"TEXT_FESSUM504_03666_TODO_23",""
48,"TEXT_FESSUM504_03666_HILDELANA_000_000","衷心感谢你参加红莲节！
这里是为了展现冒险者的制作技能
而举办的烹调大会。"
49,"TEXT_FESSUM504_03666_HILDELANA_000_001","规则十分简单，
只要烹调接下来我要求的命题菜品，
并提交给身为负责人的我就可以了！"
50,"TEXT_FESSUM504_03666_HILDELANA_000_002","接下来，这次想请冒险者制作的菜品是……
<Sheet(Item,10332,0)/>！"
51,"TEXT_FESSUM504_03666_HILDELANA_000_003","这道菜在来红莲节玩的游客之中，
也有很不错的口碑！"
52,"TEXT_FESSUM504_03666_HILDELANA_000_004","真诚感谢你再度参加烹调大会。
就为你省略掉冗长的说明吧！"
53,"TEXT_FESSUM504_03666_HILDELANA_000_005","那么，就请尽快准备<Sheet(Item,10332,0)/>吧！
作为食材的<Sheet(Item,12990,0)/>可以找开朗的捕鱼人购买！"
54,"TEXT_FESSUM504_03666_HILDELANA_000_006","那么，就请尽快准备<Sheet(Item,10332,0)/>吧！
作为食材的<Sheet(Item,12990,0)/>可以找开朗的捕鱼人购买！"
55,"TEXT_FESSUM504_03666_HILDELANA_000_010","你已经准备好<Sheet(Item,10332,0)/>了吗？
作为食材的<Sheet(Item,12990,0)/>可以找开朗的捕鱼人购买！"
56,"TEXT_FESSUM504_03666_HILDELANA_000_011","……哇啊，这份<Sheet(Item,10332,0)/>看起来太美味了！
恭喜你通过了考核！"
57,"TEXT_FESSUM504_03666_HILDELANA_000_012","你提交的菜品会呈给客人们品尝，
让他们领略一下冒险者的手艺！
恭候你的再度挑战！"
