key,0,1
#,,
int32,str,str
0,"TEXT_XXAUSB503_03867_SEQ_00","圣阿达玛·兰达玛教会的马尔克斯正在寻找修理所需的工具。"
1,"TEXT_XXAUSB503_03867_SEQ_01","接受了马尔克斯的委托，他希望冒险者能够去进行交涉，买到用于修理怀表所需的工具。将<Sheet(EventItem,2003014,0)/>交给东萨纳兰的枯骨营地的旅行雕金匠。"
2,"TEXT_XXAUSB503_03867_SEQ_02","从旅行的雕金匠那里买到了2种工具。将<Sheet(EventItem,2003012,0)/>和<Sheet(EventItem,2003013,0)/>交给圣阿达玛·兰达玛教会的马尔克斯。"
3,"TEXT_XXAUSB503_03867_SEQ_03","怀表修理完毕。马尔克斯不明白自己为什么会擅长修理怀表。将<Sheet(EventItem,2003015,0)/>交给圣阿达玛·兰达玛教会的埃莉内德。"
4,"TEXT_XXAUSB503_03867_SEQ_04","据埃莉内德所说，这个怀表是帝国制造的。竟能不费吹灰之力就修好这种东西，马尔克斯究竟是什么人？"
5,"TEXT_XXAUSB503_03867_SEQ_05",""
6,"TEXT_XXAUSB503_03867_SEQ_06",""
7,"TEXT_XXAUSB503_03867_SEQ_07",""
8,"TEXT_XXAUSB503_03867_SEQ_08",""
9,"TEXT_XXAUSB503_03867_SEQ_09",""
10,"TEXT_XXAUSB503_03867_SEQ_10",""
11,"TEXT_XXAUSB503_03867_SEQ_11",""
12,"TEXT_XXAUSB503_03867_SEQ_12",""
13,"TEXT_XXAUSB503_03867_SEQ_13",""
14,"TEXT_XXAUSB503_03867_SEQ_14",""
15,"TEXT_XXAUSB503_03867_SEQ_15",""
16,"TEXT_XXAUSB503_03867_SEQ_16",""
17,"TEXT_XXAUSB503_03867_SEQ_17",""
18,"TEXT_XXAUSB503_03867_SEQ_18",""
19,"TEXT_XXAUSB503_03867_SEQ_19",""
20,"TEXT_XXAUSB503_03867_SEQ_20",""
21,"TEXT_XXAUSB503_03867_SEQ_21",""
22,"TEXT_XXAUSB503_03867_SEQ_22",""
23,"TEXT_XXAUSB503_03867_SEQ_23",""
24,"TEXT_XXAUSB503_03867_TODO_00","将<Sheet(EventItem,2003014,0)/>交给旅行雕金匠"
25,"TEXT_XXAUSB503_03867_TODO_01","将工具交给圣阿达玛·兰达玛教会的马尔克斯"
