key,0,1
#,,
int32,str,str
0,"TEXT_LUCKSA213_04029_SEQ_00","甘戈斯的科里夫希望冒险者能帮忙进行增加失传技能库容量的实验。"
1,"TEXT_LUCKSA213_04029_SEQ_01",""
2,"TEXT_LUCKSA213_04029_SEQ_02",""
3,"TEXT_LUCKSA213_04029_SEQ_03",""
4,"TEXT_LUCKSA213_04029_SEQ_04",""
5,"TEXT_LUCKSA213_04029_SEQ_05",""
6,"TEXT_LUCKSA213_04029_SEQ_06",""
7,"TEXT_LUCKSA213_04029_SEQ_07",""
8,"TEXT_LUCKSA213_04029_SEQ_08",""
9,"TEXT_LUCKSA213_04029_SEQ_09",""
10,"TEXT_LUCKSA213_04029_SEQ_10",""
11,"TEXT_LUCKSA213_04029_SEQ_11",""
12,"TEXT_LUCKSA213_04029_SEQ_12",""
13,"TEXT_LUCKSA213_04029_SEQ_13",""
14,"TEXT_LUCKSA213_04029_SEQ_14",""
15,"TEXT_LUCKSA213_04029_SEQ_15",""
16,"TEXT_LUCKSA213_04029_SEQ_16",""
17,"TEXT_LUCKSA213_04029_SEQ_17",""
18,"TEXT_LUCKSA213_04029_SEQ_18",""
19,"TEXT_LUCKSA213_04029_SEQ_19",""
20,"TEXT_LUCKSA213_04029_SEQ_20",""
21,"TEXT_LUCKSA213_04029_SEQ_21",""
22,"TEXT_LUCKSA213_04029_SEQ_22",""
23,"TEXT_LUCKSA213_04029_SEQ_23",""
24,"TEXT_LUCKSA213_04029_TODO_00","<If(LessThan(IntegerParameter(1),IntegerParameter(2)))>获取<Sheet(Item,32201,0)/><Else/>将<Sheet(Item,32201,0)/>交给科里夫</If>"
25,"TEXT_LUCKSA213_04029_TODO_01",""
26,"TEXT_LUCKSA213_04029_TODO_02",""
27,"TEXT_LUCKSA213_04029_TODO_03",""
28,"TEXT_LUCKSA213_04029_TODO_04",""
29,"TEXT_LUCKSA213_04029_TODO_05",""
30,"TEXT_LUCKSA213_04029_TODO_06",""
31,"TEXT_LUCKSA213_04029_TODO_07",""
32,"TEXT_LUCKSA213_04029_TODO_08",""
33,"TEXT_LUCKSA213_04029_TODO_09",""
34,"TEXT_LUCKSA213_04029_TODO_10",""
35,"TEXT_LUCKSA213_04029_TODO_11",""
36,"TEXT_LUCKSA213_04029_TODO_12",""
37,"TEXT_LUCKSA213_04029_TODO_13",""
38,"TEXT_LUCKSA213_04029_TODO_14",""
39,"TEXT_LUCKSA213_04029_TODO_15",""
40,"TEXT_LUCKSA213_04029_TODO_16",""
41,"TEXT_LUCKSA213_04029_TODO_17",""
42,"TEXT_LUCKSA213_04029_TODO_18",""
43,"TEXT_LUCKSA213_04029_TODO_19",""
44,"TEXT_LUCKSA213_04029_TODO_20",""
45,"TEXT_LUCKSA213_04029_TODO_21",""
46,"TEXT_LUCKSA213_04029_TODO_22",""
47,"TEXT_LUCKSA213_04029_TODO_23",""
48,"TEXT_LUCKSA213_04029_KRIV_000_000","幸会幸会，解放者阁下。
虽然我们是第一次见面，但你的事迹我早有耳闻。
我叫科里夫，负责调查和研究有关“记忆”的部分。"
49,"TEXT_LUCKSA213_04029_KRIV_000_001","记忆是一个非常令人感兴趣的话题。
正如你所知，在南方博兹雅战线上
能找到寄宿着记忆的碎晶，对吧？"
50,"TEXT_LUCKSA213_04029_KRIV_000_002","能保存从中提取的战技或魔法知识的道具——失传技能库，
就是由我们支援部门设计制作的。
现在，我们正在进行增加其容量的研究。"
51,"TEXT_LUCKSA213_04029_KRIV_000_003","如果可以的话，
我希望解放者阁下能协助我们验证最新的研究成果。
当然了，你也一定能够从中获益。"
52,"TEXT_LUCKSA213_04029_KRIV_000_004","为了增加技能库的容量，
我参考了多种技术，做了大量研究。
其中自然也包括帝国的技术。"
53,"TEXT_LUCKSA213_04029_KRIV_000_005","研究结果显示，帝国制合成纤维的以太传导率极低，
使用这个素材的话，保存在技能库中的记忆将会更加稳定。"
54,"TEXT_LUCKSA213_04029_KRIV_000_006","所以能否请你去南方博兹雅战线
回收<Sheet(Item,32201,0)/>呢？
请放心，届时我一定会帮解放者阁下扩大技能库容量的。"
55,"TEXT_LUCKSA213_04029_SYSTEM_000_007","<Sheet(Item,32201,0)/>可以通过
在南方博兹雅战线完成冲突战或紧急遭遇战等任务获得。"
56,"TEXT_LUCKSA213_04029_KRIV_000_010","为了增加技能库的容量，
能否请你去南方博兹雅战线
回收<Sheet(Item,32201,0)/>呢？"
57,"TEXT_LUCKSA213_04029_SYSTEM_000_011","<Sheet(Item,32201,0)/>可以通过
在南方博兹雅战线完成冲突战或紧急遭遇战等任务获得。"
58,"TEXT_LUCKSA213_04029_KRIV_000_020","要是知道制法的话就能直接生产了……
不过现在还是先把战利品研究透彻吧。
你拿回<Sheet(Item,32201,0)/>了吗？"
59,"TEXT_LUCKSA213_04029_KRIV_000_025","真不愧是解放者阁下。
没想到我梦寐以求的纤维竟然会如此美丽。
好了，那就开始改良失传技能库吧。"
60,"TEXT_LUCKSA213_04029_KRIV_000_026","哦……纤维的效果正如我所想。
技能库的容量顺利扩大了。"
61,"TEXT_LUCKSA213_04029_KRIV_000_027","感谢你的协助。
今后，我也会借助水琴阁下和盖罗尔特阁下的学识
继续进行研究。"
62,"TEXT_LUCKSA213_04029_KRIV_000_028","为了我等博兹雅义军的夙愿，
为了在战场上拼搏的解放者阁下和士兵们，
我将竭尽所能，全力以赴。"
63,"TEXT_LUCKSA213_04029_SYSTEM_000_030","失传技能库的最大容量增加了10！
在今后的战斗中善加利用吧！"
