key,0,1
#,,
int32,str,str
0,"TEXT_AKTKZH020_04315_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>特殊规则： 等级调整<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
创作者之家的革罗菲拉正在为抽不开身而发愁。"
1,"TEXT_AKTKZH020_04315_SEQ_01",""
2,"TEXT_AKTKZH020_04315_SEQ_02",""
3,"TEXT_AKTKZH020_04315_SEQ_03",""
4,"TEXT_AKTKZH020_04315_SEQ_04",""
5,"TEXT_AKTKZH020_04315_SEQ_05",""
6,"TEXT_AKTKZH020_04315_SEQ_06",""
7,"TEXT_AKTKZH020_04315_SEQ_07",""
8,"TEXT_AKTKZH020_04315_SEQ_08",""
9,"TEXT_AKTKZH020_04315_SEQ_09",""
10,"TEXT_AKTKZH020_04315_SEQ_10",""
11,"TEXT_AKTKZH020_04315_SEQ_11",""
12,"TEXT_AKTKZH020_04315_SEQ_12",""
13,"TEXT_AKTKZH020_04315_SEQ_13",""
14,"TEXT_AKTKZH020_04315_SEQ_14",""
15,"TEXT_AKTKZH020_04315_SEQ_15",""
16,"TEXT_AKTKZH020_04315_SEQ_16",""
17,"TEXT_AKTKZH020_04315_SEQ_17",""
18,"TEXT_AKTKZH020_04315_SEQ_18",""
19,"TEXT_AKTKZH020_04315_SEQ_19",""
20,"TEXT_AKTKZH020_04315_SEQ_20",""
21,"TEXT_AKTKZH020_04315_SEQ_21",""
22,"TEXT_AKTKZH020_04315_SEQ_22",""
23,"TEXT_AKTKZH020_04315_SEQ_23",""
24,"TEXT_AKTKZH020_04315_TODO_00","寻找红发的观察者"
25,"TEXT_AKTKZH020_04315_TODO_01","前往<Sheet(EObj,2012699,0)/> 用吹箭击中兴奋状态的创造生物"
26,"TEXT_AKTKZH020_04315_TODO_02","捕获睡着的创造生物"
27,"TEXT_AKTKZH020_04315_TODO_03","将<Sheet(EventItem,2003365,0)/>交给红发的观察者"
28,"TEXT_AKTKZH020_04315_TODO_04","和革罗菲拉对话"
29,"TEXT_AKTKZH020_04315_TODO_05",""
30,"TEXT_AKTKZH020_04315_TODO_06",""
31,"TEXT_AKTKZH020_04315_TODO_07",""
32,"TEXT_AKTKZH020_04315_TODO_08",""
33,"TEXT_AKTKZH020_04315_TODO_09",""
