key,0,1
#,,
int32,str,str
0,"TEXT_AKTKZJ008_04344_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>特殊规则： 等级调整<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
异亚村落的交·交嘎想让冒险者帮忙叫人。"
1,"TEXT_AKTKZJ008_04344_SEQ_01",""
2,"TEXT_AKTKZJ008_04344_SEQ_02",""
3,"TEXT_AKTKZJ008_04344_SEQ_03",""
4,"TEXT_AKTKZJ008_04344_SEQ_04",""
5,"TEXT_AKTKZJ008_04344_SEQ_05",""
6,"TEXT_AKTKZJ008_04344_SEQ_06",""
7,"TEXT_AKTKZJ008_04344_SEQ_07",""
8,"TEXT_AKTKZJ008_04344_SEQ_08",""
9,"TEXT_AKTKZJ008_04344_SEQ_09",""
10,"TEXT_AKTKZJ008_04344_SEQ_10",""
11,"TEXT_AKTKZJ008_04344_SEQ_11",""
12,"TEXT_AKTKZJ008_04344_SEQ_12",""
13,"TEXT_AKTKZJ008_04344_SEQ_13",""
14,"TEXT_AKTKZJ008_04344_SEQ_14",""
15,"TEXT_AKTKZJ008_04344_SEQ_15",""
16,"TEXT_AKTKZJ008_04344_SEQ_16",""
17,"TEXT_AKTKZJ008_04344_SEQ_17",""
18,"TEXT_AKTKZJ008_04344_SEQ_18",""
19,"TEXT_AKTKZJ008_04344_SEQ_19",""
20,"TEXT_AKTKZJ008_04344_SEQ_20",""
21,"TEXT_AKTKZJ008_04344_SEQ_21",""
22,"TEXT_AKTKZJ008_04344_SEQ_22",""
23,"TEXT_AKTKZJ008_04344_SEQ_23",""
24,"TEXT_AKTKZJ008_04344_TODO_00","在“说话”频道下输入含有“库”的词句
在指定地点呼唤异亚族"
25,"TEXT_AKTKZJ008_04344_TODO_01","和等待的异亚对话"
26,"TEXT_AKTKZJ008_04344_TODO_02","和交·交嘎对话"
27,"TEXT_AKTKZJ008_04344_TODO_03",""
28,"TEXT_AKTKZJ008_04344_TODO_04",""
29,"TEXT_AKTKZJ008_04344_TODO_05",""
30,"TEXT_AKTKZJ008_04344_TODO_06",""
31,"TEXT_AKTKZJ008_04344_TODO_07",""
32,"TEXT_AKTKZJ008_04344_TODO_08",""
33,"TEXT_AKTKZJ008_04344_TODO_09",""
