key,0,1
#,,
int32,str,str
0,"TEXT_AKTKMG110_04459_SEQ_00","辞世绝句碑的古·拉哈·提亚静静地注视着同伴们。"
1,"TEXT_AKTKMG110_04459_SEQ_01",""
2,"TEXT_AKTKMG110_04459_SEQ_02",""
3,"TEXT_AKTKMG110_04459_SEQ_03",""
4,"TEXT_AKTKMG110_04459_SEQ_04",""
5,"TEXT_AKTKMG110_04459_SEQ_05",""
6,"TEXT_AKTKMG110_04459_SEQ_06",""
7,"TEXT_AKTKMG110_04459_SEQ_07",""
8,"TEXT_AKTKMG110_04459_SEQ_08",""
9,"TEXT_AKTKMG110_04459_SEQ_09",""
10,"TEXT_AKTKMG110_04459_SEQ_10",""
11,"TEXT_AKTKMG110_04459_SEQ_11",""
12,"TEXT_AKTKMG110_04459_SEQ_12",""
13,"TEXT_AKTKMG110_04459_SEQ_13",""
14,"TEXT_AKTKMG110_04459_SEQ_14",""
15,"TEXT_AKTKMG110_04459_SEQ_15",""
16,"TEXT_AKTKMG110_04459_SEQ_16",""
17,"TEXT_AKTKMG110_04459_SEQ_17",""
18,"TEXT_AKTKMG110_04459_SEQ_18",""
19,"TEXT_AKTKMG110_04459_SEQ_19",""
20,"TEXT_AKTKMG110_04459_SEQ_20",""
21,"TEXT_AKTKMG110_04459_SEQ_21",""
22,"TEXT_AKTKMG110_04459_SEQ_22",""
23,"TEXT_AKTKMG110_04459_SEQ_23",""
24,"TEXT_AKTKMG110_04459_TODO_00","和阿尔菲诺对话"
25,"TEXT_AKTKMG110_04459_TODO_01","接触<Sheet(EObj,2012794,0)/>，在<Sheet(EObj,2012286,0)/>等待。"
26,"TEXT_AKTKMG110_04459_TODO_02","再次在<Sheet(EObj,2012287,0)/>等待"
27,"TEXT_AKTKMG110_04459_TODO_03","和古·拉哈·提亚对话"
28,"TEXT_AKTKMG110_04459_TODO_04","在<Sheet(EObj,2012288,0)/>张望"
29,"TEXT_AKTKMG110_04459_TODO_05","在第2处<Sheet(EObj,2012289,0)/>张望"
30,"TEXT_AKTKMG110_04459_TODO_06","和古·拉哈·提亚对话"
31,"TEXT_AKTKMG110_04459_TODO_07","在奥密克戎基地收集情报"
32,"TEXT_AKTKMG110_04459_TODO_08","和古·拉哈·提亚对话"
33,"TEXT_AKTKMG110_04459_TODO_09",""
