key,0,1
#,,
int32,str,str
0,"TEXT_AKTKZA104_04483_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>特殊规则： 等级调整<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
梅丽奥尔实验农场的小毛球正在陷入沉思。"
1,"TEXT_AKTKZA104_04483_SEQ_01","※本任务为<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow><UIGlow>01</UIGlow><UIForeground>01</UIForeground> 等级调整任务。

小毛球看上去很苦恼。恩·威利·提亚表示，只要抚摸一下小毛球就可以让它恢复活力。对迷津心之风附近的小毛球做情感动作“抚摸”。"
2,"TEXT_AKTKZA104_04483_SEQ_02","对小毛球使用了情感动作“抚摸”。再次对心之风附近的小毛球做情感动作“抚摸”。"
3,"TEXT_AKTKZA104_04483_SEQ_03","再次对小毛球使用了情感动作“抚摸”，让它恢复了活力。小毛球想到了让窃蠹窒息而亡的对策。于是委托冒险者去筹备所需的素材。前往迷津的第三十三期扩建坑道，获取<Sheet(EventItem,2003333,0)/>。"
4,"TEXT_AKTKZA104_04483_SEQ_04","获得了<Sheet(EventItem,2003333,0)/>。将<Sheet(EventItem,2003333,0)/>交给迷津公堂保管院的小毛球。"
5,"TEXT_AKTKZA104_04483_SEQ_05","将<Sheet(EventItem,2003333,0)/>交给了小毛球。成功驱除了窃蠹，小毛球被认可为一名有智慧的个体，并成为了见习研究者。它充满干劲地表示今后会努力使得自己的声音让大家都能听到。"
6,"TEXT_AKTKZA104_04483_SEQ_06",""
7,"TEXT_AKTKZA104_04483_SEQ_07",""
8,"TEXT_AKTKZA104_04483_SEQ_08",""
9,"TEXT_AKTKZA104_04483_SEQ_09",""
10,"TEXT_AKTKZA104_04483_SEQ_10",""
11,"TEXT_AKTKZA104_04483_SEQ_11",""
12,"TEXT_AKTKZA104_04483_SEQ_12",""
13,"TEXT_AKTKZA104_04483_SEQ_13",""
14,"TEXT_AKTKZA104_04483_SEQ_14",""
15,"TEXT_AKTKZA104_04483_SEQ_15",""
16,"TEXT_AKTKZA104_04483_SEQ_16",""
17,"TEXT_AKTKZA104_04483_SEQ_17",""
18,"TEXT_AKTKZA104_04483_SEQ_18",""
19,"TEXT_AKTKZA104_04483_SEQ_19",""
