key,0,1
#,,
int32,str,str
0,"TEXT_BANARK113_04563_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>特殊规则： 等级调整（限定职业）<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
※本任务需要与接受任务时的职业相同才可继续进行任务。

大金库的摩罗卢正在为阿输陀花的果实而担心。"
1,"TEXT_BANARK113_04563_SEQ_01",""
2,"TEXT_BANARK113_04563_SEQ_02",""
3,"TEXT_BANARK113_04563_SEQ_03",""
4,"TEXT_BANARK113_04563_SEQ_04",""
5,"TEXT_BANARK113_04563_SEQ_05",""
6,"TEXT_BANARK113_04563_SEQ_06",""
7,"TEXT_BANARK113_04563_SEQ_07",""
8,"TEXT_BANARK113_04563_SEQ_08",""
9,"TEXT_BANARK113_04563_SEQ_09",""
10,"TEXT_BANARK113_04563_SEQ_10",""
11,"TEXT_BANARK113_04563_SEQ_11",""
12,"TEXT_BANARK113_04563_SEQ_12",""
13,"TEXT_BANARK113_04563_SEQ_13",""
14,"TEXT_BANARK113_04563_SEQ_14",""
15,"TEXT_BANARK113_04563_SEQ_15",""
16,"TEXT_BANARK113_04563_SEQ_16",""
17,"TEXT_BANARK113_04563_SEQ_17",""
18,"TEXT_BANARK113_04563_SEQ_18",""
19,"TEXT_BANARK113_04563_SEQ_19",""
20,"TEXT_BANARK113_04563_SEQ_20",""
21,"TEXT_BANARK113_04563_SEQ_21",""
22,"TEXT_BANARK113_04563_SEQ_22",""
23,"TEXT_BANARK113_04563_SEQ_23",""
24,"TEXT_BANARK113_04563_TODO_00","对<Sheet(EventItem,2003421,0)/>使用<Sheet(EventItem,2003420,0)/>"
25,"TEXT_BANARK113_04563_TODO_01","采集<Sheet(EventItem,2003421,0)/>"
26,"TEXT_BANARK113_04563_TODO_02","将<Sheet(EventItem,2003421,0)/>交给摩罗卢"
27,"TEXT_BANARK113_04563_TODO_03",""
28,"TEXT_BANARK113_04563_TODO_04",""
29,"TEXT_BANARK113_04563_TODO_05",""
30,"TEXT_BANARK113_04563_TODO_06",""
31,"TEXT_BANARK113_04563_TODO_07",""
32,"TEXT_BANARK113_04563_TODO_08",""
33,"TEXT_BANARK113_04563_TODO_09",""
34,"TEXT_BANARK113_04563_TODO_10",""
35,"TEXT_BANARK113_04563_TODO_11",""
36,"TEXT_BANARK113_04563_TODO_12",""
37,"TEXT_BANARK113_04563_TODO_13",""
38,"TEXT_BANARK113_04563_TODO_14",""
39,"TEXT_BANARK113_04563_TODO_15",""
40,"TEXT_BANARK113_04563_TODO_16",""
41,"TEXT_BANARK113_04563_TODO_17",""
42,"TEXT_BANARK113_04563_TODO_18",""
43,"TEXT_BANARK113_04563_TODO_19",""
44,"TEXT_BANARK113_04563_TODO_20",""
45,"TEXT_BANARK113_04563_TODO_21",""
46,"TEXT_BANARK113_04563_TODO_22",""
47,"TEXT_BANARK113_04563_TODO_23",""
48,"TEXT_BANARK113_04563_MARU_000_001","发生了一件稍微有些棘手的事情……
似乎有人在帕瓦纳的悔悟附近发现了阿输陀花的果实。
等到它发芽长大之后可能会占领整个街道，到时候就麻烦了。"
49,"TEXT_BANARK113_04563_MARU_000_002","虽然现在立刻将它烧掉就能万事大吉，
不过附近已经有长大的个体存在，过于危险难以靠近。"
50,"TEXT_BANARK113_04563_MARU_000_003","更糟糕的是，厨房那边表示阿输陀花的果实能作为食材使用，
所以希望我们能将它带回来……
可是那果实表面全是毒液，沾到皮肤会起炎症……"
51,"TEXT_BANARK113_04563_MARU_000_004","<Highlight>ObjectParameter(1)</Highlight>，这件事可以拜托你吗……？
请前往帕瓦纳的悔悟的寺院附近寻找阿输陀花的果实，
找到后就用这个<Sheet(EventItem,2003420,0)/>消除毒性，然后带回来。"
52,"TEXT_BANARK113_04563_SYSTEM_000_020","采集到了圆圆的<Sheet(EventItem,2003421,0)/>！
回到大金库交给摩罗卢吧。"
53,"TEXT_BANARK113_04563_MARU_000_030","呜、呜哇……这刺鼻的气味……！
不用说我也知道，你已经拿到果实了吧？"
54,"TEXT_BANARK113_04563_MARU_000_031","谢、谢谢你……
我们悌阳象族嗅觉很发达，
所以真是受不了这种强烈的气味……"
55,"TEXT_BANARK113_04563_MARU_000_032","阿输陀花通常是在北部的树林结下果实。
不过最近却开始出现在了众僧林园当中。
或许是因为末日骚动时森林被烧了的缘故……"
56,"TEXT_BANARK113_04563_MARU_000_033","这个阿输陀花的果实就由我来交给厨房吧。
听说将消除毒性后的果实泡入酒中，会让酒变得异常美味……
不过我是肯定不会喝的！总之以后再有需求的话还要麻烦你了。"
57,"TEXT_BANARK113_04563_SYSTEM_000_010",""
