key,0,1
#,,
int32,str,str
0,"TEXT_BANPEL119_05217_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>特殊规则： 等级调整（限定职业）<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
※本任务需要与接受任务时的职业相同才可继续进行任务。

水果码头的玉毕利正在思考海牛的食欲变旺盛的事。"
1,"TEXT_BANPEL119_05217_SEQ_01",""
2,"TEXT_BANPEL119_05217_SEQ_02",""
3,"TEXT_BANPEL119_05217_SEQ_03",""
4,"TEXT_BANPEL119_05217_SEQ_04",""
5,"TEXT_BANPEL119_05217_SEQ_05",""
6,"TEXT_BANPEL119_05217_SEQ_06",""
7,"TEXT_BANPEL119_05217_SEQ_07",""
8,"TEXT_BANPEL119_05217_SEQ_08",""
9,"TEXT_BANPEL119_05217_SEQ_09",""
10,"TEXT_BANPEL119_05217_SEQ_10",""
11,"TEXT_BANPEL119_05217_SEQ_11",""
12,"TEXT_BANPEL119_05217_SEQ_12",""
13,"TEXT_BANPEL119_05217_SEQ_13",""
14,"TEXT_BANPEL119_05217_SEQ_14",""
15,"TEXT_BANPEL119_05217_SEQ_15",""
16,"TEXT_BANPEL119_05217_SEQ_16",""
17,"TEXT_BANPEL119_05217_SEQ_17",""
18,"TEXT_BANPEL119_05217_SEQ_18",""
19,"TEXT_BANPEL119_05217_SEQ_19",""
20,"TEXT_BANPEL119_05217_SEQ_20",""
21,"TEXT_BANPEL119_05217_SEQ_21",""
22,"TEXT_BANPEL119_05217_SEQ_22",""
23,"TEXT_BANPEL119_05217_SEQ_23",""
24,"TEXT_BANPEL119_05217_TODO_00","和朋友的灯火的切寇丘坷对话"
25,"TEXT_BANPEL119_05217_TODO_01","将<Sheet(EventItem,2003724,0)/>交给玉毕利"
26,"TEXT_BANPEL119_05217_TODO_02",""
27,"TEXT_BANPEL119_05217_TODO_03",""
28,"TEXT_BANPEL119_05217_TODO_04",""
29,"TEXT_BANPEL119_05217_TODO_05",""
30,"TEXT_BANPEL119_05217_TODO_06",""
31,"TEXT_BANPEL119_05217_TODO_07",""
32,"TEXT_BANPEL119_05217_TODO_08",""
33,"TEXT_BANPEL119_05217_TODO_09",""
34,"TEXT_BANPEL119_05217_TODO_10",""
35,"TEXT_BANPEL119_05217_TODO_11",""
36,"TEXT_BANPEL119_05217_TODO_12",""
37,"TEXT_BANPEL119_05217_TODO_13",""
38,"TEXT_BANPEL119_05217_TODO_14",""
39,"TEXT_BANPEL119_05217_TODO_15",""
40,"TEXT_BANPEL119_05217_TODO_16",""
41,"TEXT_BANPEL119_05217_TODO_17",""
42,"TEXT_BANPEL119_05217_TODO_18",""
43,"TEXT_BANPEL119_05217_TODO_19",""
44,"TEXT_BANPEL119_05217_TODO_20",""
45,"TEXT_BANPEL119_05217_TODO_21",""
46,"TEXT_BANPEL119_05217_TODO_22",""
47,"TEXT_BANPEL119_05217_TODO_23",""
48,"TEXT_BANPEL119_05217_YUBLI_000_000","今天的海牛看起来也很健康。
你看它们飞在天上的样子，多开心啊。
不过可能是体力消耗得太多了，最近它们的食欲旺盛得吓人。"
49,"TEXT_BANPEL119_05217_YUBLI_000_001","我想尽可能为它们准备一些有营养的食物，
因此拜托了朋友的灯火的切寇丘坷准备。
麻烦你跑一趟替我取回来吧。"
50,"TEXT_BANPEL119_05217_CHEKOCHUK_000_002","哼哧……哼哧……
你是来给 旅行公司 帮忙的？
莫布就说 差不多 该来了！"
51,"TEXT_BANPEL119_05217_CHEKOCHUK_000_003","莫布当然 都准备好了！
收集 各种食材 费尽周折 终于 准备好了
量大 又有营养的 海牛大餐！海牛 开心！"
52,"TEXT_BANPEL119_05217_CHEKOCHUK_000_004","快快 拿着 这个！
让海牛 尝尝！"
53,"TEXT_BANPEL119_05217_CHEKOCHUK_000_005","替莫布向 玉毕利 带个好！"
54,"TEXT_BANPEL119_05217_YUBLI_000_006","欢迎回来。
取到切寇丘坷准备的海牛饲料了吗？"
55,"TEXT_BANPEL119_05217_YUBLI_000_007","原来如此，是切寇丘坷的自信之作啊。
那我们可得好好期待一下了。
海牛们吃了这些饲料肯定会很满意的。"
56,"TEXT_BANPEL119_05217_YUBLI_000_008","海牛们都成了这种饲料的俘虏啦！
真是不知道该怎么感谢切寇丘坷才好了。
下次我一定要直接和他道个谢。"
57,"TEXT_BANPEL119_05217_YUBLI_000_009","谢谢你跑这么远取东西。
饲料隔段时间就要进货，
到时候就继续麻烦你啦。"
