key,0,1
#,,
int32,str,str
0,"TEXT_KINGKW103_05382_SEQ_00","<UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>特殊规则： 职业固定<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
幻境村的利迪尔赛尔想要开始强化幻境武器。"
1,"TEXT_KINGKW103_05382_SEQ_01","※本任务为<UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow><UIGlow>01</UIGlow><UIForeground>01</UIForeground> 职业固定任务，
　需要与接受任务时的职业相同才可继续进行任务。

和利迪尔赛尔进行了交谈。收集3个<Sheet(Item,46850,0)/>，并在携带幻境武器的状态下，交给幻境村的多多库利。

可以在幻境村的尔密娜处交换<Sheet(Item,46850,0)/>。"
2,"TEXT_KINGKW103_05382_SEQ_02","将<Sheet(Item,46850,0)/>交给了多多库利。用属性压缩锻造法强化了幻境武器，继续在战斗中充分使用幻境武器。"
3,"TEXT_KINGKW103_05382_SEQ_03",""
4,"TEXT_KINGKW103_05382_SEQ_04",""
5,"TEXT_KINGKW103_05382_SEQ_05",""
6,"TEXT_KINGKW103_05382_SEQ_06",""
7,"TEXT_KINGKW103_05382_SEQ_07",""
8,"TEXT_KINGKW103_05382_SEQ_08",""
9,"TEXT_KINGKW103_05382_SEQ_09",""
10,"TEXT_KINGKW103_05382_SEQ_10",""
11,"TEXT_KINGKW103_05382_SEQ_11",""
12,"TEXT_KINGKW103_05382_SEQ_12",""
13,"TEXT_KINGKW103_05382_SEQ_13",""
14,"TEXT_KINGKW103_05382_SEQ_14",""
15,"TEXT_KINGKW103_05382_SEQ_15",""
16,"TEXT_KINGKW103_05382_SEQ_16",""
17,"TEXT_KINGKW103_05382_SEQ_17",""
18,"TEXT_KINGKW103_05382_SEQ_18",""
19,"TEXT_KINGKW103_05382_SEQ_19",""
20,"TEXT_KINGKW103_05382_SEQ_20",""
21,"TEXT_KINGKW103_05382_SEQ_21",""
22,"TEXT_KINGKW103_05382_SEQ_22",""
23,"TEXT_KINGKW103_05382_SEQ_23",""
