key,0,1
#,,
int32,str,str
0,"TEXT_BAHAMUTGUIDETRAVELWILD2_Q1_000_010","要前往“巴哈姆特大迷宫”吗？"
1,"TEXT_BAHAMUTGUIDETRAVELWILD2_A1_000_011","询问“巴哈姆特大迷宫真源之章”的开始条件"
2,"TEXT_BAHAMUTGUIDETRAVELWILD2_A1_000_012","以“通常”分配方式开始“<Sheet(InstanceContent,IntegerParameter(1),3)/>”"
3,"TEXT_BAHAMUTGUIDETRAVELWILD2_A1_100_012","「<Sheet(InstanceContent,IntegerParameter(1),3)/>」をGREED限定で開始"
4,"TEXT_BAHAMUTGUIDETRAVELWILD2_A1_101_012","「<Sheet(InstanceContent,IntegerParameter(1),3)/>」をマスタールートで開始"
5,"TEXT_BAHAMUTGUIDETRAVELWILD2_A1_000_013","取消"
6,"TEXT_BAHAMUTGUIDETRAVELWILD2_SYSTEM_000_050","“巴哈姆特大迷宫真源之章”是由多个迷宫组成的，
其中有些迷宫不能够使用“返回”。"
7,"TEXT_BAHAMUTGUIDETRAVELWILD2_SYSTEM_000_051","每个玩家在“巴哈姆特大迷宫真源之章”的进攻进度
都会在特定阶段被记录，
重新挑战迷宫时可以继续上次的进度进行攻略。"
8,"TEXT_BAHAMUTGUIDETRAVELWILD2_SYSTEM_000_052","进攻进度的记录会在每周<ResetTime>1203</ResetTime><Switch(TopLevelParameter(220))><Case(1)>周日</Case><Case(2)>周一</Case><Case(3)>周二</Case><Case(4)>周三</Case><Case(5)>周四</Case><Case(6)>周五</Case><Case(7)>周六</Case></Switch>的<If(TopLevelParameter(218))><Switch(TopLevelParameter(218))><Case(1)>1</Case><Case(2)>2</Case><Case(3)>3</Case><Case(4)>4</Case><Case(5)>5</Case><Case(6)>6</Case><Case(7)>7</Case><Case(8)>8</Case><Case(9)>9</Case><Case(10)>10</Case><Case(11)>11</Case><Case(12)>12</Case><Case(13)>13</Case><Case(14)>14</Case><Case(15)>15</Case><Case(16)>16</Case><Case(17)>17</Case><Case(18)>18</Case><Case(19)>19</Case><Case(20)>20</Case><Case(21)>21</Case><Case(22)>22</Case><Case(23)>23</Case></Switch><Else/>0</If>点（地球时间）被重置。"
